name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
OperatingCashFlow,"2,583,000,000","508,000,000","692,000,000","844,000,000","539,000,000","867,000,000","750,000,000","574,000,000","472,000,000","163,000,000","583,000,000","330,000,000","391,000,000","113,000,000","417,000,000","344,000,000","311,000,000","182,000,000","233,000,000","436,000,000","245,000,000","56,000,000","447,053,000","260,215,000","40,618,000","112,114,000","206,315,000","282,946,000","50,762,000","-64,332,000","255,957,000","137,100,000","67,134,000","-28,437,000","215,460,000","176,526,000","26,842,000","-21,458,000","159,974,000","88,396,000","82,690,000","4,641,000"
	CashFlowFromContinuingOperatingActivities,"2,583,000,000","508,000,000","692,000,000","844,000,000","539,000,000","867,000,000","750,000,000","574,000,000","472,000,000","163,000,000","583,000,000","330,000,000","391,000,000","113,000,000","417,000,000","344,000,000","311,000,000","182,000,000","233,000,000","436,000,000","245,000,000","56,000,000","447,053,000","260,215,000","40,618,000","112,114,000","206,315,000","282,946,000","50,762,000","-64,332,000","255,957,000","137,100,000","67,134,000","-28,437,000","215,460,000","176,526,000","26,842,000","-21,458,000","159,974,000","88,396,000","82,690,000","4,641,000"
		NetIncomeFromContinuingOperations,"1,079,000,000","325,000,000","318,000,000","261,000,000","175,000,000","217,000,000","130,000,000","108,000,000","-21,000,000","91,000,000","20,000,000","69,000,000","71,000,000","67,000,000","76,000,000","67,000,000","68,000,000","73,000,000","1,084,000,000","89,000,000","79,000,000","76,000,000","-174,298,000","103,974,000","91,298,000","109,026,000","108,087,000","108,839,000","84,947,000","86,431,000","88,444,000","92,733,000","85,110,000","90,214,000","72,934,000","66,584,000","38,353,000","48,156,000","34,836,000","51,975,000","47,012,000","42,808,000"
		OperatingGainsLosses,"-6,000,000","15,000,000","-8,000,000","0","-13,000,000","-1,000,000","-7,000,000","-6,000,000","-21,000,000","2,000,000","-34,000,000","6,000,000","-3,000,000","-2,000,000","4,000,000","-2,000,000","-8,000,000","-6,000,000","-23,000,000","-3,000,000","-4,000,000","11,000,000","-11,417,000","-195,000","4,043,000","1,569,000","-1,072,000","-4,293,000","-1,692,000","-906,000","4,451,000","-958,000","-3,271,000","-10,340,000","-1,099,000","182,000","-619,000","1,387,000","-527,000","262,000","-610,000","-2,095,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-77,000","-181,000","-649,000","54,000","-262,000","-296,000","-833,000","1,159,000","-345,000","-522,000"
			GainLossOnInvestmentSecurities,"-8,000,000","11,000,000","-7,000,000","0","-12,000,000","3,000,000","-8,000,000","-3,000,000","-22,000,000","8,000,000",,,"-2,000,000","-3,000,000","6,000,000","0",,,,,,,,,,,"-62,000","1,069,000","0","5,000","9,000","308,000","154,000","-5,268,000",,,,,,,,
			EarningsLossesFromEquityInvestments,"2,000,000","4,000,000","-1,000,000","0","-1,000,000","-4,000,000","1,000,000","-3,000,000","1,000,000","-6,000,000","8,000,000","1,000,000","-1,000,000","1,000,000","-2,000,000","-2,000,000","-5,000,000","-6,000,000","-14,000,000","-3,000,000","-4,000,000","11,000,000","2,583,000","-195,000","4,043,000","1,569,000","-300,000","-5,362,000","-1,692,000","-911,000","5,417,000","-1,524,000","-3,348,000","-4,891,000","-450,000","128,000","-357,000","1,683,000","236,000","-897,000","-265,000","-1,573,000"
		DepreciationAmortizationDepletion,"1,196,000,000","255,000,000","262,000,000","336,000,000","343,000,000","323,000,000","344,000,000","319,000,000","308,000,000","316,000,000","314,000,000","299,000,000","294,000,000","295,000,000","294,000,000","283,000,000","282,000,000","282,000,000","278,000,000","256,000,000","245,000,000","232,000,000","190,632,000","34,603,000","32,041,000","31,724,000","34,518,000","32,884,000","30,011,000","30,329,000","31,900,000","30,180,000","29,845,000","29,088,000","30,554,000","27,324,000","24,986,000","24,640,000","25,571,000","25,727,000","23,719,000","23,271,000"
			DepreciationAndAmortization,"1,196,000,000","255,000,000","262,000,000","336,000,000","343,000,000","323,000,000","344,000,000","319,000,000","308,000,000","316,000,000","314,000,000","299,000,000","294,000,000","295,000,000","294,000,000","283,000,000","282,000,000","282,000,000","278,000,000","256,000,000","245,000,000","232,000,000","190,632,000","34,603,000","32,041,000","31,724,000","34,518,000","32,884,000","30,011,000","30,329,000","31,900,000","30,180,000","29,845,000","29,088,000","30,554,000","27,324,000","24,986,000","24,640,000","25,571,000","25,727,000","23,719,000","23,271,000"
		DeferredTax,"-109,000,000","-10,000,000","-55,000,000","-40,000,000","-4,000,000","-39,000,000","-16,000,000","-58,000,000","-62,000,000","-40,000,000","-3,000,000","-88,000,000","-54,000,000","-12,000,000","6,000,000","-69,000,000","-88,000,000","-26,000,000","-1,077,000,000","64,000,000","-139,000,000","-64,000,000","139,225,000","-1,579,000","-7,364,000","4,718,000","-4,901,000","23,627,000","509,000","-884,000","5,361,000","-10,356,000","414,000","-1,587,000","-8,353,000","-3,842,000","-23,205,000","11,164,000","14,070,000","-5,360,000","4,049,000","3,836,000"
			DeferredIncomeTax,"-109,000,000","-10,000,000","-55,000,000","-40,000,000","-4,000,000","-39,000,000","-16,000,000","-58,000,000","-62,000,000","-40,000,000","-3,000,000","-88,000,000","-54,000,000","-12,000,000","6,000,000","-69,000,000","-88,000,000","-26,000,000","-1,077,000,000","64,000,000","-139,000,000","-64,000,000","139,225,000","-1,579,000","-7,364,000","4,718,000","-4,901,000","23,627,000","509,000","-884,000","5,361,000","-10,356,000","414,000","-1,587,000","-8,353,000","-3,842,000","-23,205,000","11,164,000","14,070,000","-5,360,000","4,049,000","3,836,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,"0",,,"0","0","0","0","3,000,000","-100,000","0","0","3,100,000","3,100,000","3,130,000",,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,,,,,,,,,,,"0",,,,"0","0",,,"63,000",,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"168,000,000","30,000,000","42,000,000","48,000,000","48,000,000","32,000,000","26,000,000","33,000,000",,,"59,000,000","27,000,000","34,000,000","26,000,000","35,000,000","31,000,000","26,000,000","21,000,000","24,000,000","29,000,000","27,000,000","26,000,000","45,643,000","15,592,000","10,075,000","8,690,000","9,056,000","8,381,000","10,747,000","9,574,000","7,613,000","6,787,000","8,380,000","7,221,000","5,866,000","5,869,000","6,618,000","4,473,000","12,197,000","3,260,000","3,083,000","7,386,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,"0","0","0","0","-26,820,000","-9,084,000","-2,898,000","-2,198,000","-3,927,000","-5,579,000","-20,488,000","-9,077,000","-7,501,000","-4,189,000","-2,773,000","-5,840,000","-16,059,000","264,000","-213,000","-196,000","-85,000","0","-229,000","-151,000"
		OtherNonCashItems,"16,000,000","4,000,000","3,000,000","4,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","3,000,000","3,000,000","4,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,000,000","3,000,000","3,000,000","2,000,000","2,000,000","2,000,000","24,942,000","1,686,000","1,686,000","1,686,000","1,685,000","1,685,000","4,123,000","1,677,000","1,901,000","1,596,000","1,596,000","1,595,000","4,881,000","1,686,000","12,383,000","2,875,000","3,548,000","2,103,000","1,952,000","1,634,000"
