Date,Open,High,Low,Close,Adj Close,Volume
2021-06-17,18.750000,18.900000,14.990000,16.889999,16.889999,4397300
2021-06-18,16.260000,16.850000,15.990000,16.200001,16.200001,448000
2021-06-21,16.100000,16.879999,15.120000,16.660000,16.660000,698400
2021-06-22,16.740000,16.870001,16.000000,16.600000,16.600000,486000
2021-06-23,16.360001,16.850000,16.000000,16.549999,16.549999,2358000
2021-06-24,16.580000,16.639999,15.500000,16.000000,16.000000,383400
2021-06-25,15.900000,16.150000,15.800000,15.990000,15.990000,126400
2021-06-28,15.905000,16.940001,15.820000,16.559999,16.559999,217600
2021-06-29,16.469999,16.730000,16.010000,16.320000,16.320000,643400
2021-06-30,16.200001,16.396999,16.000000,16.240000,16.240000,461900
2021-07-01,16.100000,16.370001,15.730000,16.010000,16.010000,747400
2021-07-02,15.950000,16.170000,15.115000,16.030001,16.030001,330600
2021-07-06,16.030001,16.030001,15.200000,15.510000,15.510000,701600
2021-07-07,15.460000,15.590000,15.000000,15.380000,15.380000,332000
2021-07-08,15.110000,16.000000,14.980000,15.250000,15.250000,521800
2021-07-09,15.210000,16.290001,15.020000,15.880000,15.880000,442600
2021-07-12,16.000000,16.915001,15.700000,16.270000,16.270000,695900
2021-07-13,16.010000,16.799999,15.860000,16.219999,16.219999,439700
2021-07-14,16.100000,16.750000,16.100000,16.670000,16.670000,384900
2021-07-15,16.639999,16.990000,15.830000,16.070000,16.070000,714300
2021-07-16,16.120001,17.350000,15.995000,16.910000,16.910000,760400
2021-07-19,16.709999,17.250000,16.410000,16.450001,16.450001,123500
2021-07-20,16.530001,17.150000,16.530001,16.700001,16.700001,102900
2021-07-21,16.830000,16.930000,15.360000,15.700000,15.700000,331100
2021-07-22,15.770000,16.100000,15.170000,15.570000,15.570000,220900
2021-07-23,15.570000,16.049999,14.300000,14.430000,14.430000,241800
2021-07-26,14.500000,15.164000,14.110000,14.550000,14.550000,297700
2021-07-27,14.660000,14.980000,14.000000,14.410000,14.410000,250800
2021-07-28,14.460000,14.610000,13.110000,13.510000,13.510000,289700
2021-07-29,13.620000,14.320000,13.455000,13.970000,13.970000,290800
2021-07-30,13.930000,14.730000,13.750000,14.500000,14.500000,207700
2021-08-02,15.770000,15.770000,14.280000,14.720000,14.720000,266200
2021-08-03,14.790000,15.730000,14.430000,15.550000,15.550000,97400
2021-08-04,15.550000,16.230000,15.450000,15.720000,15.720000,159000
2021-08-05,15.740000,16.700001,15.640000,16.290001,16.290001,189800
2021-08-06,16.270000,16.330000,15.500000,15.640000,15.640000,393500
2021-08-09,15.760000,16.353001,14.800000,15.030000,15.030000,441900
2021-08-10,14.910000,15.150000,14.530000,14.820000,14.820000,139800
2021-08-11,14.890000,14.910000,14.410000,14.410000,14.410000,175800
2021-08-12,14.500000,14.900000,14.000000,14.280000,14.280000,134400
2021-08-13,14.340000,15.000000,14.280000,14.810000,14.810000,141700
2021-08-16,14.830000,14.830000,13.750000,14.080000,14.080000,154100
2021-08-17,14.060000,14.860000,13.760000,14.730000,14.730000,101000
2021-08-18,14.660000,15.175000,14.290000,14.870000,14.870000,136200
2021-08-19,14.840000,15.180000,14.010000,14.540000,14.540000,226900
2021-08-20,14.510000,15.400000,14.400000,15.140000,15.140000,200400
2021-08-23,15.280000,16.200001,15.245000,15.610000,15.610000,165600
2021-08-24,15.650000,15.700000,15.280000,15.480000,15.480000,57300
2021-08-25,15.470000,15.860000,15.180000,15.500000,15.500000,61000
2021-08-26,15.510000,16.280001,14.980000,15.290000,15.290000,268500
2021-08-27,15.330000,16.900000,15.050000,16.230000,16.230000,207400
2021-08-30,16.330000,17.000000,15.740000,15.780000,15.780000,209900
2021-08-31,15.870000,16.320000,15.660000,15.790000,15.790000,124000
2021-09-01,15.780000,16.830000,15.320000,16.100000,16.100000,209300
2021-09-02,16.190001,16.860001,15.965000,16.700001,16.700001,146700
2021-09-03,16.700001,16.700001,16.254999,16.480000,16.480000,299300
2021-09-07,16.709999,19.840000,16.700001,17.000000,17.000000,3028700
2021-09-08,16.959999,17.350000,15.980000,17.049999,17.049999,732700
2021-09-09,16.850000,17.540001,16.770000,16.860001,16.860001,458900
2021-09-10,17.059999,18.160000,15.060000,17.950001,17.950001,758700
2021-09-13,17.750000,17.750000,13.250000,16.049999,16.049999,2111000
2021-09-14,15.880000,16.040001,14.080000,14.510000,14.510000,403800
2021-09-15,14.510000,14.511000,13.180000,13.180000,13.180000,695600
2021-09-16,13.410000,13.851000,11.615000,11.660000,11.660000,1092400
2021-09-17,12.000000,12.610000,11.370000,11.810000,11.810000,4092600
2021-09-20,11.520000,11.650000,10.620000,11.030000,11.030000,1015600
2021-09-21,11.110000,11.406000,10.880000,11.000000,11.000000,394500
2021-09-22,11.000000,11.450000,10.860000,11.290000,11.290000,332200
2021-09-23,11.280000,11.405000,10.985000,11.230000,11.230000,349800
2021-09-24,11.300000,12.400000,11.120000,12.280000,12.280000,258300
2021-09-27,11.990000,13.160000,11.880000,12.840000,12.840000,461200
2021-09-28,12.840000,14.350000,12.350000,14.120000,14.120000,1078900
2021-09-29,13.920000,14.580000,13.710000,14.560000,14.560000,322300
2021-09-30,14.560000,15.010000,14.110000,14.800000,14.800000,575800
