name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
TotalRevenue,"6,165,583,000","1,641,161,000","1,492,796,000","1,509,633,000","1,521,993,000","1,575,447,000","1,601,834,000","1,577,598,000","1,642,788,000","1,646,539,000","1,364,991,000","1,440,222,000","1,415,736,000","1,413,887,000","1,269,338,000","1,329,109,000","1,321,693,000","1,287,196,000","1,143,933,000","1,206,059,000","1,183,975,000","1,130,645,000","985,700,000","1,035,801,000","1,031,643,000","993,241,000","930,303,000","903,069,000","902,153,000","857,506,000","734,593,000","766,415,000","743,810,000","722,606,000","608,236,000","633,614,000","622,367,000","573,694,000","478,941,000","510,050,000","430,112,000","375,720,000"
	OperatingRevenue,"6,165,583,000","1,641,161,000","1,492,796,000","1,509,633,000","1,521,993,000","1,575,447,000","1,601,834,000","1,577,598,000","1,642,788,000","1,646,539,000","1,364,991,000","1,440,222,000","1,415,736,000","1,413,887,000","1,269,338,000","1,329,109,000","1,321,693,000","1,287,196,000","1,143,933,000","1,206,059,000","1,183,975,000","1,130,645,000","985,700,000","1,035,801,000","1,031,643,000","993,241,000","930,303,000","903,069,000","902,153,000","857,506,000","734,593,000","766,415,000","743,810,000","722,606,000","608,236,000","633,614,000","622,367,000","573,694,000","478,941,000","510,050,000","430,112,000","375,720,000"
CostOfRevenue,"3,930,797,000","1,029,413,000","959,568,000","969,904,000","971,912,000","989,273,000","1,013,805,000","992,829,000","1,030,129,000","1,052,707,000","896,028,000","963,497,000","950,954,000","929,538,000","671,702,000","946,734,000","941,281,000","900,144,000","819,489,000","859,650,000","841,989,000","793,359,000","707,522,000","744,288,000","725,841,000","686,728,000","661,564,000","641,612,000","638,514,000","599,713,000","523,345,000","540,367,000","519,762,000","498,747,000","434,021,000","443,509,000","435,340,000","399,774,000","342,559,000","363,641,000","299,381,000","258,933,000"
GrossProfit,"2,234,786,000","611,748,000","533,228,000","539,729,000","550,081,000","586,174,000","588,029,000","584,769,000","612,659,000","593,832,000","468,963,000","476,725,000","464,782,000","484,349,000","597,636,000","382,375,000","380,412,000","387,052,000","324,444,000","346,409,000","341,986,000","337,286,000","278,178,000","291,513,000","305,802,000","306,513,000","268,739,000","261,457,000","263,639,000","257,793,000","211,248,000","226,048,000","224,048,000","223,859,000","174,215,000","190,105,000","187,027,000","173,920,000","136,382,000","146,409,000","130,731,000","116,787,000"
OperatingExpense,"1,891,302,000","491,730,000","478,929,000","453,793,000","466,850,000","470,891,000","495,122,000","506,120,000","519,426,000","467,325,000","418,184,000","435,049,000","412,681,000","404,285,000","557,313,000","329,128,000","318,685,000","307,362,000","287,226,000","292,602,000","278,515,000","264,775,000","247,922,000","250,042,000","242,242,000","228,640,000","220,914,000","206,890,000","203,278,000","189,990,000","178,103,000","176,332,000","168,675,000","161,657,000","151,135,000","153,462,000","146,016,000","133,099,000","122,274,000","130,841,000","111,923,000","92,431,000"
	SellingGeneralAndAdministration,"1,768,453,000","459,910,000","448,707,000","423,416,000","436,420,000","439,662,000","463,635,000","475,053,000","488,877,000","436,304,000","387,481,000","404,285,000","383,116,000","374,826,000","1,275,615,000","43,944,000","43,437,000","41,447,000","38,096,000","39,955,000","38,189,000","32,168,000","35,447,000","29,664,000","30,922,000","30,896,000","31,920,000","27,075,000","23,390,000","24,027,000","25,803,000","24,015,000","23,100,000","22,479,000","21,536,000","22,807,000","20,728,000","16,724,000","21,518,000","25,175,000","22,584,000","17,087,000"
	DepreciationAmortizationDepletionIncomeStatement,"122,849,000","31,820,000","30,222,000","30,377,000","30,430,000","31,229,000","31,487,000","31,067,000","30,549,000","31,021,000","30,703,000","30,764,000","29,565,000","29,459,000","27,966,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"122,849,000","31,820,000","30,222,000","30,377,000","30,430,000","31,229,000","31,487,000","31,067,000","30,549,000","31,021,000","30,703,000","30,764,000","29,565,000","29,459,000","27,966,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,"285,184,000","275,248,000","265,915,000","249,130,000","252,647,000","240,326,000","232,607,000","212,475,000","220,378,000","211,320,000","197,744,000","188,994,000","179,815,000","179,888,000","165,963,000","152,300,000","152,317,000","145,575,000","139,178,000","129,599,000","130,655,000","125,288,000","116,375,000","100,756,000","105,666,000","89,339,000","75,344,000"
OperatingIncome,"343,484,000","120,018,000","54,299,000","85,936,000","83,231,000","115,283,000","92,907,000","78,649,000","93,233,000","126,507,000","50,779,000","41,676,000","52,101,000","80,064,000","40,323,000","53,247,000","61,727,000","79,690,000","37,218,000","53,807,000","63,471,000","72,511,000","30,256,000","41,471,000","63,560,000","77,873,000","47,825,000","54,567,000","60,361,000","67,803,000","33,145,000","49,716,000","55,373,000","62,202,000","23,080,000","36,643,000","41,011,000","40,821,000","14,108,000","15,568,000","18,808,000","24,356,000"
