Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,22.000000,35.000000,16.000000,26.990000,26.990000,2339600
2021-07-02,29.799999,29.799999,23.500000,23.959999,23.959999,2002700
2021-07-06,23.389999,23.750000,19.780001,21.750000,21.750000,1570000
2021-07-07,21.100000,22.700001,20.180000,21.450001,21.450001,846900
2021-07-08,21.450001,21.450001,19.110001,19.230000,19.230000,765400
2021-07-09,19.100000,21.430000,18.600000,20.900000,20.900000,904800
2021-07-12,20.250000,23.740000,20.250000,21.350000,21.350000,633700
2021-07-13,23.000000,23.000000,19.799999,20.100000,20.100000,343300
2021-07-14,21.000000,21.000000,19.080000,19.430000,19.430000,414100
2021-07-15,19.500000,19.500000,19.000000,19.120001,19.120001,266100
2021-07-16,19.120001,20.000000,18.809999,19.000000,19.000000,221300
2021-07-19,18.250000,18.990000,17.350000,17.920000,17.920000,575600
2021-07-20,18.000000,18.700001,17.809999,17.879999,17.879999,470700
2021-07-21,17.825001,18.240000,17.320000,17.850000,17.850000,292200
2021-07-22,18.000000,18.240000,17.180000,17.260000,17.260000,240800
2021-07-23,18.180000,18.180000,16.600000,16.770000,16.770000,250700
2021-07-26,16.000000,16.750000,15.000000,15.000000,15.000000,846200
2021-07-27,15.000000,15.990000,14.150000,15.630000,15.630000,370200
2021-07-28,15.990000,17.750000,15.810000,16.000000,16.000000,643000
2021-07-29,16.790001,18.500000,15.900000,17.790001,17.790001,467000
2021-07-30,17.780001,19.100000,17.750000,18.750000,18.750000,291800
2021-08-02,18.700001,19.250000,17.500000,18.100000,18.100000,242100
2021-08-03,20.000000,20.000000,16.700001,17.549999,17.549999,273800
2021-08-04,17.350000,17.990000,16.469999,16.600000,16.600000,396100
2021-08-05,16.180000,17.500000,16.180000,16.520000,16.520000,206300
2021-08-06,17.000000,17.000000,16.360001,16.440001,16.440001,197900
2021-08-09,17.250000,17.850000,16.480000,16.750000,16.750000,418400
2021-08-10,17.200001,17.299999,16.709999,16.830000,16.830000,292300
2021-08-11,18.000000,18.000000,16.100000,16.650000,16.650000,166000
2021-08-12,17.000000,17.000000,16.049999,16.400000,16.400000,110500
2021-08-13,16.400000,16.590000,16.000000,16.000000,16.000000,352000
2021-08-16,16.000000,16.850000,15.000000,15.950000,15.950000,266700
2021-08-17,15.395000,15.400000,14.750000,15.250000,15.250000,402900
2021-08-18,15.050000,15.300000,15.050000,15.190000,15.190000,141800
2021-08-19,15.250000,15.300000,14.915000,15.010000,15.010000,117500
2021-08-20,17.000000,17.000000,15.010000,15.090000,15.090000,79300
2021-08-23,15.100000,15.850000,15.100000,15.560000,15.560000,124200
2021-08-24,15.100000,16.250000,15.100000,16.110001,16.110001,105100
2021-08-25,16.100000,17.000000,16.100000,16.950001,16.950001,232400
2021-08-26,16.750000,17.000000,16.000000,16.080000,16.080000,227200
2021-08-27,16.139999,17.000000,15.510000,15.800000,15.800000,86800
2021-08-30,16.049999,16.990000,16.049999,16.900000,16.900000,242300
2021-08-31,16.500000,17.010000,16.500000,16.799999,16.799999,146600
2021-09-01,16.600000,16.950001,16.549999,16.700001,16.700001,137200
2021-09-02,16.600000,17.000000,16.559999,16.690001,16.690001,104100
2021-09-03,16.959999,16.959999,16.299999,16.570000,16.570000,112800
2021-09-07,16.280001,16.900000,16.100000,16.900000,16.900000,275600
2021-09-08,17.000000,17.000000,16.200001,16.500000,16.500000,200700
2021-09-09,16.100000,16.900000,15.750000,15.760000,15.760000,333600
2021-09-10,15.760000,16.100000,15.650000,15.910000,15.910000,66100
2021-09-13,15.800000,16.350000,15.770000,15.850000,15.850000,212800
2021-09-14,15.800000,15.900000,15.660000,15.682000,15.682000,97300
2021-09-15,15.000000,16.000000,15.000000,15.750000,15.750000,95400
2021-09-16,15.200000,16.200001,15.200000,16.200001,16.200001,165800
2021-09-17,16.040001,16.500000,16.040001,16.350000,16.350000,223900
2021-09-20,15.550000,16.200001,15.520000,16.200001,16.200001,192400
2021-09-21,15.850000,16.549999,15.800000,16.400000,16.400000,136300
2021-09-22,16.549999,16.549999,16.049999,16.549999,16.549999,78900
2021-09-23,16.549999,17.000000,16.100000,16.980000,16.980000,129500
2021-09-24,16.980000,19.400000,16.809999,18.950001,18.950001,406000
2021-09-27,19.400000,19.700001,18.100000,19.500000,19.500000,467000
2021-09-28,20.000000,20.000000,18.900000,19.290001,19.290001,259900
2021-09-29,19.280001,19.750000,19.100000,19.200001,19.200001,141200
2021-09-30,19.549999,20.020000,18.709999,19.549999,19.549999,164200
2021-10-01,19.780001,20.000000,19.250000,19.299999,19.299999,110700
2021-10-04,20.000000,20.200001,19.320000,20.160000,20.160000,271700
2021-10-05,20.740000,22.840000,20.400000,22.150000,22.150000,483200
2021-10-06,23.000000,26.500000,22.500000,26.500000,26.500000,533000
2021-10-07,26.809999,30.150000,25.299999,26.000000,26.000000,1659300
2021-10-08,25.750000,26.500000,24.000000,26.250000,26.250000,641800
2021-10-11,26.250000,27.500000,26.219999,26.750000,26.750000,363200
2021-10-12,26.770000,27.400000,26.600000,26.900000,26.900000,409100
2021-10-13,26.250000,27.299999,25.010000,26.950001,26.950001,429600
