name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,03/31/2016
TotalAssets,"1,294,946,000","1,279,453,000","1,233,973,000","1,139,302,000","1,136,519,000","715,829,000","608,089,000","526,507,000","473,529,000","469,379,000","445,382,000","392,844,000","360,591,000","363,852,000","356,241,000","306,735,000","293,795,000","273,046,000","271,178,000","264,543,000","240,617,000","201,991,000","207,122,000","196,636,000"
	CurrentAssets,"412,812,000","413,362,000","413,209,000","389,671,000","404,220,000","131,468,000","127,271,000","105,987,000","93,187,000","111,404,000","102,310,000","90,281,000","79,252,000","102,980,000","95,681,000","77,268,000","69,844,000","89,610,000","72,012,000","73,472,000","52,154,000","72,013,000","81,560,000","86,617,000"
		CashCashEquivalentsAndShortTermInvestments,"72,174,000","79,025,000","86,256,000","73,200,000","87,336,000","92,895,000","81,987,000","71,091,000","50,124,000","81,599,000","71,899,000","58,871,000","49,357,000","78,941,000","75,181,000","53,641,000","47,596,000","68,677,000","48,940,000","46,471,000","32,286,000","54,441,000","58,214,000","68,584,000"
			CashAndCashEquivalents,"72,174,000","79,025,000","86,256,000","73,200,000","87,336,000","92,895,000","81,987,000","71,091,000","50,124,000","81,599,000","71,899,000","58,871,000","49,357,000","78,941,000","75,181,000","53,641,000","47,596,000","68,677,000","48,940,000","46,471,000","32,286,000","54,441,000","58,214,000","68,584,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,"58,214,000",
		Receivables,"53,741,000","49,101,000","43,431,000","31,406,000","31,697,000","30,611,000","36,586,000","25,832,000","32,989,000","22,123,000","21,826,000","24,106,000","22,948,000","19,471,000","15,469,000","18,673,000","18,160,000","17,562,000","19,154,000","22,425,000","15,426,000","14,000,000","19,911,000","14,680,000"
			AccountsReceivable,"51,869,000","47,085,000","41,711,000","29,047,000","29,202,000","26,624,000","33,072,000","23,679,000","30,384,000","19,456,000","17,628,000","19,647,000","20,320,000","16,963,000","13,678,000","16,710,000","14,924,000","13,287,000","16,429,000","19,474,000","12,113,000","10,795,000","16,969,000","11,828,000"
			DuefromRelatedPartiesCurrent,"1,872,000","2,016,000","1,720,000","2,359,000","2,495,000","3,987,000","3,514,000","2,153,000","2,605,000","2,667,000","4,198,000","4,459,000","2,628,000","2,508,000","1,791,000","1,963,000","3,236,000","4,275,000","2,725,000","2,951,000","3,313,000","3,205,000","2,942,000","2,852,000"
		PrepaidAssets,"6,858,000","5,912,000","4,205,000","5,998,000","6,143,000","4,920,000","5,656,000","5,917,000","6,988,000","4,587,000","5,401,000","4,802,000","4,714,000","2,368,000","2,855,000","3,153,000","2,301,000","1,584,000","2,135,000","2,719,000","2,593,000","1,777,000","1,640,000","1,555,000"
		RestrictedCash,"280,039,000","279,324,000","279,317,000","279,067,000","279,044,000","3,042,000","3,042,000","3,147,000","3,086,000","3,095,000","3,184,000","2,502,000","2,233,000","2,200,000","2,176,000","1,801,000","1,787,000","1,787,000","1,783,000","1,857,000","1,849,000","1,795,000","1,795,000","1,798,000"
	TotalNonCurrentAssets,"882,134,000","866,091,000","820,764,000","749,631,000","732,299,000","584,361,000","480,818,000","420,520,000","380,342,000","357,975,000","343,072,000","302,563,000","281,339,000","260,872,000","260,560,000","229,467,000","223,951,000","183,436,000","199,166,000","191,071,000","188,463,000","129,978,000","125,562,000","110,019,000"
		NetPPE,"94,478,000","96,252,000","97,110,000","89,007,000","87,692,000","80,180,000","18,220,000","17,363,000","16,979,000","15,876,000","17,715,000","18,928,000","8,108,000","8,125,000","7,096,000","5,800,000","4,782,000","4,061,000","3,999,000","4,014,000","4,063,000","3,959,000","4,267,000","4,612,000"
			GrossPPE,"101,720,000","96,252,000","97,110,000","89,007,000","97,755,000","80,180,000","18,220,000","17,363,000","27,416,000","15,876,000","17,715,000","18,928,000","17,811,000",,,,"14,305,000",,,,"15,337,000",,,"15,469,000"
				Properties,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,"0"
				MachineryFurnitureEquipment,"14,109,000","29,229,000","28,702,000","27,091,000","10,684,000","14,010,000","8,223,000","7,666,000","11,084,000","7,280,000","8,026,000","8,158,000","11,884,000",,,,"11,841,000",,,,"11,525,000",,,"11,491,000"
				OtherProperties,"65,636,000","67,023,000","68,408,000","61,916,000","64,384,000","66,170,000","9,997,000","9,697,000","9,577,000","8,596,000","9,689,000","10,770,000",,,,,,,,,,,,
				Leases,"21,975,000",,,,"22,687,000",,,,"6,755,000",,,,"5,927,000",,,,"2,464,000",,,,"3,812,000",,,"3,978,000"
			AccumulatedDepreciation,"-7,242,000",,,,"-10,063,000",,,,"-10,437,000",,,,"-9,703,000",,,,"-9,523,000",,,,"-11,274,000",,,"-10,857,000"
		InvestmentsAndAdvances,"513,825,000","491,614,000","440,125,000","383,930,000","373,623,000","264,613,000","224,032,000","194,864,000","207,747,000","193,168,000","174,134,000","168,436,000","154,491,000","147,411,000","134,256,000","141,164,000","137,253,000","130,765,000","127,090,000","124,027,000","120,147,000","118,437,000","114,625,000","102,749,000"
			LongTermEquityInvestment,,,,,,,,,,,,,"135,239,000",,,,"120,969,000",,,,,,"98,280,000",
			OtherInvestments,,,,,,,,,,,,,"19,252,000",,,,"16,284,000",,,,,,,
