name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"3,051,459,000","3,053,908,000","3,038,173,000","3,022,099,000","2,990,344,000","2,993,287,000","2,945,489,000","2,926,274,000","2,347,170,000","2,367,467,000","2,558,491,000","2,534,694,000","1,737,561,000","1,632,867,000","1,660,417,000","1,611,412,000","1,582,621,000","1,578,685,000","1,670,993,000","1,646,284,000","1,606,434,000","1,581,386,000","1,687,124,000","1,959,021,000","2,005,532,000","2,071,327,000","2,114,654,000","2,256,306,000","2,263,383,000","2,263,801,000","2,362,360,000","2,383,529,000","2,419,353,000","2,441,748,000","2,769,533,000","2,974,875,000","2,985,054,000","2,975,969,000","3,299,931,000","3,265,920,000","3,379,465,000","3,338,877,000","3,495,720,000","3,620,046,000","3,550,510,000","3,469,220,000","3,844,747,000","3,488,327,000","3,567,401,000","3,639,240,000","3,537,327,000","3,491,236,000","3,385,373,000","3,562,970,000","4,078,946,000","4,313,157,000","4,137,848,000","3,905,430,000","4,120,125,000","3,892,906,000","3,723,332,000","3,326,423,000","3,256,355,000","3,108,344,000","2,998,366,000","2,975,804,000","2,482,832,000","2,395,758,000","2,365,846,000","2,389,756,000","2,321,222,000","2,213,466,000","2,176,961,000","2,138,035,000","2,108,907,000","2,071,237,000","2,015,428,000","1,999,297,000","2,117,177,000","2,115,741,000","2,072,871,000","2,090,766,000","2,179,135,000","2,137,892,000","2,145,210,000","2,180,948,000","2,245,651,000","2,231,034,000","1,655,841,000","1,659,800,000","1,630,200,000","1,611,200,000","1,596,300,000","1,623,600,000","1,635,400,000","1,568,800,000","1,458,900,000","1,477,200,000","1,307,000,000","1,335,000,000","1,325,900,000","1,324,400,000","1,339,400,000","1,323,700,000","1,307,500,000","1,310,700,000","1,321,000,000","1,332,900,000","1,331,500,000","1,314,600,000","1,358,300,000","1,348,900,000","1,331,200,000","1,427,600,000","1,446,500,000","976,500,000","1,011,100,000","991,200,000","1,094,200,000","1,054,700,000","1,053,800,000","1,059,700,000","1,066,600,000","1,046,000,000","957,800,000","991,000,000","1,051,200,000","1,039,400,000","1,022,400,000","978,200,000","986,500,000","960,700,000","893,100,000","802,300,000","754,800,000","823,900,000"
	CurrentAssets,"892,485,000","874,973,000","887,582,000","861,356,000","846,321,000","815,823,000","814,973,000","798,086,000","680,780,000","652,812,000","876,388,000","781,957,000","646,003,000","605,034,000","631,578,000","584,057,000","582,756,000","592,092,000","630,075,000","609,087,000","578,254,000","577,690,000","632,629,000","640,100,000","651,395,000","664,522,000","680,715,000","709,428,000","702,049,000","681,822,000","756,433,000","760,605,000","776,711,000","838,755,000","1,465,576,000","1,103,632,000","1,095,909,000","1,066,443,000","1,141,416,000","1,145,280,000","1,188,194,000","1,159,431,000","1,191,082,000","1,232,154,000","1,197,058,000","1,154,946,000","1,459,805,000","1,190,457,000","1,179,814,000","1,169,338,000","1,174,388,000","1,140,800,000","1,121,218,000","1,205,488,000","1,451,108,000","1,559,540,000","1,469,177,000","1,345,337,000","1,600,640,000","1,516,449,000","1,434,388,000","1,231,622,000","1,222,228,000","1,130,308,000","1,089,276,000","1,101,023,000","1,025,570,000","955,610,000","917,691,000","924,924,000","923,506,000","836,659,000","799,517,000","764,351,000","773,533,000","741,689,000","747,242,000","702,402,000","753,633,000","705,937,000","707,098,000","716,067,000","767,982,000","750,744,000","745,562,000","726,415,000","811,082,000","797,899,000","615,592,000","613,000,000","599,200,000","596,200,000","580,200,000","587,400,000","643,400,000","610,500,000","659,500,000","713,700,000","513,600,000","533,800,000","516,000,000","508,500,000","535,300,000","521,200,000","517,300,000","533,800,000","515,100,000","540,300,000","538,000,000","536,800,000","534,300,000","537,600,000","506,300,000","600,100,000","638,500,000","587,200,000","620,400,000","598,300,000","685,800,000","649,800,000","667,800,000","661,500,000","665,400,000","645,300,000","560,200,000","593,100,000","664,100,000","653,500,000","640,800,000","598,600,000","603,300,000","580,400,000","546,900,000","463,500,000","425,900,000","473,400,000"
		CashCashEquivalentsAndShortTermInvestments,"85,216,000","82,908,000","75,578,000","77,870,000","79,308,000","76,454,000","83,859,000","81,784,000","66,488,000","57,259,000","75,458,000","106,094,000","84,743,000","64,260,000","61,736,000","64,422,000","64,780,000","62,098,000","59,544,000","58,105,000","64,429,000","71,879,000","79,911,000","69,238,000","70,405,000","79,756,000","57,994,000","67,148,000","66,549,000","62,843,000","72,603,000","77,467,000","83,362,000","93,605,000","115,812,000","89,001,000","92,941,000","95,250,000","113,740,000","121,369,000","136,604,000","121,184,000","106,288,000","95,295,000","101,312,000","124,238,000","330,337,000","102,452,000","85,394,000","94,184,000","97,707,000","69,981,000","69,169,000","91,336,000","89,902,000","123,309,000","114,902,000","121,833,000","102,668,000","95,927,000","102,031,000","101,260,000","99,533,000","88,270,000","98,852,000","120,929,000","113,231,000","99,551,000","78,405,000","94,093,000","93,459,000","71,534,000","78,845,000","80,210,000","76,565,000","63,975,000","90,210,000","70,132,000","76,426,000","65,615,000","60,454,000","67,409,000","55,828,000","57,152,000","61,367,000","56,422,000","87,907,000","68,182,000","45,848,000","51,300,000","50,000,000","52,200,000","49,400,000","41,600,000","67,100,000","46,700,000","179,700,000","221,600,000","30,600,000","43,900,000","28,200,000","45,900,000","55,200,000","43,200,000","50,000,000","76,700,000","58,300,000","27,800,000","33,700,000","43,500,000","41,700,000","58,100,000","50,200,000","58,700,000","85,900,000","140,200,000","107,900,000","50,400,000","101,600,000","95,400,000","130,200,000","120,200,000","85,700,000","165,000,000","10,400,000","10,500,000","6,300,000","32,600,000","6,000,000","11,400,000","5,600,000","8,600,000","11,600,000","32,400,000","17,500,000","72,900,000"
			CashAndCashEquivalents,"85,216,000","82,908,000","75,578,000","77,870,000","79,308,000","76,454,000","83,859,000","81,784,000","66,488,000","57,259,000","75,458,000","106,094,000","84,743,000","64,260,000","61,736,000","64,422,000","64,780,000","62,098,000","59,544,000","58,105,000","64,429,000","71,879,000","79,911,000","69,238,000","70,405,000","79,756,000","57,994,000","67,148,000","66,549,000","62,843,000","72,603,000","77,467,000","83,362,000","93,605,000","115,812,000","89,001,000","92,941,000","95,250,000","113,740,000","121,369,000","136,604,000","121,184,000","106,288,000","95,295,000","101,312,000","124,238,000","330,337,000","102,452,000","85,394,000","94,184,000","97,707,000","69,981,000","69,169,000","91,336,000","89,902,000","123,309,000","114,902,000","121,833,000","102,668,000","95,927,000","102,031,000","101,260,000","99,533,000","88,270,000","98,852,000","120,929,000","113,231,000","99,551,000","78,405,000","94,093,000","93,459,000","71,534,000","78,845,000","80,210,000","76,565,000","63,975,000","90,210,000","70,132,000","76,426,000","65,615,000","60,454,000","67,409,000","55,828,000","57,152,000","61,367,000","56,422,000","87,907,000","68,182,000","45,848,000","51,300,000","50,000,000","52,200,000","49,400,000","41,600,000","67,100,000","46,700,000","179,700,000","221,600,000","30,600,000","43,900,000","28,200,000","45,900,000","55,200,000","43,200,000","50,000,000","76,700,000","58,300,000","27,800,000","33,700,000","43,500,000","41,700,000","58,100,000","50,200,000","58,700,000","85,900,000","140,200,000","107,900,000","50,400,000","101,600,000","95,400,000","130,200,000","120,200,000","85,700,000","165,000,000","10,400,000","10,500,000","6,300,000","32,600,000","6,000,000","11,400,000","5,600,000","8,600,000","11,600,000","32,400,000","17,500,000","72,900,000"
		Receivables,"411,999,000","410,940,000","566,082,000","547,737,000","522,961,000","496,397,000","492,575,000","485,192,000","389,894,000","362,421,000","543,675,000","394,591,000","365,403,000","369,649,000","387,191,000","341,537,000","341,650,000","308,258,000","301,879,000","311,620,000","289,191,000","257,607,000","281,129,000","282,116,000","272,118,000","285,272,000","321,528,000","351,634,000","353,714,000","353,249,000","409,314,000","418,238,000","451,779,000","399,651,000","383,748,000","673,614,000","661,807,000","640,100,000","659,699,000","648,212,000","666,600,000","662,906,000","684,597,000","728,907,000","671,128,000","614,600,000","686,728,000","670,027,000","667,417,000","629,183,000","668,367,000","678,431,000","642,485,000","694,912,000","902,379,000","967,697,000","902,439,000","824,094,000","837,531,000","812,557,000","757,549,000","753,168,000","754,808,000","706,355,000","648,240,000","666,252,000","566,996,000","534,039,000","535,649,000","555,191,000","526,977,000","499,376,000","467,100,000","446,875,000","458,067,000","438,981,000","411,290,000","388,872,000","423,491,000","400,687,000","390,227,000","396,185,000","458,336,000","436,711,000","429,047,000","413,654,000","424,059,000","435,609,000","335,221,000","331,100,000","325,200,000","317,900,000","299,200,000","310,900,000","343,900,000","340,600,000","277,700,000","259,600,000","283,700,000","287,900,000","283,000,000","268,200,000","283,200,000","283,800,000","275,200,000","272,900,000","289,100,000","345,200,000","342,200,000","350,600,000","346,800,000","335,000,000","322,000,000","322,900,000","319,900,000","263,100,000","296,200,000","317,300,000","327,500,000","293,400,000","280,700,000","273,900,000","257,400,000","242,400,000","241,100,000","217,000,000","213,300,000","212,000,000","189,300,000","194,600,000","212,800,000","215,400,000","208,900,000","183,600,000","182,100,000","165,100,000"
			AccountsReceivable,"385,871,000","377,881,000","425,897,000","424,185,000","417,830,000","407,390,000","400,994,000","406,565,000","320,710,000","309,990,000","310,662,000","333,357,000","296,795,000","291,213,000","304,165,000","295,390,000","292,966,000","288,034,000","279,232,000","289,280,000","267,999,000","236,554,000","263,534,000","265,241,000","252,660,000","254,877,000","298,235,000","329,467,000","332,005,000","325,104,000","378,273,000","384,634,000","399,701,000","353,181,000","354,121,000","631,955,000","622,156,000","600,264,000","619,403,000","615,198,000","631,645,000","618,475,000","684,597,000","699,255,000","643,390,000","585,301,000","657,880,000","644,646,000","639,480,000","598,318,000","640,870,000","642,073,000","611,559,000","648,880,000","845,114,000","907,802,000","902,439,000","824,094,000","837,531,000","812,557,000","757,549,000","753,168,000","754,808,000","706,355,000","648,240,000","666,252,000","566,996,000","534,039,000","535,649,000","555,191,000","526,977,000","499,376,000","467,100,000","446,875,000","458,067,000","438,981,000","411,290,000","388,872,000","423,491,000","400,687,000","390,227,000","396,185,000","458,336,000","436,711,000","429,047,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"392,198,000","385,143,000","434,295,000","433,667,000","425,808,000","414,891,000","409,928,000","413,638,000","333,725,000","323,502,000","322,201,000","344,268,000","301,439,000","295,847,000","308,278,000","299,723,000","297,515,000","292,765,000","284,397,000","297,221,000","279,800,000","248,354,000","276,625,000","278,424,000","268,716,000","280,526,000","322,751,000","344,470,000","346,241,000","340,223,000","391,356,000","398,471,000","406,267,000","359,819,000","358,191,000","652,013,000","640,941,000","617,517,000","638,372,000","634,981,000","650,340,000","636,304,000","703,586,000",,"664,484,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-6,327,000","-7,262,000","-8,398,000","-9,482,000","-7,978,000","-7,501,000","-8,934,000","-7,073,000","-13,015,000","-13,512,000","-11,539,000","-10,911,000","-4,644,000","-4,634,000","-4,113,000","-4,333,000","-4,549,000","-4,731,000","-5,165,000","-7,941,000","-11,801,000","-11,800,000","-13,091,000","-13,183,000","-16,056,000","-25,649,000","-24,516,000","-15,003,000","-14,236,000","-15,119,000","-13,083,000","-13,837,000","-6,566,000","-6,638,000","-4,070,000","-20,058,000","-18,785,000","-17,253,000","-18,969,000","-19,783,000","-18,695,000","-17,829,000","-18,989,000",,"-21,094,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"26,128,000","33,059,000","140,185,000","123,552,000","105,131,000","89,007,000","91,581,000","78,627,000","69,184,000","52,431,000","233,013,000","61,234,000","68,608,000","78,436,000","83,026,000","46,147,000","48,684,000","20,224,000","22,647,000","22,340,000","21,192,000","21,053,000","17,595,000","16,875,000","19,458,000","30,395,000","23,293,000","22,167,000","21,709,000","28,145,000","31,041,000","33,604,000","52,078,000","46,470,000","29,627,000","41,659,000","39,651,000","39,836,000","40,296,000","33,014,000","34,955,000","44,431,000","28,071,000","29,652,000","27,738,000","29,299,000","28,848,000","25,381,000","27,937,000","30,865,000","27,497,000","36,358,000","30,926,000","46,032,000","57,265,000","59,895,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"76,854,000","70,493,000","163,072,000","157,616,000","171,587,000","173,013,000","170,037,000","173,573,000","167,890,000","156,991,000","149,984,000","133,890,000","147,696,000","133,111,000","137,768,000","130,871,000","132,352,000","178,293,000","227,008,000","201,851,000","190,431,000","187,681,000","208,695,000","208,243,000","233,335,000","216,967,000","210,296,000","208,043,000","194,598,000","177,265,000","182,833,000","176,348,000","166,778,000","155,689,000","176,792,000","244,836,000","244,517,000","236,512,000","262,512,000","260,961,000","261,959,000","241,934,000","276,625,000","295,520,000","289,907,000","271,617,000","278,922,000","262,500,000","279,744,000","291,174,000","300,874,000","295,890,000","308,233,000","309,530,000","351,941,000","368,108,000","362,772,000","310,931,000","269,193,000","240,749,000","219,627,000","285,229,000","284,780,000","269,882,000","280,133,000","251,080,000","246,622,000","262,922,000","247,816,000","217,026,000","244,201,000","216,378,000","205,925,000","190,221,000","187,692,000","183,806,000","188,974,000","181,712,000","180,524,000","170,972,000","186,658,000","183,812,000","194,618,000","202,051,000","201,712,000","199,117,000","233,990,000","231,052,000","175,998,000","172,200,000","160,600,000","166,900,000","173,000,000","175,800,000","175,200,000","161,500,000","147,800,000","135,200,000","142,200,000","137,700,000","133,100,000","126,000,000","134,100,000","134,600,000","128,200,000","123,300,000","132,000,000","135,100,000","136,800,000","121,200,000","129,200,000","127,400,000","119,600,000","202,400,000","205,300,000","168,600,000","197,200,000","202,600,000","233,800,000","235,700,000","223,100,000","225,100,000","292,400,000","208,000,000","273,900,000","332,500,000","384,700,000","353,100,000","358,000,000","339,800,000","334,500,000","297,800,000","289,900,000","217,100,000","189,800,000","203,600,000"
			RawMaterials,"63,035,000","56,777,000","130,227,000","124,415,000","153,274,000","147,986,000","141,812,000","148,233,000","143,957,000","129,353,000","124,091,000","106,712,000","106,892,000","94,101,000","95,636,000","90,631,000","92,638,000","81,912,000","86,600,000","82,008,000","83,391,000","84,358,000","92,549,000","96,352,000","99,141,000","97,636,000","104,460,000","112,815,000","117,857,000","118,620,000","119,079,000","118,196,000","113,500,000","106,954,000","119,871,000","128,720,000","137,579,000","137,664,000","140,620,000","133,394,000","133,040,000","129,448,000","134,694,000","136,285,000","90,803,000","79,420,000","82,421,000","77,210,000","80,898,000","84,542,000","85,284,000","84,169,000","84,894,000","83,372,000","91,908,000","86,272,000","89,257,000","76,735,000","71,716,000","66,282,000","63,397,000","96,750,000","95,389,000","92,740,000","95,470,000","87,251,000",,,"97,926,000","91,965,000","100,100,000","88,332,000","84,657,000","74,231,000","70,693,000","71,380,000","78,404,000","74,775,000","71,811,000","63,466,000","70,100,000","70,563,000","65,940,000","68,754,000","72,340,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"5,963,000","5,393,000","23,793,000","25,029,000","7,846,000","16,522,000","13,489,000","12,107,000","10,795,000","13,088,000","12,394,000","14,447,000","21,715,000","21,787,000","22,175,000","18,777,000","20,967,000","69,966,000","111,643,000","96,571,000","83,865,000","76,859,000","85,948,000","73,684,000","98,500,000","86,745,000","69,938,000","59,047,000","43,261,000","28,644,000","31,299,000","33,022,000","31,044,000","25,623,000","35,214,000","36,834,000","36,519,000","28,944,000","40,034,000","43,813,000","44,832,000","34,041,000","33,857,000","32,921,000","30,665,000","28,266,000","26,484,000","22,351,000","20,967,000","19,381,000","24,446,000","22,715,000","27,082,000","21,918,000","24,712,000","24,907,000","29,468,000","23,776,000","20,105,000","16,209,000","12,429,000","31,489,000","46,138,000","41,580,000","50,480,000","43,830,000",,,"49,945,000","37,882,000","55,179,000","45,449,000","41,363,000","32,121,000","31,032,000","26,300,000","26,971,000","24,287,000","22,952,000","24,738,000","27,823,000","25,785,000","32,694,000","36,168,000","37,946,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"7,856,000","8,323,000","9,052,000","8,172,000","10,467,000","8,505,000","14,736,000","13,233,000","13,138,000","14,550,000","13,499,000","12,731,000","19,089,000","17,223,000","19,957,000","21,463,000","18,747,000","26,415,000","28,765,000","23,272,000","23,175,000","26,464,000","30,198,000","38,207,000","35,694,000","32,586,000","35,898,000","36,181,000","33,480,000","30,001,000","32,455,000","25,130,000","22,234,000","23,112,000","21,707,000","79,282,000","70,419,000","69,904,000","81,858,000","83,754,000","84,087,000","78,445,000","108,074,000","126,314,000","168,439,000","163,931,000","170,017,000","162,939,000","177,879,000","187,251,000","191,144,000","189,006,000","196,257,000","204,240,000","179,946,000","201,190,000","189,379,000","161,013,000","128,366,000","113,225,000","101,558,000","117,072,000","106,105,000","99,786,000","98,721,000","85,325,000",,,"73,441,000","60,554,000","64,992,000","58,307,000","55,665,000","59,739,000","61,035,000","60,866,000","59,155,000","58,906,000","62,582,000","60,256,000","67,079,000","67,007,000","73,726,000","75,558,000","70,676,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,375,000","55,739,000","54,668,000","49,407,000","49,006,000","45,033,000","42,243,000","39,918,000","37,148,000","35,776,000","35,462,000","34,674,000",,,"26,504,000","26,625,000","23,930,000","24,290,000","24,240,000","24,130,000","24,932,000","25,260,000","24,444,000","23,744,000","23,179,000","22,512,000","21,656,000","20,457,000","22,258,000","21,571,000","20,750,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"32,393,000","31,065,000","62,022,000","58,416,000","55,231,000","56,099,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,"4,337,000","4,220,000","4,525,000","4,417,000","3,017,000","3,215,000","2,283,000","2,267,000","2,300,000","2,473,000","2,461,000","2,985,000","2,942,000","2,886,000","2,815,000","2,665,000","2,747,000","4,111,000","5,819,000","4,671,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"268,590,000","265,413,000",,,,"0","0","0","540,000","22,093,000","42,368,000","91,979,000",,,,,,,,,,,,,,,,,"1,328,000","1,355,000","3,525,000","0","0","113,968,000","714,986,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"13,096,000","9,934,000","16,303,000","15,300,000","14,217,000","10,645,000","66,219,000","55,270,000","53,668,000","51,575,000","62,442,000","52,418,000","45,219,000","35,128,000","42,068,000","44,562,000","41,227,000","39,332,000","35,825,000","32,840,000","34,203,000","60,523,000","62,894,000","80,503,000","75,537,000","82,527,000","90,897,000","82,603,000","85,860,000","87,110,000","88,158,000","88,552,000","74,792,000","75,842,000","74,238,000","96,181,000","96,644,000","94,581,000","105,465,000","114,738,000","123,031,000","133,407,000","123,572,000","112,432,000","134,711,000","144,491,000","163,818,000","155,478,000","147,259,000","154,797,000","107,440,000","96,498,000","101,331,000","109,710,000","106,886,000","100,426,000","89,064,000","88,479,000","391,248,000","367,216,000","355,181,000","91,965,000","83,107,000","65,801,000","62,051,000","62,762,000","98,721,000","59,098,000","55,821,000","58,614,000","58,869,000","49,371,000","47,647,000","47,045,000","51,209,000","54,927,000","56,768,000","61,686,000","73,192,000","68,663,000","69,759,000","68,661,000","59,200,000","54,830,000","53,436,000","57,222,000","65,126,000","63,056,000","58,525,000","58,400,000","63,400,000","59,200,000","58,600,000","59,100,000","57,200,000","61,700,000","54,300,000","97,300,000","57,100,000","64,300,000","71,700,000","68,400,000","62,800,000","59,600,000","63,900,000","60,900,000","35,700,000","32,200,000","25,300,000","21,500,000","16,600,000","17,100,000","14,500,000","16,100,000","27,400,000","15,300,000","19,100,000","28,000,000","22,900,000","25,300,000","33,800,000","42,300,000","29,900,000","29,900,000","34,800,000","33,100,000","59,800,000","55,800,000","87,500,000","52,800,000","50,400,000","58,600,000","36,500,000","30,400,000","36,500,000","31,800,000"
	TotalNonCurrentAssets,"2,158,974,000","2,178,935,000","2,150,591,000","2,160,743,000","2,144,023,000","2,177,464,000","2,130,516,000","2,128,188,000","1,666,390,000","1,714,655,000","1,682,103,000","1,752,737,000","1,091,558,000","1,027,833,000","1,028,839,000","1,027,355,000","999,865,000","986,593,000","1,040,918,000","1,037,197,000","1,028,180,000","1,003,696,000","1,054,495,000","1,318,921,000","1,354,137,000","1,406,820,000","1,433,981,000","1,547,043,000","1,561,560,000","1,581,979,000","1,605,927,000","1,622,924,000","1,642,642,000","1,602,993,000","1,303,957,000","1,871,243,000","1,889,145,000","1,909,526,000","2,158,515,000","2,120,640,000","2,191,271,000","2,179,446,000","2,304,638,000","2,387,892,000","2,353,452,000","2,314,274,000","2,384,942,000","2,297,870,000","2,387,587,000","2,469,902,000","2,362,939,000","2,350,436,000","2,264,155,000","2,357,482,000","2,627,838,000","2,753,617,000","2,668,671,000","2,560,093,000","2,519,485,000","2,376,457,000","2,288,944,000","2,094,801,000","2,034,127,000","1,978,036,000","1,909,090,000","1,874,781,000","1,457,262,000","1,440,148,000","1,448,155,000","1,464,832,000","1,397,716,000","1,376,807,000","1,377,444,000","1,373,684,000","1,335,374,000","1,329,548,000","1,268,186,000","1,296,895,000","1,363,544,000","1,409,804,000","1,365,773,000","1,374,699,000","1,411,153,000","1,387,148,000","1,399,648,000","1,454,533,000","1,434,569,000","1,433,135,000","1,040,249,000","1,046,800,000","1,031,000,000","1,015,000,000","1,016,100,000","1,036,200,000","992,000,000","958,300,000","799,400,000","763,500,000","793,400,000","801,200,000","809,900,000","815,900,000","804,100,000","802,500,000","790,200,000","776,900,000","805,900,000","792,600,000","793,500,000","777,800,000","824,000,000","811,300,000","824,900,000","827,500,000","808,000,000","389,300,000","390,700,000","392,900,000","408,400,000","404,900,000","386,000,000","398,200,000","401,200,000","400,700,000","397,600,000","397,900,000","387,100,000","385,900,000","381,600,000","379,600,000","383,200,000","380,300,000","346,200,000","338,800,000","328,900,000","350,500,000"
		NetPPE,"750,772,000","755,489,000","777,166,000","766,414,000","745,234,000","765,058,000","737,687,000","736,095,000","583,840,000","613,851,000","597,735,000","594,816,000","533,032,000","469,900,000","460,498,000","461,906,000","482,837,000","479,747,000","479,141,000","484,100,000","483,271,000","490,255,000","518,251,000","531,292,000","555,786,000","564,035,000","583,707,000","626,616,000","623,364,000","663,244,000","684,097,000","708,611,000","723,019,000","711,346,000","706,618,000","1,232,874,000","1,239,668,000","1,266,225,000","1,245,180,000","1,208,058,000","1,279,121,000","1,274,484,000","1,369,202,000","1,439,796,000","1,403,548,000","1,366,973,000","1,428,705,000","1,358,700,000","1,442,062,000","1,510,801,000","1,493,119,000","1,485,581,000","1,406,395,000","1,482,833,000","1,627,262,000","1,710,827,000","1,627,574,000","1,535,214,000","1,478,290,000","1,391,033,000","1,320,983,000","1,322,467,000","1,264,596,000","1,224,883,000","1,173,175,000","1,139,808,000","949,732,000","925,340,000","923,888,000","932,298,000","884,576,000","869,159,000","868,284,000","866,918,000","832,331,000","838,233,000","799,475,000","807,935,000","791,010,000","802,608,000","817,771,000","840,489,000","864,658,000","856,237,000","867,720,000","896,781,000","873,210,000","889,752,000","669,813,000","671,500,000","632,300,000","617,600,000","612,100,000","626,200,000","612,100,000","590,500,000","513,600,000","511,900,000","512,700,000","508,900,000","508,500,000","513,100,000","491,500,000","482,000,000","460,400,000","459,800,000","454,100,000","454,600,000","448,000,000","435,000,000","440,300,000","434,400,000","436,300,000","491,700,000","473,400,000","272,100,000","274,100,000","278,700,000","287,100,000","289,900,000","277,900,000","296,600,000","298,500,000","298,800,000","296,800,000","300,700,000","287,200,000","285,600,000","282,300,000","284,200,000","285,800,000","285,400,000","281,200,000","263,600,000","266,300,000","275,300,000"
