name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996
OperatingCashFlow,"136,898,000","-5,549,000","51,914,000","46,080,000","45,038,000","-2,809,000","57,335,000","65,208,000","57,690,000","-7,213,000","43,549,000","79,098,000","15,603,000","12,826,000","70,072,000","47,055,000","-3,641,000","29,855,000","24,373,000","38,334,000","34,524,000","29,964,000","24,680,000","8,741,000","40,091,000","10,674,000","52,613,000","25,834,000","39,576,000","18,936,000","47,745,000","19,637,000","24,847,000","-8,578,000","40,052,000","25,236,000","38,806,000","22,540,000","19,055,000","23,654,000","36,579,000","48,189,000","31,825,000","30,310,000","713,000","-1,889,000","47,074,000","18,500,000","24,411,000","31,324,000","55,611,000","37,882,000","43,553,000","16,013,000","18,959,000","27,559,000","47,277,000","20,852,000","19,548,000","35,670,000","24,498,000","35,663,000","28,869,000","28,552,000","38,751,000","21,978,000","15,714,000","24,712,000","43,283,000","18,865,000","22,312,000","24,805,000","40,186,000","31,965,000","-38,456,000","39,446,000","37,141,000","22,222,000","47,511,000","-5,508,000","19,968,000","26,153,000","49,375,000","47,215,000","3,560,000","79,941,000","3,546,000","25,322,000","12,848,000","25,048,000","40,400,000","21,200,000","18,200,000","22,300,000","9,500,000","24,500,000","14,900,000","-1,600,000","10,800,000","6,900,000","5,600,000","8,100,000","11,000,000","8,400,000"
	CashFlowFromContinuingOperatingActivities,"136,898,000","-5,549,000","51,914,000","46,080,000","45,038,000","-2,809,000","57,335,000","65,208,000","57,690,000","-7,213,000","43,549,000","79,098,000","15,603,000","12,826,000","70,072,000","47,055,000","-3,641,000","29,855,000","24,373,000","38,334,000","34,524,000","29,964,000","24,680,000","8,741,000","40,091,000","10,674,000","52,613,000","25,834,000","39,576,000","18,936,000","47,745,000","19,637,000","24,847,000","-8,578,000","40,052,000","25,236,000","38,806,000","22,540,000","19,055,000","23,654,000","36,579,000","48,189,000","31,825,000","30,310,000","713,000","-1,889,000","47,074,000","18,500,000","24,411,000","31,324,000","55,611,000","37,882,000","43,553,000","16,013,000","18,959,000","27,559,000","47,277,000","20,852,000","19,548,000","35,670,000","24,498,000","35,663,000","22,869,000","28,552,000","38,751,000","21,978,000","15,714,000","24,712,000","43,283,000","18,865,000","22,312,000","24,805,000","40,186,000","31,965,000","-38,456,000","39,446,000","37,141,000","22,222,000","47,511,000","-5,508,000","19,968,000","26,153,000","49,375,000","47,215,000","3,560,000","79,941,000","3,546,000","25,322,000","12,848,000","25,048,000","40,400,000","21,200,000","18,200,000","22,300,000","9,500,000","24,500,000","14,900,000","-1,600,000","10,800,000","6,900,000","5,600,000","8,100,000","11,000,000","8,400,000"
		NetIncomeFromContinuingOperations,"58,813,000","6,113,000","17,249,000","16,130,000","19,321,000","19,631,000","13,265,000","13,566,000","10,366,000","21,514,000","22,581,000","21,559,000","19,379,000","19,251,000","20,898,000","16,101,000","15,117,000","14,014,000","14,966,000","14,580,000","11,581,000","20,237,000","12,647,000","17,894,000","10,837,000","21,504,000","23,668,000","16,747,000","12,794,000","9,358,000","12,632,000","5,233,000","9,403,000","9,691,000","9,081,000","15,300,000","12,072,000","14,898,000",,,,"11,806,000","11,294,000","10,479,000","9,015,000","11,494,000","-1,791,000","11,690,000","11,466,000","1,064,000","8,466,000","11,339,000","10,703,000","12,825,000","19,870,000","13,741,000","13,321,000","14,839,000","13,903,000","15,202,000","15,622,000","16,044,000","15,095,000","13,604,000","15,605,000","15,466,000","22,599,000","13,502,000","8,547,000","8,581,000","12,262,000","16,333,000","7,756,000","10,833,000","6,607,000","-53,572,000","11,885,000","8,803,000","17,057,000","5,850,000","19,248,000","2,463,000","28,698,000","29,630,000","28,527,000","27,066,000","24,746,000","23,428,000","21,986,000","20,309,000","18,800,000","16,000,000","13,500,000","11,600,000","56,900,000","13,600,000","8,600,000","6,500,000","-116,200,000","11,000,000","1,700,000","1,200,000","3,800,000","900,000"
		OperatingGainsLosses,"7,294,000","7,471,000","-345,000","151,000","17,000","15,000","-3,000","-10,000","-25,000","-85,000","-79,000","-115,000","-13,000","-157,000","-36,000","43,000","-91,000","793,000","-108,000","-39,000","20,000","-57,000","-60,000","-26,000","-5,000","-6,603,000","-4,502,000","824,000","31,000","91,000","150,000","238,000","282,000","231,000","5,884,000","266,000","135,000","863,000","-26,000","-23,000","-15,000","-8,000","-14,000","-12,000","-21,000","-13,000","14,006,000","-33,000","-41,000","-38,000","-60,000","-97,000","-251,000","-1,660,000","-7,845,000","-817,000","-90,000","-62,000","64,000","-706,000","-917,000","-1,438,000","-6,873,000","5,642,000","-2,144,000","1,935,000","4,490,000","4,035,000","8,393,000","4,652,000","3,707,000","4,385,000","10,788,000","4,747,000","-116,285,000","123,230,000","1,187,000","1,865,000","2,346,000","6,313,000","0","21,157,000","13,081,000","69,000","160,000","495,000","0","3,000","15,000","30,000","100,000","100,000","0","100,000","100,000","100,000","0","100,000","121,900,000","-7,800,000","100,000","200,000","100,000","100,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","3,000","-6,614,000","-4,500,000","767,000","0","0","0","0","0","-222,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"7,162,000","7,471,000","-345,000","19,000","17,000","15,000","-3,000","-10,000","-25,000","-85,000","-79,000","-115,000","-13,000","-157,000","-36,000","43,000","-91,000","-17,000","-108,000","-39,000","20,000","-57,000","-60,000","-26,000","-8,000","11,000","-2,000","57,000","31,000","91,000","150,000","238,000","282,000","453,000","-354,000","266,000","135,000","863,000","-26,000","-23,000","-15,000","-8,000","-14,000","-12,000","-21,000","-13,000","-17,000","-33,000","-41,000","-38,000","-60,000","-97,000","-251,000","-1,660,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"75,959,000","20,008,000","19,883,000","18,521,000","17,547,000","16,850,000","16,859,000","16,772,000","16,889,000","16,353,000","16,624,000","15,319,000","18,117,000","17,062,000","17,365,000","15,848,000","15,559,000","13,860,000","11,236,000","10,596,000","10,263,000","10,786,000","10,898,000","10,279,000","10,134,000","9,931,000","10,436,000","10,901,000","10,808,000","11,912,000","11,951,000","11,836,000","11,774,000","12,076,000","13,660,000","14,265,000","13,791,000","14,736,000","16,086,000","17,571,000","16,668,000","16,139,000","17,085,000","16,788,000","17,342,000","16,393,000","12,325,000","9,543,000","10,265,000","9,733,000","9,250,000","8,878,000","9,063,000","7,203,000","7,222,000","7,555,000","9,555,000","8,695,000","8,577,000","8,274,000","7,619,000","7,402,000","7,349,000","7,024,000","6,794,000","6,383,000","6,206,000","10,724,000","10,980,000","10,910,000","11,385,000","10,291,000","10,768,000","9,957,000","9,535,000","10,847,000","10,109,000","11,190,000","9,434,000","11,313,000","10,920,000","7,367,000","7,867,000","5,880,000","5,672,000","5,127,000","5,064,000","4,889,000","4,787,000","4,650,000","5,900,000","6,600,000","6,400,000","6,300,000","5,700,000","5,500,000","5,000,000","4,700,000","7,100,000","7,800,000","7,700,000","7,300,000","7,100,000","6,900,000"
			DepreciationAndAmortization,"75,959,000","20,008,000","19,883,000","18,521,000","17,547,000","16,850,000","16,859,000","16,772,000","16,889,000","16,353,000","16,624,000","15,319,000","18,117,000","17,062,000","17,365,000","15,848,000","15,559,000","13,860,000","11,236,000","10,596,000","10,263,000","10,786,000","10,898,000","10,279,000","10,134,000","9,931,000","10,436,000","10,901,000","10,808,000","11,912,000","11,951,000","11,836,000","11,774,000","12,076,000","13,660,000","14,265,000","13,791,000","14,736,000","16,086,000","17,571,000","16,668,000","16,139,000","17,085,000","16,788,000","17,342,000","16,393,000","12,325,000","9,543,000","10,265,000","9,733,000","9,250,000","8,878,000","9,063,000","7,203,000","7,222,000","7,555,000","9,555,000","8,695,000","8,577,000","8,274,000","7,619,000","7,402,000","7,349,000","7,024,000","6,794,000","6,383,000","6,206,000","10,724,000","10,980,000","10,910,000","11,385,000","10,291,000","10,768,000","9,957,000","9,535,000","10,847,000","10,109,000","11,190,000","9,434,000","11,313,000","10,920,000","7,367,000","7,867,000","5,880,000","5,672,000","5,127,000","5,064,000","4,889,000","4,787,000","4,650,000","5,900,000","6,600,000","6,400,000","6,300,000","5,700,000","5,500,000","5,000,000","4,700,000","7,100,000","7,800,000","7,700,000","7,300,000","7,100,000","6,900,000"
				Depreciation,"24,860,000","6,138,000","6,231,000","6,225,000","6,266,000","6,113,000","5,910,000","5,817,000","5,634,000","5,565,000","5,503,000","5,365,000","5,441,000","5,113,000","5,011,000","4,831,000","4,548,000","3,914,000","3,405,000","3,344,000","3,316,000","3,315,000","3,193,000","3,398,000","3,509,000","3,516,000","3,508,000","3,723,000","3,850,000","3,695,000","3,605,000","3,553,000","3,440,000","3,486,000","4,254,000","4,609,000","4,770,000","5,000,000","5,202,000","5,373,000","5,874,000","5,837,000","6,511,000","6,404,000","6,273,000","6,247,000","5,850,000","4,865,000","6,091,000","5,622,000","5,388,000","5,540,000","4,901,000","4,240,000","4,081,000","4,469,000","4,007,000","3,637,000","3,572,000","3,422,000","3,038,000","2,868,000","2,787,000","2,600,000","2,699,000","2,352,000","2,481,000","3,691,000","3,751,000","3,767,000","4,403,000","3,535,000","3,517,000","3,636,000","3,916,000","1,096,000","7,767,000","4,599,000","4,929,000","5,007,000","4,715,000","4,188,000","3,999,000","3,679,000","3,518,000","3,350,000",,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"51,099,000","13,870,000","13,652,000","12,296,000","11,281,000","10,737,000","10,949,000","10,955,000","11,255,000","10,788,000","11,121,000","9,954,000","12,676,000","11,949,000","12,354,000","11,017,000","11,011,000","9,946,000","7,831,000","7,252,000","6,947,000","7,471,000","7,705,000","6,881,000","6,625,000","6,415,000","6,928,000","7,178,000","6,958,000","8,217,000","8,346,000","8,283,000","8,334,000","8,590,000","9,406,000","9,656,000","9,021,000","9,736,000","10,884,000","12,198,000","10,794,000","10,302,000","10,574,000","10,384,000","11,069,000","10,146,000","6,475,000","4,678,000","4,174,000","4,111,000","3,862,000","3,338,000","4,162,000","2,963,000","3,141,000","3,086,000","5,548,000","5,058,000","5,005,000","4,852,000","4,581,000","4,534,000","4,562,000","4,424,000","4,095,000","4,031,000","3,725,000","7,033,000","7,229,000","7,143,000","6,982,000","6,756,000","7,251,000","6,321,000","5,619,000","9,751,000","2,342,000","6,591,000","4,505,000","6,306,000","6,205,000","3,179,000","3,868,000","2,201,000","2,154,000","1,777,000",,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"51,099,000","13,870,000","13,652,000","12,296,000","11,281,000","10,737,000","10,949,000","10,955,000","11,255,000","10,788,000","11,121,000","9,954,000","12,676,000","11,949,000","12,354,000","11,017,000","11,011,000","9,946,000","7,831,000","7,252,000","6,947,000","7,471,000","7,705,000","6,881,000","6,625,000","6,415,000","6,928,000","7,178,000","6,958,000","8,217,000","8,346,000","8,283,000","8,334,000","8,590,000","9,406,000","9,656,000","9,021,000","9,736,000","10,884,000","12,198,000","10,794,000","10,302,000","10,574,000","10,384,000","11,069,000","10,146,000","6,475,000","4,678,000","4,174,000","4,111,000","3,862,000","3,338,000","4,162,000","2,963,000","3,141,000","3,086,000","5,548,000","5,058,000","5,005,000","4,852,000","4,581,000","4,534,000","4,562,000","4,424,000","4,095,000","4,031,000","3,725,000","7,033,000","7,229,000","7,143,000","6,982,000","6,756,000","7,251,000","6,321,000","5,619,000","9,751,000","2,342,000","6,591,000","4,505,000","6,306,000","6,205,000","3,179,000","3,868,000","2,201,000","2,154,000","1,777,000",,,,,,,,,,,,,,,,,,
		DeferredTax,"-4,175,000","-55,000","200,000","-4,246,000","-74,000","6,508,000","-4,877,000","-2,927,000","-2,539,000","9,310,000","-6,201,000","1,943,000","2,786,000","1,395,000","2,763,000","-2,794,000","927,000","4,017,000","5,625,000","-238,000","-4,246,000","5,971,000","-652,000","-2,237,000","-3,845,000","3,923,000","-10,550,000","-1,798,000","-3,781,000","23,000","66,000","-791,000","-2,006,000","2,772,000","-2,847,000","-5,450,000","86,000","6,447,000","-2,918,000","-1,447,000","-3,231,000","-3,111,000","2,340,000","2,981,000","-9,248,000","7,904,000","3,435,000","-116,000","-1,477,000","1,433,000","1,448,000","5,224,000","4,842,000","6,978,000","2,316,000","7,014,000","2,457,000","5,623,000","5,165,000","2,580,000","3,031,000","3,543,000","5,945,000","3,891,000","3,761,000","2,088,000","-3,719,000","-2,016,000","2,784,000","1,004,000","6,960,000","3,881,000","2,884,000","4,162,000","1,386,000","-1,413,000","2,090,000","-45,000","9,516,000","-6,927,000","-885,000","-2,304,000","2,418,000","3,242,000","2,758,000","158,000","673,000","1,106,000","1,225,000","1,446,000","1,100,000","400,000","100,000","4,800,000","-45,500,000","-700,000","-1,000,000","-3,300,000","-2,100,000","-1,400,000","-1,500,000","-900,000","900,000",
			DeferredIncomeTax,"-4,175,000","-55,000","200,000","-4,246,000","-74,000","6,508,000","-4,877,000","-2,927,000","-2,539,000","9,310,000","-6,201,000","1,943,000","2,786,000","1,395,000","2,763,000","-2,794,000","927,000","4,017,000","5,625,000","-238,000","-4,246,000","5,971,000","-652,000","-2,237,000","-3,845,000","3,923,000","-10,550,000","-1,798,000","-3,781,000","23,000","66,000","-791,000","-2,006,000","2,772,000","-2,847,000","-5,450,000","86,000","6,447,000","-2,918,000","-1,447,000","-3,231,000","-3,111,000","2,340,000","2,981,000","-9,248,000","7,904,000","3,435,000","-116,000","-1,477,000","1,433,000","1,448,000","5,224,000","4,842,000","6,978,000","2,316,000","7,014,000","2,457,000","5,623,000","5,165,000","2,580,000","3,031,000","3,543,000","5,945,000","3,891,000","3,761,000","2,088,000","-3,719,000","-2,016,000","2,784,000","1,004,000","6,960,000","3,881,000","2,884,000","4,162,000","1,386,000","-1,413,000","2,090,000","-45,000","9,516,000","-6,927,000","-885,000","-2,304,000","2,418,000","3,242,000","2,758,000","158,000","673,000","1,106,000","1,225,000","1,446,000","1,100,000","400,000","100,000","4,800,000","-45,500,000","-700,000","-1,000,000","-3,300,000","-2,100,000","-1,400,000","-1,500,000","-900,000","900,000",
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,251,000","1,226,000","1,203,000","1,179,000","1,158,000","1,420,000","1,449,000","1,446,000","1,462,000","1,685,000","2,300,000","2,057,000","2,017,000","2,083,000","2,225,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
