name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008
			CommonStockIssuance,,,"0","0","0","0","4,987,000,000","4,973,000,000","0","2,309,000,000","0","-232,000","848,232,000",,"0","0",,"0","0","0","0","400,175,000","0","0",,,"0",,,,"0","0",,,"0","0",,,"221,496,000","0",,,"0","-13,000",,,"30,000,000",,,,,,,,"0"
		NetPreferredStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","82,378,000","49,444,000","0","0"
			PreferredStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","82,378,000","49,444,000","0","0"
		ProceedsFromStockOptionExercised,"726,000,000","202,000,000","262,000,000","192,000,000","70,000,000","183,000,000","56,000,000","144,000,000","57,000,000","160,000,000","96,000,000","70,983,000","192,064,000","77,953,000","75,771,000","94,869,000","31,053,000","94,018,000","8,941,000","69,070,000","-106,587,000","110,190,000","10,356,000","42,983,000","57,640,000","52,838,000","12,585,000","35,155,000","23,653,000","35,218,000","10,530,000","36,810,000","68,149,000","374,126,000","13,088,000","27,128,000","157,506,000","17,903,000","6,807,000","7,687,000","1,398,000","8,993,000","2,713,000","2,895,000","1,211,000","3,706,000","609,000","161,000","222,000","358,000","379,000","53,000","33,000","32,000","293,000"
		NetOtherFinancingCharges,"-189,000,000","-48,000,000","-63,000,000","-47,000,000","-31,000,000","-37,000,000","-46,000,000","-86,000,000","-45,000,000","-48,000,000","20,000,000","-318,000","-519,900,000","-53,782,000","9,156,000","42,844,000","121,972,000","14,928,000","31,460,000","22,407,000","630,509,000","-136,889,000","178,307,000","-2,307,000","-14,727,000","-1,038,000","-467,000","-11,314,000","-4,286,000","-958,000","1,000","0","-83,556,000","-555,022,000","-527,000","-167,000",,,,,,,,,,,"31,000","-168,000","-1,949,000","-1,574,000",,,,,
EndCashPosition,"18,020,000,000","18,040,000,000","18,144,000,000","16,694,000,000","16,825,000,000","17,723,000,000","19,901,000,000","15,003,000,000","9,106,000,000","8,547,000,000","6,783,000,000","5,826,000,000","5,448,293,000","2,682,798,000","4,276,388,000","3,522,966,000","2,783,238,000","3,219,708,000","3,367,914,000","3,530,030,000","3,035,924,000","4,006,593,000","3,393,216,000","3,084,257,000","3,246,301,000","1,441,789,000","1,196,908,000","1,426,036,000","1,150,673,000","1,510,076,000","1,905,713,000","2,370,735,000","2,674,910,000","2,393,908,000","845,889,000","795,116,000","746,057,000","214,417,000","201,890,000","85,693,000","210,554,000","218,570,000","255,266,000","213,328,000","319,380,000","100,655,000","99,558,000","96,563,000","47,304,000","61,546,000","69,627,000","106,547,000","50,700,000","11,745,000","9,277,000"
	ChangesInCash,"297,000,000","-86,000,000","1,412,000,000","-89,000,000","-940,000,000","-1,957,000,000","4,664,000,000","5,811,000,000","521,000,000","1,788,000,000","943,000,000","388,566,000","2,764,902,000","-1,598,468,000","757,243,000","746,098,000","-413,859,000","-755,353,000","-166,143,000","486,012,000","-986,621,000","601,995,000","329,867,000","-165,227,000","1,807,066,000","232,011,000","-219,091,000","286,548,000","-364,002,000","-377,982,000","-447,308,000","-285,885,000","280,523,000","1,548,019,000","50,773,000","49,059,000","531,640,000","12,527,000","116,197,000","-124,861,000","-8,016,000","-36,696,000","41,938,000","-106,052,000","218,725,000","1,097,000","2,995,000","49,259,000","-14,242,000","-8,081,000","-36,920,000","55,847,000","38,955,000","2,468,000","-8,746,000"
	EffectOfExchangeRateChanges,"20,000,000","-18,000,000","38,000,000","-42,000,000","42,000,000","-221,000,000","234,000,000","86,000,000","38,000,000","-24,000,000","14,000,000","-11,471,000","593,000","4,878,000","-3,821,000","-6,370,000","-22,611,000","10,102,000","4,027,000","8,094,000","15,952,000","11,382,000","-20,908,000","3,183,000","-2,554,000","12,870,000","-10,037,000","-11,185,000","4,599,000","-17,655,000","-17,714,000","-18,290,000",,,,,,,,,,,,,,,,,,,,,,,
	BeginningCashPosition,"17,723,000,000","18,144,000,000","16,694,000,000","16,825,000,000","17,723,000,000","19,901,000,000","15,003,000,000","9,106,000,000","8,547,000,000","6,783,000,000","5,826,000,000","5,448,293,000","2,682,798,000","4,276,388,000","3,522,966,000","2,783,238,000","3,219,708,000","3,964,959,000","3,530,030,000","3,035,924,000","4,006,593,000","3,393,216,000","3,084,257,000","3,246,301,000","1,441,789,000","1,196,908,000","1,426,036,000","1,150,673,000","1,510,076,000","1,905,713,000","2,370,735,000","2,674,910,000","2,393,908,000","845,889,000","795,116,000","746,057,000","214,417,000","201,890,000","85,693,000","210,554,000","218,570,000","255,266,000","213,328,000","319,380,000","100,655,000","99,558,000","96,563,000","47,304,000","61,546,000","69,627,000","106,547,000","50,700,000","11,745,000","9,277,000","18,023,000"
IncomeTaxPaidSupplementalData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-10,000","0","-23,000","42,000","59,000","52,000","60,000","0","0"
InterestPaidSupplementalData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"295,000","369,000","276,000","198,000","24,000","18,000","15,000","13,000","2,000"
CapitalExpenditure,"-6,935,000,000","-1,781,000,000","-1,814,000,000","-1,825,000,000","-1,515,000,000","-2,860,000,000","-1,169,000,000","-1,026,000,000","-566,000,000","-481,000,000","-449,000,000","-409,600,000","-273,207,000","-305,193,000","-353,901,000","-559,765,000","-677,213,000","-728,637,000","-906,143,000","-1,244,727,000","-1,157,912,000","-772,572,000","-681,281,000","-247,611,000","-294,720,000","-216,859,000","-411,222,000","-392,403,000","-405,165,000","-426,060,000","-368,661,000","-284,175,000","-175,685,000","-141,364,000","-89,434,000","-76,548,000","-40,515,000","-57,727,000","-41,483,000","-68,472,000","-61,286,000","-67,987,000","-54,262,000","-68,844,000","-54,314,000","-20,476,000","-17,148,000","-5,383,000","-12,200,000","-5,472,000","-6,199,000","-2,256,000","-2,527,000","-902,000","-144,000"
IssuanceOfCapitalStock,,,"0","0","0","0","4,987,000,000","4,973,000,000","0","2,309,000,000","0","-232,000","848,232,000",,"0","0",,"0","0","0","0","400,175,000","0","0",,,"0",,,,"0","0",,,"0","0",,,"221,496,000","0",,,"0","-13,000",,,"30,000,000","238,842,000","0","0","0","82,378,000","49,444,000","0","0"
IssuanceOfDebt,"5,900,000,000","0","1,250,000,000","2,771,000,000","1,879,000,000","2,983,000,000","1,887,000,000","2,880,000,000","2,144,000,000","2,802,000,000","3,550,000,000","2,111,519,000","3,513,415,000","1,494,066,000","2,229,598,000","903,348,000","1,267,746,000","1,775,481,000","1,831,791,000","3,073,324,000","719,740,000","2,024,521,000","1,379,725,000","750,423,000","820,762,000","671,763,000","343,794,000","179,142,000","209,159,000","155,622,000","3,271,000","0","300,000,000","2,000,000,000","0","0","660,000,000","0","0","33,255,000","71,274,000","84,267,000","51,251,000","90,823,000","31,693,000","30,656,000","15,271,000","11,138,000","15,499,000","29,920,000","0","0","5,846,000","19,622,000","14,532,000"
RepaymentOfDebt,"-12,538,000,000","-2,068,000,000","-2,706,000,000","-4,297,000,000","-3,467,000,000","-4,145,000,000","-4,192,000,000","-3,461,000,000","-2,033,000,000","-2,515,000,000","-3,745,000,000","-2,063,774,000","-1,890,970,000","-2,171,256,000","-2,426,834,000","-1,125,279,000","-1,022,149,000","-1,512,767,000","-1,586,350,000","-1,063,295,000","-814,895,000","-799,248,000","-195,561,000","-1,111,969,000","-588,825,000","-8,128,000","-130,874,000","-59,005,000","-10,175,000","-3,726,000","-2,477,000","-3,056,000","-3,101,000","-2,545,000","-2,045,000","-2,746,000","-441,752,000","-14,219,000","-13,858,000","-763,000","-492,000","-429,000","-191,000","-96,000","-50,000","-79,000","-82,000","-78,000","-78,000","-77,000","-47,000","-60,000","-94,000","-121,000","-73,000"
FreeCashFlow,"6,916,000,000","2,214,000,000","2,771,000,000","1,322,000,000","609,000,000","-1,219,000,000","1,850,000,000","1,374,000,000","398,000,000","-921,000,000","976,000,000","346,400,000","590,399,000","-944,799,000","880,660,000","831,516,000","-806,877,000","-1,127,013,000","-396,252,000","-1,545,289,000","-1,358,084,000","-842,383,000","-1,129,490,000","176,038,000","-144,384,000","-466,464,000","-441,071,000","-595,743,000","-564,681,000","-557,854,000","-455,063,000","-312,171,000","-179,264,000","-80,724,000","40,328,000","25,798,000","-78,708,000","6,352,000","-101,544,000","-163,424,000","-122,267,000","-118,074,000","-81,350,000","-90,335,000","-76,802,000","-63,773,000","-51,432,000","-53,725,000","-30,062,000","-32,801,000","-35,206,000","-25,745,000","-14,693,000","-17,065,000","-22,498,000"
