name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990
TotalAssets,"19,224,000,000","17,816,000,000","17,333,000,000","16,084,000,000","14,689,000,000","12,059,000,000","11,731,000,000","12,551,000,000","12,366,000,000","11,608,000,000","10,917,000,000","11,291,000,000","11,152,000,000","10,982,000,000","10,569,000,000","10,058,000,000","10,026,000,000","9,862,000,000","9,878,000,000","9,580,000,000","9,186,000,000","9,160,000,000","9,467,000,000","8,941,000,000","8,936,000,000","9,190,000,000","11,191,000,000","11,213,000,000","11,544,000,000","12,314,000,000","12,008,000,000","13,406,000,000","13,394,000,000","13,143,000,000","13,006,000,000","14,864,000,000","15,151,000,000","15,217,000,000","15,496,000,000","15,404,000,000","15,804,000,000","16,073,000,000","15,931,000,000","16,245,000,000","15,768,000,000","15,350,000,000","15,653,000,000","15,418,000,000","15,327,000,000","15,422,000,000","15,849,000,000","15,737,000,000","15,142,000,000","16,087,000,000","17,268,000,000","17,307,000,000","16,177,000,000","15,632,000,000","13,312,000,000","12,913,000,000","10,914,000,000","10,586,000,000","10,462,000,000","10,439,000,000","10,170,000,000","9,822,000,000","11,365,000,000","11,238,000,000","11,229,000,000","10,956,000,000","8,795,000,000","8,400,000,000","8,314,000,000","7,838,000,000","9,241,000,000","9,333,000,000","8,325,000,000","7,977,000,000","8,679,000,000","8,614,000,000","8,271,000,000","8,337,000,000","9,337,000,000","8,954,000,000","8,626,000,000","8,711,000,000","7,793,000,000","7,606,000,000","7,549,000,000","7,525,000,000","6,960,000,000","6,884,000,000","6,744,000,000","6,693,000,000","6,866,000,000","6,784,000,000","6,743,000,000","6,694,000,000","6,701,000,000","6,574,000,000","6,504,000,000","6,580,000,000","6,595,000,000","6,467,000,000","6,447,000,000","6,521,000,000","6,647,000,000","6,503,000,000","6,417,000,000","6,480,000,000","6,441,000,000","6,496,000,000","6,523,000,000","6,616,000,000","6,565,000,000","6,498,000,000","6,282,000,000","6,251,000,000","5,984,000,000","5,581,000,000","5,521,000,000","5,627,000,000","5,641,000,000","5,422,000,000","5,213,000,000","5,582,000,000"
	CurrentAssets,"8,380,000,000","7,152,000,000","6,799,000,000","5,638,000,000","4,250,000,000","4,432,000,000","4,244,000,000","4,924,000,000","4,686,000,000","3,813,000,000","4,042,000,000","4,547,000,000","4,630,000,000","4,830,000,000","5,068,000,000","4,812,000,000","4,830,000,000","4,755,000,000","5,001,000,000","4,723,000,000","4,478,000,000","4,356,000,000","4,411,000,000","3,777,000,000","3,683,000,000","3,917,000,000","5,385,000,000","5,436,000,000","5,742,000,000","6,431,000,000","6,101,000,000","6,527,000,000","6,480,000,000","6,078,000,000","5,354,000,000","5,416,000,000","5,554,000,000","5,374,000,000","5,646,000,000","5,625,000,000","5,791,000,000","5,774,000,000","5,934,000,000","6,021,000,000","5,537,000,000","5,304,000,000","5,867,000,000","5,809,000,000","5,400,000,000","5,015,000,000","5,256,000,000","5,458,000,000","5,093,000,000","5,732,000,000","6,981,000,000","6,369,000,000","5,395,000,000","4,959,000,000","5,885,000,000","5,756,000,000","5,500,000,000","5,196,000,000","5,285,000,000","5,279,000,000","5,046,000,000","4,831,000,000","4,627,000,000","4,537,000,000","4,552,000,000","4,243,000,000","4,175,000,000","3,774,000,000","3,622,000,000","3,107,000,000","3,066,000,000","3,250,000,000","2,808,000,000","2,440,000,000","2,381,000,000","2,300,000,000","1,960,000,000","2,073,000,000","3,001,000,000","2,676,000,000","2,419,000,000","2,717,000,000","2,117,000,000","1,982,000,000","1,968,000,000","1,981,000,000","1,437,000,000","1,387,000,000","1,313,000,000","1,275,000,000","1,455,000,000","1,457,000,000","1,476,000,000","1,531,000,000","1,479,000,000","1,377,000,000","1,334,000,000","1,428,000,000","1,465,000,000","1,413,000,000","1,445,000,000","1,444,000,000","1,621,000,000","1,675,000,000","1,652,000,000","1,780,000,000","1,508,000,000","1,522,000,000","1,491,000,000","1,575,000,000","1,594,000,000","1,592,000,000","1,342,000,000","1,321,000,000","1,468,000,000","1,141,000,000","1,145,000,000","1,292,000,000","1,344,000,000","1,187,000,000","1,111,000,000","1,541,000,000"
		CashCashEquivalentsAndShortTermInvestments,"2,866,000,000","2,522,000,000","2,044,000,000","1,329,000,000","753,000,000","1,985,000,000","1,696,000,000","2,300,000,000","1,350,000,000","749,000,000","476,000,000","651,000,000","676,000,000","1,000,000,000","1,344,000,000","1,231,000,000","1,372,000,000","1,553,000,000","1,694,000,000","1,522,000,000","1,326,000,000","1,515,000,000","1,445,000,000","820,000,000","705,000,000","755,000,000","1,165,000,000","1,210,000,000","1,266,000,000","1,354,000,000","1,257,000,000","1,471,000,000","1,099,000,000","604,000,000","697,000,000","767,000,000","733,000,000","570,000,000","536,000,000","565,000,000","652,000,000","408,000,000","270,000,000","393,000,000","421,000,000","578,000,000","643,000,000","947,000,000","1,386,000,000","1,218,000,000","1,543,000,000","1,950,000,000","1,131,000,000","724,000,000","793,000,000","391,000,000","454,000,000","401,000,000","1,403,000,000","1,103,000,000","1,552,000,000","1,422,000,000","1,410,000,000","1,477,000,000","1,471,000,000","1,479,000,000","1,394,000,000","1,242,000,000","1,147,000,000","1,037,000,000","1,062,000,000","590,000,000","764,000,000","316,000,000","160,000,000","145,000,000","367,000,000","243,000,000","105,000,000","28,000,000","57,000,000","147,000,000","475,000,000","254,000,000","180,000,000","219,000,000","6,000,000","5,000,000","5,000,000","22,000,000","6,000,000","20,000,000","18,000,000","9,000,000","23,000,000","16,000,000","12,000,000","18,000,000","17,000,000","16,000,000","16,000,000","23,000,000","20,000,000","20,000,000","29,000,000","52,000,000","62,000,000","29,000,000","23,000,000","20,000,000","24,000,000","38,000,000","47,000,000","79,000,000","44,000,000","24,000,000","33,000,000","22,000,000","265,000,000","37,000,000","1,000,000","79,000,000","64,000,000","63,000,000","49,000,000","70,000,000"
			CashAndCashEquivalents,"2,866,000,000","2,522,000,000","2,044,000,000","1,329,000,000","753,000,000","1,985,000,000","1,696,000,000","2,300,000,000","1,350,000,000","749,000,000","476,000,000","651,000,000","676,000,000","1,000,000,000","1,344,000,000","1,231,000,000","1,372,000,000","1,553,000,000","1,694,000,000","1,522,000,000","1,326,000,000","1,515,000,000","1,445,000,000","820,000,000","705,000,000","755,000,000","1,165,000,000","1,210,000,000","1,266,000,000","1,354,000,000","1,257,000,000","1,471,000,000","1,099,000,000","604,000,000","697,000,000","767,000,000","733,000,000","570,000,000","536,000,000","565,000,000","652,000,000","408,000,000","270,000,000","393,000,000","421,000,000","578,000,000","643,000,000","947,000,000","1,386,000,000","1,218,000,000","1,543,000,000","1,950,000,000","1,131,000,000","724,000,000","793,000,000","391,000,000","454,000,000","401,000,000","1,403,000,000","1,103,000,000","1,552,000,000","1,422,000,000","1,410,000,000","1,477,000,000","1,471,000,000","1,479,000,000","1,394,000,000","1,242,000,000","1,147,000,000","1,037,000,000","1,062,000,000","590,000,000","764,000,000","316,000,000","160,000,000","145,000,000","367,000,000","243,000,000","105,000,000","28,000,000","57,000,000","147,000,000","475,000,000","254,000,000","180,000,000","219,000,000","6,000,000","5,000,000","5,000,000","22,000,000","6,000,000","20,000,000","18,000,000","9,000,000","23,000,000","16,000,000","12,000,000","18,000,000","17,000,000","16,000,000","16,000,000","23,000,000","20,000,000","20,000,000","29,000,000","52,000,000","62,000,000","29,000,000","23,000,000","20,000,000","24,000,000","38,000,000","47,000,000","79,000,000","44,000,000","24,000,000","33,000,000","22,000,000","265,000,000","37,000,000","1,000,000","79,000,000","64,000,000","63,000,000","49,000,000","70,000,000"
		Receivables,"2,415,000,000","2,089,000,000","2,403,000,000","2,010,000,000","1,619,000,000","994,000,000","1,099,000,000","939,000,000","1,172,000,000","1,177,000,000","1,400,000,000","1,638,000,000","1,729,000,000","1,659,000,000","1,673,000,000","1,656,000,000","1,566,000,000","1,379,000,000","1,527,000,000","1,444,000,000","1,399,000,000","1,248,000,000","1,196,000,000","1,250,000,000","1,139,000,000","1,063,000,000","1,335,000,000","1,497,000,000","1,648,000,000","1,942,000,000","2,072,000,000","2,086,000,000","2,384,000,000","2,160,000,000","1,957,000,000","2,142,000,000","2,274,000,000","2,090,000,000","2,412,000,000","2,469,000,000","2,518,000,000","2,433,000,000","2,613,000,000","2,708,000,000","2,662,000,000","2,198,000,000","2,367,000,000","2,383,000,000","1,983,000,000","1,781,000,000","1,844,000,000","1,386,000,000","1,527,000,000","2,288,000,000","3,287,000,000","3,183,000,000","2,398,000,000","2,077,000,000","2,309,000,000","2,260,000,000","1,954,000,000","1,799,000,000","2,018,000,000","2,016,000,000","1,829,000,000","1,598,000,000","1,615,000,000","1,705,000,000","1,911,000,000","1,770,000,000","1,671,000,000","1,579,000,000","1,404,000,000","1,219,000,000","1,274,000,000","1,351,000,000","1,104,000,000","934,000,000","1,058,000,000","1,119,000,000","775,000,000","830,000,000","1,385,000,000","1,322,000,000","1,089,000,000","1,341,000,000","961,000,000","915,000,000","921,000,000","838,000,000","532,000,000","423,000,000","406,000,000","392,000,000","441,000,000","483,000,000","519,000,000","588,000,000","517,000,000","473,000,000","472,000,000","580,000,000","553,000,000","589,000,000","610,000,000","614,000,000","679,000,000","686,000,000","631,000,000","716,000,000","582,000,000","533,000,000","532,000,000","596,000,000","478,000,000","481,000,000","416,000,000","447,000,000","481,000,000","419,000,000","467,000,000","586,000,000","593,000,000","395,000,000","348,000,000","773,000,000"
			AccountsReceivable,"2,415,000,000","2,089,000,000","2,403,000,000","2,010,000,000","1,619,000,000","994,000,000","1,099,000,000","939,000,000","1,172,000,000","1,177,000,000","1,400,000,000","1,638,000,000","1,729,000,000","1,659,000,000","1,673,000,000","1,656,000,000","1,566,000,000","1,379,000,000","1,527,000,000","1,444,000,000","1,399,000,000","1,248,000,000","1,196,000,000","1,250,000,000","1,139,000,000","1,063,000,000","1,335,000,000","1,497,000,000","1,648,000,000","1,927,000,000","2,058,000,000","2,071,000,000","2,200,000,000","1,975,000,000","1,957,000,000","2,142,000,000","2,274,000,000","2,090,000,000","2,412,000,000","2,469,000,000","2,518,000,000","2,046,000,000","2,527,000,000","2,695,000,000","2,596,000,000","2,023,000,000","2,322,000,000","2,362,000,000","1,962,000,000","1,567,000,000","1,638,000,000","1,257,000,000","1,527,000,000","2,288,000,000","3,287,000,000","3,183,000,000","2,398,000,000","2,077,000,000","2,309,000,000","2,260,000,000","1,954,000,000","1,799,000,000","2,018,000,000","2,016,000,000","1,829,000,000","1,598,000,000","1,615,000,000","1,705,000,000","1,911,000,000","1,770,000,000","1,671,000,000","1,579,000,000","1,404,000,000","1,219,000,000","1,274,000,000","1,351,000,000","1,104,000,000","934,000,000","1,058,000,000","1,119,000,000","775,000,000","830,000,000","656,000,000","652,000,000","626,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"2,455,000,000","2,133,000,000","2,446,000,000","2,053,000,000","1,652,000,000","1,028,000,000","1,133,000,000","973,000,000","1,205,000,000","1,205,000,000","1,427,000,000","1,666,000,000","1,757,000,000","1,688,000,000","1,702,000,000","1,684,000,000","1,594,000,000","1,407,000,000","1,556,000,000","1,472,000,000","1,426,000,000","1,273,000,000","1,222,000,000","1,276,000,000","1,166,000,000","1,091,000,000","1,365,000,000","1,525,000,000","1,685,000,000","1,972,000,000","2,107,000,000","2,124,000,000","2,255,000,000","2,028,000,000","2,010,000,000","2,196,000,000","2,328,000,000","2,145,000,000","2,467,000,000","2,523,000,000","2,575,000,000","2,110,000,000","2,579,000,000","2,749,000,000","2,650,000,000","2,071,000,000","2,364,000,000","2,404,000,000","2,001,000,000","1,606,000,000","1,692,000,000","1,310,000,000","1,573,000,000","2,340,000,000","3,333,000,000","3,232,000,000","2,445,000,000","2,119,000,000","2,352,000,000","2,302,000,000","2,001,000,000","1,857,000,000","2,079,000,000","2,079,000,000","1,901,000,000","1,666,000,000","1,705,000,000","1,794,000,000","2,001,000,000","1,870,000,000","1,801,000,000","1,700,000,000","1,522,000,000","1,348,000,000","1,403,000,000","1,468,000,000","1,169,000,000","991,000,000","1,114,000,000","1,185,000,000","943,000,000","995,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-40,000,000","-44,000,000","-43,000,000","-43,000,000","-33,000,000","-34,000,000","-34,000,000","-34,000,000","-33,000,000","-28,000,000","-27,000,000","-28,000,000","-28,000,000","-29,000,000","-29,000,000","-28,000,000","-28,000,000","-28,000,000","-29,000,000","-28,000,000","-27,000,000","-25,000,000","-26,000,000","-26,000,000","-27,000,000","-28,000,000","-30,000,000","-28,000,000","-37,000,000","-45,000,000","-49,000,000","-53,000,000","-55,000,000","-53,000,000","-53,000,000","-54,000,000","-54,000,000","-55,000,000","-55,000,000","-54,000,000","-57,000,000","-64,000,000","-52,000,000","-54,000,000","-54,000,000","-48,000,000","-42,000,000","-42,000,000","-39,000,000","-39,000,000","-54,000,000","-53,000,000","-46,000,000","-52,000,000","-46,000,000","-49,000,000","-47,000,000","-42,000,000","-43,000,000","-42,000,000","-47,000,000","-58,000,000","-61,000,000","-63,000,000","-72,000,000","-68,000,000","-90,000,000","-89,000,000","-90,000,000","-100,000,000","-130,000,000","-121,000,000","-118,000,000","-129,000,000","-129,000,000","-117,000,000","-65,000,000","-57,000,000","-56,000,000","-66,000,000","-168,000,000","-165,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,000,000","14,000,000","15,000,000","184,000,000","185,000,000",,,,,,,,"7,000,000","11,000,000","13,000,000","66,000,000","175,000,000","45,000,000","21,000,000","21,000,000","214,000,000","206,000,000","129,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"380,000,000","75,000,000",,,,,,,,,,,,,,,,,,,,,"131,000,000",,,,,,,"111,000,000",,,,,,,,,,,,"729,000,000","670,000,000","463,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"2,663,000,000","2,210,000,000","2,086,000,000","1,914,000,000","1,750,000,000","1,402,000,000","1,398,000,000","1,634,000,000","2,075,000,000","1,785,000,000","2,071,000,000","2,166,000,000","2,133,000,000","2,092,000,000","1,950,000,000","1,848,000,000","1,824,000,000","1,738,000,000","1,737,000,000","1,727,000,000","1,718,000,000","1,573,000,000","1,742,000,000","1,675,000,000","1,801,000,000","2,074,000,000","2,435,000,000","2,330,000,000","2,418,000,000","2,496,000,000","2,199,000,000","2,337,000,000","2,411,000,000","2,688,000,000","2,480,000,000","2,269,000,000","2,316,000,000","2,503,000,000","2,525,000,000","2,412,000,000","2,437,000,000","2,775,000,000","2,843,000,000","2,698,000,000","2,255,000,000","2,352,000,000","2,375,000,000","2,012,000,000","1,647,000,000","1,679,000,000","1,677,000,000","1,781,000,000","2,080,000,000","2,492,000,000","2,669,000,000","2,593,000,000","2,339,000,000","2,279,000,000","1,826,000,000","2,055,000,000","1,618,000,000","1,604,000,000","1,673,000,000","1,517,000,000","1,483,000,000","1,466,000,000","1,341,000,000","1,428,000,000","1,308,000,000","1,197,000,000","1,251,000,000","1,332,000,000","1,180,000,000","1,283,000,000","1,394,000,000","1,468,000,000","1,077,000,000","1,030,000,000","967,000,000","919,000,000","901,000,000","870,000,000","950,000,000","916,000,000","957,000,000","946,000,000","856,000,000","773,000,000","758,000,000","743,000,000","719,000,000","768,000,000","712,000,000","698,000,000","776,000,000","738,000,000","718,000,000","705,000,000","714,000,000","706,000,000","667,000,000","648,000,000","724,000,000","630,000,000","625,000,000","601,000,000","650,000,000","634,000,000","603,000,000","595,000,000","613,000,000","645,000,000","629,000,000","629,000,000","664,000,000","675,000,000","693,000,000","644,000,000","721,000,000","684,000,000","676,000,000","623,000,000","684,000,000","642,000,000","659,000,000","696,000,000"
			RawMaterials,"1,144,000,000","766,000,000","686,000,000","709,000,000","628,000,000","469,000,000","521,000,000","639,000,000","693,000,000","689,000,000","719,000,000","702,000,000","673,000,000","667,000,000","680,000,000","612,000,000","612,000,000","586,000,000","495,000,000","550,000,000","551,000,000","512,000,000","514,000,000","501,000,000","576,000,000","841,000,000","859,000,000","901,000,000","934,000,000","880,000,000","687,000,000","808,000,000","780,000,000","1,107,000,000","1,068,000,000","955,000,000","799,000,000","1,047,000,000","1,015,000,000","915,000,000","905,000,000","1,274,000,000","1,263,000,000","1,071,000,000","891,000,000","1,052,000,000","1,080,000,000","821,000,000","559,000,000","602,000,000","858,000,000","1,095,000,000","1,232,000,000","1,422,000,000","1,095,000,000","929,000,000","818,000,000","904,000,000","525,000,000","525,000,000","623,000,000","639,000,000","558,000,000","464,000,000","471,000,000","507,000,000","490,000,000","480,000,000","312,000,000","326,000,000","352,000,000","465,000,000","234,000,000","281,000,000","282,000,000","325,000,000","264,000,000","287,000,000","284,000,000","264,000,000","244,000,000","280,000,000","178,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"1,112,000,000","1,056,000,000","1,055,000,000","900,000,000","807,000,000","633,000,000","557,000,000","630,000,000","954,000,000","720,000,000","911,000,000","1,033,000,000","1,059,000,000","1,021,000,000","829,000,000","832,000,000","827,000,000","796,000,000","837,000,000","789,000,000","773,000,000","686,000,000","813,000,000","767,000,000","819,000,000","841,000,000","1,110,000,000","935,000,000","982,000,000","1,053,000,000","994,000,000","987,000,000","1,027,000,000","1,023,000,000","877,000,000","820,000,000","932,000,000","883,000,000","925,000,000","963,000,000","1,015,000,000","953,000,000","972,000,000","1,056,000,000","872,000,000","851,000,000","897,000,000","835,000,000","769,000,000","741,000,000","525,000,000","371,000,000","433,000,000","552,000,000","932,000,000","1,052,000,000","922,000,000","827,000,000","784,000,000","847,000,000","621,000,000","597,000,000","661,000,000","688,000,000","614,000,000","568,000,000","530,000,000","601,000,000","605,000,000","562,000,000","537,000,000","510,000,000","544,000,000","575,000,000","613,000,000","665,000,000","507,000,000","472,000,000","444,000,000","422,000,000","433,000,000","388,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"407,000,000","388,000,000","345,000,000","305,000,000","315,000,000","300,000,000","320,000,000","365,000,000","428,000,000","376,000,000","441,000,000","431,000,000","401,000,000","404,000,000","441,000,000","404,000,000","385,000,000","356,000,000","405,000,000","388,000,000","394,000,000","375,000,000","415,000,000","407,000,000","406,000,000","392,000,000","466,000,000","494,000,000","502,000,000","563,000,000","518,000,000","542,000,000","604,000,000","558,000,000","535,000,000","494,000,000","585,000,000","573,000,000","585,000,000","534,000,000","517,000,000","548,000,000","608,000,000","571,000,000","492,000,000","449,000,000","398,000,000","356,000,000","319,000,000","336,000,000","294,000,000","315,000,000","415,000,000","518,000,000","642,000,000","612,000,000","599,000,000","548,000,000","517,000,000","683,000,000","374,000,000","368,000,000","454,000,000","365,000,000","398,000,000","391,000,000","321,000,000","347,000,000","391,000,000","309,000,000","362,000,000","357,000,000","402,000,000","427,000,000","499,000,000","478,000,000","306,000,000","271,000,000","239,000,000","233,000,000","224,000,000","202,000,000","666,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"128,000,000",,"107,000,000","55,000,000","65,000,000",,,,,,,"62,000,000","63,000,000",,"79,000,000","72,000,000","66,000,000",,,,,,,,,,"106,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"412,000,000","353,000,000","362,000,000","602,000,000","535,000,000","577,000,000","499,000,000","576,000,000","162,000,000","167,000,000","169,000,000","171,000,000","119,000,000","116,000,000","115,000,000","114,000,000","128,000,000","131,000,000","127,000,000","125,000,000","303,000,000","298,000,000","297,000,000","299,000,000","142,000,000","290,000,000","305,000,000","177,000,000","155,000,000","142,000,000","159,000,000","151,000,000","318,000,000","306,000,000","345,000,000","362,000,000","167,000,000","241,000,000","257,000,000","275,000,000","261,000,000","138,000,000","176,000,000","223,000,000","167,000,000","245,000,000","239,000,000","245,000,000","203,000,000","248,000,000","227,000,000","217,000,000","226,000,000","212,000,000","216,000,000","216,000,000","185,000,000","171,000,000","170,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"412,000,000","353,000,000","362,000,000","602,000,000","535,000,000","577,000,000","499,000,000","576,000,000","162,000,000","167,000,000","169,000,000","171,000,000","119,000,000","116,000,000","115,000,000","114,000,000","128,000,000","131,000,000","127,000,000","125,000,000","303,000,000","298,000,000","297,000,000","299,000,000","142,000,000","290,000,000","305,000,000","177,000,000","155,000,000","142,000,000","159,000,000","151,000,000","318,000,000","306,000,000","345,000,000","362,000,000","167,000,000","241,000,000","257,000,000","275,000,000","261,000,000","138,000,000","176,000,000","223,000,000","167,000,000","245,000,000","239,000,000","245,000,000","203,000,000","248,000,000","227,000,000","217,000,000","226,000,000","212,000,000","216,000,000","216,000,000","185,000,000","171,000,000","170,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,"154,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"436,000,000","331,000,000","266,000,000","231,000,000","128,000,000","51,000,000","51,000,000","51,000,000","89,000,000","102,000,000","95,000,000","92,000,000","92,000,000","79,000,000","101,000,000","77,000,000","68,000,000","85,000,000","43,000,000","30,000,000","35,000,000","20,000,000","28,000,000","32,000,000","38,000,000","25,000,000","38,000,000","46,000,000","48,000,000","37,000,000","38,000,000","56,000,000","87,000,000","50,000,000","58,000,000","71,000,000","62,000,000","40,000,000","54,000,000","63,000,000","69,000,000","44,000,000","80,000,000","91,000,000","72,000,000","51,000,000","179,000,000","169,000,000","87,000,000","38,000,000","50,000,000","51,000,000","50,000,000","51,000,000","77,000,000","60,000,000","45,000,000","51,000,000","29,000,000","32,000,000","31,000,000","9,000,000","17,000,000","28,000,000","6,000,000","13,000,000","16,000,000","24,000,000","10,000,000","16,000,000","24,000,000","28,000,000","35,000,000","44,000,000","35,000,000","38,000,000","33,000,000","16,000,000","25,000,000","22,000,000","11,000,000","10,000,000","6,000,000","13,000,000","23,000,000","211,000,000","294,000,000","289,000,000","284,000,000","378,000,000","180,000,000","176,000,000","177,000,000","176,000,000","215,000,000","220,000,000","227,000,000","220,000,000","231,000,000","182,000,000","179,000,000","177,000,000","168,000,000","174,000,000","181,000,000","177,000,000","230,000,000","326,000,000","395,000,000","449,000,000","289,000,000","306,000,000","283,000,000","271,000,000","408,000,000","412,000,000","200,000,000","208,000,000","1,000,000","1,000,000","1,000,000","4,000,000","3,000,000","87,000,000","55,000,000","2,000,000"
	TotalNonCurrentAssets,"10,844,000,000","10,664,000,000","10,534,000,000","10,446,000,000","10,439,000,000","7,627,000,000","7,487,000,000","7,627,000,000","7,680,000,000","7,795,000,000","6,875,000,000","6,744,000,000","6,522,000,000","6,152,000,000","5,501,000,000","5,246,000,000","5,196,000,000","5,107,000,000","4,877,000,000","4,857,000,000","4,708,000,000","4,804,000,000","5,056,000,000","5,164,000,000","5,253,000,000","5,273,000,000","5,806,000,000","5,777,000,000","5,802,000,000","5,883,000,000","5,907,000,000","6,879,000,000","6,914,000,000","7,065,000,000","7,652,000,000","9,448,000,000","9,597,000,000","9,843,000,000","9,850,000,000","9,779,000,000","10,013,000,000","10,299,000,000","9,997,000,000","10,224,000,000","10,231,000,000","10,046,000,000","9,786,000,000","9,609,000,000","9,927,000,000","10,407,000,000","10,593,000,000","10,279,000,000","10,049,000,000","10,355,000,000","10,287,000,000","10,938,000,000","10,782,000,000","10,673,000,000","7,427,000,000","7,157,000,000","5,414,000,000","5,390,000,000","5,177,000,000","5,160,000,000","5,124,000,000","4,991,000,000","6,738,000,000","6,701,000,000","6,677,000,000","6,713,000,000","4,620,000,000","4,626,000,000","4,692,000,000","4,731,000,000","6,175,000,000","6,083,000,000","5,517,000,000","5,537,000,000","6,298,000,000","6,314,000,000","6,311,000,000","6,264,000,000","6,336,000,000","6,278,000,000","6,207,000,000","5,994,000,000","5,676,000,000","5,624,000,000","5,581,000,000","5,544,000,000","5,523,000,000","5,497,000,000","5,431,000,000","5,418,000,000","5,411,000,000","5,327,000,000","5,267,000,000","5,163,000,000","5,222,000,000","5,197,000,000","5,170,000,000","5,152,000,000","5,130,000,000","5,054,000,000","5,002,000,000","5,077,000,000","5,026,000,000","4,828,000,000","4,765,000,000","4,700,000,000","4,933,000,000","4,974,000,000","5,032,000,000","5,041,000,000","4,971,000,000","4,906,000,000","4,940,000,000","4,930,000,000","4,516,000,000","4,440,000,000","4,376,000,000","4,335,000,000","4,297,000,000","4,235,000,000","4,102,000,000","4,041,000,000"
