name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,12/31/1988,12/31/1987
TotalAssets,"48,832,000,000","48,022,000,000","46,917,000,000","45,436,000,000","43,643,000,000","42,144,000,000","41,099,000,000","40,230,000,000","40,219,000,000","40,809,000,000","40,943,000,000","41,086,000,000","41,059,000,000","42,216,000,000","37,749,000,000","37,028,000,000","36,637,000,000","37,302,000,000","37,327,000,000","37,043,000,000","36,576,000,000","37,317,000,000","41,400,000,000","41,296,000,000","42,664,000,000","46,577,000,000","50,383,000,000","54,008,000,000","56,065,000,000","58,795,000,000","63,976,000,000","64,009,000,000","63,843,000,000","63,473,000,000","62,598,000,000","63,157,000,000","42,588,000,000","35,440,000,000","34,517,000,000","33,689,000,000","32,905,000,000","32,070,000,000","31,708,000,000","30,579,000,000","31,008,000,000","29,386,000,000","27,951,000,000","25,979,000,000","27,113,000,000","25,996,000,000","25,705,000,000","24,624,000,000","23,708,000,000","23,353,000,000","42,006,000,000","42,348,000,000","41,828,000,000","40,661,000,000","41,389,000,000","40,634,000,000","41,434,000,000","5,389,802,000","5,280,389,000","5,109,539,000","4,796,192,000","5,550,206,000","4,877,781,000","4,958,264,000","4,789,703,000","5,086,995,000","4,783,064,000","4,725,514,000","4,949,602,000","4,718,366,000","4,794,440,000","4,949,555,000","4,969,017,000","4,192,193,000","4,204,759,000","4,192,328,000","4,177,882,000","4,211,929,000","4,035,684,000","3,927,979,000","3,965,254,000","3,950,741,000","3,981,173,000","3,984,652,000","4,024,468,000","4,082,900,000","4,132,200,000","4,086,700,000","4,092,900,000","4,192,600,000","4,174,200,000","4,218,200,000","4,221,400,000","4,152,200,000","4,139,700,000","4,105,700,000","3,996,000,000","3,865,500,000","3,782,400,000","3,624,000,000","3,639,200,000","3,581,700,000","3,512,200,000","3,388,700,000","3,191,200,000","3,040,200,000","2,771,800,000","2,582,600,000","2,322,800,000","2,116,700,000","1,673,200,000","1,522,600,000","1,679,000,000","1,694,000,000","1,635,200,000","1,230,400,000","1,169,400,000","1,157,600,000","999,300,000","798,000,000","743,900,000","674,600,000","575,900,000","484,200,000","431,300,000","415,100,000","335,500,000","302,100,000","291,100,000","197,700,000"
	CurrentAssets,"15,302,000,000","14,830,000,000","13,791,000,000","12,599,000,000","10,856,000,000","9,303,000,000","8,071,000,000","7,155,000,000","7,357,000,000","7,915,000,000","8,347,000,000","8,730,000,000","9,045,000,000","10,720,000,000","10,921,000,000","10,343,000,000","10,106,000,000","10,779,000,000","11,150,000,000","10,417,000,000","9,767,000,000","10,435,000,000","11,505,000,000","10,700,000,000","7,233,000,000","7,462,000,000","8,155,000,000","8,697,000,000","8,854,000,000","9,045,000,000","9,031,000,000","10,254,000,000","9,430,000,000","9,972,000,000","9,606,000,000","10,578,000,000","16,583,000,000","10,297,000,000","10,180,000,000","10,176,000,000","10,252,000,000","10,047,000,000","10,708,000,000","10,173,000,000","11,146,000,000","9,851,000,000","9,078,000,000","7,293,000,000","8,566,000,000","7,433,000,000","7,406,000,000","6,336,000,000","5,400,000,000","5,233,000,000","6,448,000,000","7,171,000,000","7,018,000,000","5,903,000,000","8,674,000,000","7,455,000,000","8,553,900,000","2,151,037,000","2,032,964,000","1,852,502,000","1,526,671,000","2,022,382,000","1,275,194,000","1,333,341,000","1,168,022,000","1,459,947,000","1,085,684,000","1,033,694,000","1,279,769,000","1,100,133,000","1,235,507,000","1,434,110,000","1,429,373,000","637,980,000","650,903,000","599,231,000","561,337,000","548,270,000","581,067,000","577,550,000","612,005,000","569,122,000","570,680,000","533,996,000","539,180,000","564,500,000","588,200,000","526,400,000","493,200,000","545,900,000","471,200,000","469,200,000","499,000,000","463,100,000","571,600,000","661,700,000","658,000,000","661,200,000","713,000,000","635,500,000","686,000,000","653,300,000","662,900,000","636,500,000","599,700,000","603,400,000","499,800,000","489,800,000","431,000,000","428,200,000","293,700,000","259,500,000","494,200,000","661,100,000","789,900,000","462,400,000","471,200,000","510,300,000","331,800,000","186,900,000","182,200,000","156,400,000","167,400,000","134,400,000","117,500,000","136,500,000","104,500,000","116,100,000","135,500,000","89,200,000"
		CashCashEquivalentsAndShortTermInvestments,"8,338,000,000","8,068,000,000","7,672,000,000","6,313,000,000","4,580,000,000","3,657,000,000","2,403,000,000","1,465,000,000","1,602,000,000","2,020,000,000","2,247,000,000","2,623,000,000","2,833,000,000","4,217,000,000","4,556,000,000","3,859,000,000","3,702,000,000","4,447,000,000","4,957,000,000","4,667,000,000","4,001,000,000","4,245,000,000","1,108,000,000","352,000,000","331,000,000","224,000,000","338,000,000","466,000,000","549,000,000","464,000,000","658,000,000","1,458,000,000","1,342,000,000","1,985,000,000","2,219,000,000","3,294,000,000","9,595,000,000","3,705,000,000","3,727,000,000","4,508,000,000","4,496,000,000","4,822,000,000","5,128,000,000","4,378,000,000","4,090,000,000","3,738,000,000","3,720,000,000","3,042,000,000","3,752,000,000","2,656,000,000","2,269,000,000","1,319,000,000","644,000,000","872,000,000","1,202,000,000","1,648,000,000","1,831,000,000","1,626,000,000","2,377,000,000","2,078,000,000","3,126,500,000","907,464,000","698,890,000","357,751,000","284,070,000","763,599,000","392,845,000","585,434,000","310,542,000","551,450,000","314,110,000","299,752,000","533,530,000","463,652,000","528,593,000","740,360,000","762,699,000","7,836,000","38,027,000","8,663,000","9,371,000","7,587,000","32,874,000","14,946,000","11,387,000","7,968,000","5,978,000","5,861,000","5,240,000","6,700,000","3,400,000","4,600,000","5,400,000","5,900,000","9,900,000","5,200,000","11,900,000","9,000,000","11,800,000","23,600,000","25,100,000","37,100,000","49,000,000","45,000,000","19,800,000","26,900,000","33,500,000","31,200,000","34,300,000","44,300,000","22,600,000","22,000,000","37,700,000","13,800,000","23,500,000","3,100,000","254,200,000","371,800,000","457,700,000","122,200,000","238,700,000","80,800,000","154,600,000","57,400,000","63,400,000","44,400,000","72,000,000","41,300,000","41,400,000","60,300,000","31,900,000","38,100,000","64,200,000","37,400,000"
			CashAndCashEquivalents,"8,338,000,000","8,068,000,000","7,672,000,000","6,313,000,000","4,580,000,000","3,657,000,000","2,403,000,000","1,465,000,000","1,602,000,000","2,020,000,000","2,247,000,000","2,623,000,000","2,833,000,000","4,217,000,000","4,556,000,000","3,859,000,000","3,702,000,000","4,447,000,000","4,957,000,000","4,667,000,000","4,001,000,000","4,245,000,000","1,108,000,000","352,000,000","331,000,000","224,000,000","338,000,000","466,000,000","549,000,000","464,000,000","658,000,000","1,458,000,000","1,342,000,000","1,985,000,000","2,219,000,000","3,294,000,000","9,595,000,000","3,705,000,000","3,727,000,000","4,508,000,000","4,496,000,000","4,822,000,000","5,128,000,000","4,378,000,000","4,090,000,000","3,738,000,000","3,720,000,000","3,042,000,000","3,752,000,000","2,656,000,000","2,269,000,000","1,319,000,000","644,000,000","872,000,000","1,202,000,000","1,648,000,000","1,831,000,000","1,626,000,000","2,377,000,000","2,078,000,000","3,126,500,000","907,464,000","698,890,000","357,751,000","284,070,000","763,599,000","392,845,000","585,434,000","310,542,000","551,450,000","314,110,000","299,752,000","533,530,000","463,652,000","528,593,000","740,360,000","762,699,000","7,836,000","38,027,000","8,663,000","9,371,000","7,587,000","32,874,000","14,946,000","11,387,000","7,968,000","5,978,000","5,861,000","5,240,000","6,700,000","3,400,000","4,600,000","5,400,000","5,900,000","9,900,000","5,200,000","11,900,000","9,000,000","11,800,000","23,600,000","25,100,000","37,100,000","49,000,000","45,000,000","19,800,000","26,900,000","33,500,000","31,200,000","34,300,000","44,300,000","22,600,000","22,000,000","37,700,000","13,800,000","23,500,000","3,100,000","254,200,000","371,800,000","457,700,000","122,200,000","238,700,000","80,800,000","154,600,000","57,400,000","63,400,000","44,400,000","72,000,000","41,300,000","41,400,000","60,300,000","31,900,000","38,100,000","64,200,000","37,400,000"
		Receivables,"1,981,000,000","1,742,000,000","1,522,000,000","1,678,000,000","1,770,000,000","1,412,000,000","1,357,000,000","1,363,000,000","1,106,000,000","1,167,000,000","994,000,000","970,000,000","1,191,000,000","1,322,000,000","1,290,000,000","1,302,000,000","1,444,000,000","1,571,000,000","1,546,000,000","1,434,000,000","1,399,000,000","2,094,000,000","1,750,000,000","1,712,000,000","2,141,000,000","2,277,000,000","1,902,000,000","2,272,000,000","2,396,000,000","2,563,000,000","2,307,000,000","2,758,000,000","2,377,000,000","2,562,000,000","2,229,000,000","1,879,000,000","1,769,000,000","1,629,000,000","1,666,000,000","1,315,000,000","1,437,000,000","1,142,000,000","1,446,000,000","1,785,000,000","1,899,000,000","2,425,000,000","2,115,000,000","1,244,000,000","1,733,000,000","1,803,000,000","1,856,000,000","2,065,000,000","1,710,000,000","1,212,000,000","1,663,000,000","2,211,000,000","2,130,000,000","1,295,000,000","2,165,000,000","2,455,000,000","2,254,400,000","485,769,000","551,371,000","685,275,000","616,090,000","687,969,000","418,689,000","302,184,000","396,054,000","435,062,000","256,859,000","240,887,000","222,194,000","196,440,000","280,898,000","242,961,000","211,340,000","190,509,000","165,959,000","146,638,000","144,612,000","118,611,000","118,573,000","174,070,000","184,861,000","149,085,000","159,577,000","108,568,000","148,684,000","172,700,000","214,400,000","186,900,000","137,000,000","228,500,000","164,500,000","168,600,000","164,000,000","129,600,000","204,800,000","238,100,000","270,300,000","236,800,000","235,700,000","189,600,000","264,200,000","256,100,000","225,600,000","252,900,000","210,000,000","234,200,000","186,400,000","169,300,000","146,000,000","188,700,000","120,100,000","115,300,000","88,600,000","150,800,000","185,300,000","201,400,000","77,300,000","305,900,000","70,500,000","19,900,000","34,800,000","38,500,000","40,100,000","36,800,000","20,800,000","29,800,000","21,900,000","36,900,000","33,800,000","19,300,000"
			AccountsReceivable,"1,537,000,000","1,168,000,000","931,000,000","1,100,000,000","1,248,000,000","892,000,000","893,000,000","717,000,000","515,000,000","741,000,000","731,000,000","725,000,000","781,000,000","829,000,000","1,064,000,000","1,077,000,000","1,222,000,000","1,246,000,000","1,024,000,000","802,000,000","734,000,000","1,126,000,000","788,000,000","694,000,000","837,000,000","689,000,000","626,000,000","949,000,000","995,000,000","953,000,000","1,514,000,000","1,838,000,000","1,511,000,000","1,728,000,000","1,749,000,000","1,244,000,000","1,082,000,000","927,000,000","1,666,000,000","1,315,000,000","1,437,000,000","1,142,000,000","1,446,000,000","1,785,000,000","1,899,000,000","2,327,000,000","2,115,000,000","1,244,000,000","1,733,000,000","1,664,000,000","1,466,000,000","2,065,000,000","1,710,000,000","601,000,000","1,663,000,000","1,964,000,000","2,130,000,000","1,295,000,000","2,165,000,000","2,455,000,000","2,254,400,000","485,769,000","551,371,000","685,275,000","616,090,000","687,969,000","418,689,000","302,184,000","396,054,000","354,749,000","256,859,000","240,887,000","222,194,000","196,440,000","280,898,000","242,961,000","211,340,000","190,509,000","165,959,000","146,638,000","144,612,000","103,235,000","118,573,000","174,070,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"444,000,000","574,000,000","591,000,000","578,000,000","522,000,000","520,000,000","464,000,000","646,000,000","591,000,000","426,000,000","263,000,000","245,000,000","410,000,000","493,000,000","226,000,000","225,000,000","222,000,000","325,000,000","522,000,000","632,000,000","665,000,000","879,000,000","865,000,000","916,000,000","1,182,000,000","1,414,000,000",,,,"1,322,000,000",,,,"419,000,000",,,,"436,000,000",,,,,,,,"98,000,000",,,,"139,000,000","390,000,000",,,"611,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,"89,000,000","97,000,000","102,000,000","122,000,000","174,000,000","1,276,000,000","1,323,000,000","1,401,000,000","288,000,000","793,000,000","920,000,000","866,000,000","415,000,000","480,000,000","635,000,000","687,000,000","266,000,000",,,,,,,,,,,,,,,,,,"247,000,000",,,,,,,,,,,,,,"80,313,000",,,,,,,,,,,,"15,376,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"4,454,000,000","4,497,000,000","4,120,000,000","4,218,000,000","4,145,000,000","3,893,000,000","3,892,000,000","3,810,000,000","3,854,000,000","4,073,000,000","4,434,000,000","4,377,000,000","4,461,000,000","4,759,000,000","4,047,000,000","4,176,000,000","3,885,000,000","3,893,000,000","3,857,000,000","3,642,000,000","3,763,000,000","3,642,000,000","3,685,000,000","3,744,000,000","4,528,000,000","4,788,000,000","5,345,000,000","5,431,000,000","5,238,000,000","5,361,000,000","5,489,000,000","5,370,000,000","5,220,000,000","5,018,000,000","4,853,000,000","4,946,000,000","4,809,000,000","4,576,000,000","4,434,000,000","4,025,000,000","4,096,000,000","3,869,000,000","3,721,000,000","3,748,000,000","3,709,000,000","3,434,000,000","2,235,000,000","2,896,000,000","2,971,000,000","2,870,000,000","2,916,000,000","2,683,000,000","2,766,000,000","2,763,000,000","3,430,000,000","3,231,000,000","2,187,000,000","2,885,000,000","2,135,000,000","2,387,000,000","2,590,900,000","724,248,000","751,534,000","790,942,000","612,522,000","565,019,000","450,031,000","435,248,000","446,602,000","466,712,000","437,139,000","417,147,000","454,944,000","397,027,000","381,066,000","380,610,000","384,749,000","387,247,000","392,355,000","388,128,000","352,195,000","369,188,000","375,883,000","383,984,000","403,948,000","400,607,000","395,493,000","387,343,000","370,257,000","368,100,000","359,700,000","323,700,000","339,500,000","301,400,000","288,000,000","289,000,000","315,200,000","314,800,000","342,500,000","391,400,000","350,200,000","375,700,000","408,600,000","386,300,000","393,800,000","354,800,000","383,600,000","340,300,000","343,200,000","314,000,000","275,000,000","275,700,000","231,500,000","211,900,000","141,500,000","137,600,000","143,500,000","132,300,000","140,500,000","135,800,000","151,200,000","121,600,000","103,600,000","107,600,000","81,400,000","72,500,000","54,600,000","55,400,000","54,000,000","45,800,000","49,800,000","39,400,000","36,800,000","32,100,000"
			RawMaterials,"3,248,000,000","3,375,000,000","3,140,000,000","3,055,000,000","3,022,000,000","2,974,000,000","2,974,000,000","2,921,000,000","2,929,000,000","3,110,000,000","3,213,000,000","3,281,000,000","3,242,000,000","3,241,000,000","3,177,000,000","3,274,000,000","3,067,000,000","2,992,000,000","2,954,000,000","2,918,000,000","2,824,000,000","2,899,000,000","2,869,000,000","2,908,000,000","3,605,000,000","3,813,000,000","4,247,000,000","4,253,000,000","4,068,000,000","4,088,000,000","4,245,000,000","4,002,000,000","3,763,000,000","3,673,000,000","3,660,000,000","3,648,000,000","3,444,000,000","3,413,000,000","1,465,000,000","1,377,000,000","1,450,000,000","2,643,000,000","2,490,000,000","1,277,000,000","1,199,000,000","1,169,000,000","1,108,000,000","1,242,000,000","1,326,000,000","1,760,000,000","1,298,000,000","1,204,000,000","1,213,000,000","1,695,000,000","1,323,000,000","232,000,000","171,000,000",,,,,"340,061,000","227,213,000","276,414,000","290,147,000","264,630,000",,,"223,280,000","213,447,000","326,969,000",,,"226,102,000",,,,"247,376,000",,,,"236,367,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,"275,000,000","195,000,000","184,000,000","200,000,000","165,000,000","174,000,000","163,000,000","110,000,000","106,000,000","124,000,000","79,000,000","156,000,000","137,000,000","192,000,000","174,000,000","179,000,000","138,000,000","154,000,000","154,000,000","121,000,000","177,000,000","114,000,000","94,000,000","93,000,000","118,000,000","108,000,000","102,000,000","155,000,000","158,000,000","174,000,000","129,000,000","154,000,000","188,000,000","199,000,000","80,000,000","244,000,000","237,000,000","252,000,000",,,,,,,"1,060,000,000",,,"282,000,000","336,000,000",,"386,000,000","276,000,000","277,000,000",,"271,000,000","326,000,000","314,000,000",,,,,,"183,091,000","197,892,000","184,729,000",,,,"100,890,000",,"94,761,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"931,000,000","927,000,000","796,000,000","963,000,000","958,000,000","745,000,000","755,000,000","779,000,000","819,000,000","839,000,000","1,142,000,000","940,000,000","1,082,000,000","1,326,000,000","696,000,000","723,000,000","680,000,000","747,000,000","749,000,000","603,000,000","762,000,000","629,000,000","722,000,000","743,000,000","805,000,000","867,000,000","996,000,000","1,023,000,000","1,012,000,000","1,099,000,000","1,115,000,000","1,214,000,000","1,269,000,000","1,146,000,000","1,113,000,000","1,054,000,000","1,128,000,000","911,000,000","1,374,000,000","1,182,000,000","1,254,000,000","1,226,000,000","1,231,000,000","1,399,000,000","1,450,000,000","1,409,000,000","1,127,000,000","604,000,000","577,000,000","1,110,000,000","630,000,000","618,000,000","705,000,000","1,068,000,000","926,000,000","822,000,000","811,000,000",,,,,"384,187,000","7,782,000","4,602,000","137,646,000","300,389,000",,,"5,339,000","253,265,000","15,409,000",,,"170,925,000",,,,"139,871,000",,,,"132,821,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,595,000,000","1,466,000,000","1,392,000,000",,,"1,072,000,000","1,060,000,000","856,000,000",,"768,000,000","732,000,000",,"602,000,000","585,000,000","571,000,000",,"910,000,000","1,851,000,000",,,,,,,"333,448,000","312,034,000",,,,,"117,093,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"891,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"386,000,000",,"81,000,000","97,000,000","97,000,000","152,000,000","215,000,000","241,700,000","33,556,000","31,169,000","18,534,000","13,989,000","5,795,000","13,129,000","9,975,000","14,324,000","6,223,000","77,576,000","73,152,000","66,358,000","8,050,000","10,365,000","9,370,000","9,777,000","2,579,000","4,753,000","5,993,000","5,350,000","3,075,000","3,928,000","4,550,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,168,000,000",,,,,,,,,,,,,,,,,,,,,,"500,000","500,000","500,000","500,000",,"2,756,000","2,743,000","34,964,000","34,585,000","60,809,000","60,808,000","49,809,000","49,809,000","49,809,000","49,809,000","49,809,000","49,809,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,"626,000,000","625,000,000","708,000,000","598,000,000","549,000,000","463,000,000","408,000,000","344,000,000","4,663,000,000","4,666,000,000","763,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"529,000,000","523,000,000","477,000,000","390,000,000","361,000,000","341,000,000","419,000,000","517,000,000","795,000,000","655,000,000","672,000,000","760,000,000","560,000,000","422,000,000","402,000,000","381,000,000","367,000,000","270,000,000","241,000,000","211,000,000","196,000,000","110,000,000","299,000,000","226,000,000","233,000,000","173,000,000","570,000,000","528,000,000","671,000,000","657,000,000","577,000,000","668,000,000","491,000,000","407,000,000","305,000,000","459,000,000","410,000,000","387,000,000","353,000,000","328,000,000","223,000,000","214,000,000","413,000,000","262,000,000","280,000,000","254,000,000","1,008,000,000","111,000,000","110,000,000","104,000,000","365,000,000","269,000,000","280,000,000",,"153,000,000",,"773,000,000",,"1,845,000,000","320,000,000","340,400,000",,,,,,,,,,,,,,,,,,,,,,,,"11,809,000","11,462,000","9,632,000","32,224,000","14,999,000","17,000,000","10,700,000","11,200,000","11,300,000","10,100,000","8,800,000","6,400,000","7,900,000","9,700,000","12,500,000","8,600,000","12,400,000","11,600,000","19,700,000","14,600,000","8,200,000","15,500,000","20,200,000","12,100,000","12,200,000","10,900,000","15,800,000","22,800,000","15,800,000","13,800,000","8,600,000","3,500,000","7,900,000","6,200,000","6,400,000","3,000,000","4,000,000","2,000,000","3,100,000","2,000,000","2,600,000","1,000,000","700,000","900,000","1,300,000","600,000","900,000","1,700,000","700,000","400,000"
	TotalNonCurrentAssets,"33,530,000,000","33,192,000,000","33,126,000,000","32,837,000,000","32,787,000,000","32,841,000,000","33,028,000,000","33,075,000,000","32,862,000,000","32,894,000,000","32,596,000,000","32,356,000,000","32,014,000,000","31,496,000,000","26,828,000,000","26,685,000,000","26,531,000,000","26,523,000,000","26,177,000,000","26,626,000,000","26,809,000,000","26,882,000,000","29,895,000,000","30,596,000,000","35,431,000,000","39,115,000,000","42,228,000,000","45,311,000,000","47,211,000,000","49,750,000,000","54,945,000,000","53,755,000,000","54,413,000,000","53,501,000,000","52,992,000,000","52,579,000,000","26,005,000,000","25,143,000,000","24,337,000,000","23,513,000,000","22,653,000,000","22,023,000,000","21,000,000,000","20,406,000,000","19,862,000,000","19,535,000,000","18,873,000,000","18,686,000,000","18,547,000,000","18,563,000,000","18,299,000,000","18,288,000,000","18,308,000,000","18,120,000,000","35,558,000,000","35,177,000,000","34,810,000,000","34,758,000,000","32,715,000,000","33,179,000,000","32,880,100,000","3,238,765,000","3,247,425,000","3,257,037,000","3,269,521,000","3,527,824,000","3,602,587,000","3,624,923,000","3,621,681,000","3,627,048,000","3,697,380,000","3,691,820,000","3,669,833,000","3,618,233,000","3,558,933,000","3,515,445,000","3,539,644,000","3,554,213,000","3,553,856,000","3,593,097,000","3,616,545,000","3,663,659,000","3,454,617,000","3,350,429,000","3,353,249,000","3,381,619,000","3,410,493,000","3,450,656,000","3,485,288,000","3,518,400,000","3,544,000,000","3,560,300,000","3,599,700,000","3,646,700,000","3,703,000,000","3,749,000,000","3,722,400,000","3,689,100,000","3,568,100,000","3,444,000,000","3,338,000,000","3,204,300,000","3,069,400,000","2,988,500,000","2,953,200,000","2,928,400,000","2,849,300,000","2,752,200,000","2,591,500,000","2,436,800,000","2,272,000,000","2,092,800,000","1,891,800,000","1,688,500,000","1,379,500,000","1,263,100,000","1,184,800,000","1,032,900,000","845,300,000","768,000,000","698,200,000","647,300,000","667,500,000","611,100,000","561,700,000","518,200,000","408,500,000","349,800,000","313,800,000","278,600,000","231,000,000","186,000,000","155,600,000","108,500,000"
		NetPPE,"30,708,000,000","30,345,000,000","30,102,000,000","29,836,000,000","29,775,000,000","29,818,000,000","29,911,000,000","29,936,000,000","29,899,000,000","29,584,000,000","29,330,000,000","28,841,000,000","28,497,000,000","28,010,000,000","23,013,000,000","22,923,000,000","22,792,000,000","22,844,000,000","22,934,000,000","23,115,000,000","23,174,000,000","23,310,000,000","26,038,000,000","26,646,000,000","30,819,000,000","34,789,000,000","37,925,000,000","41,056,000,000","42,973,000,000","45,494,000,000","48,641,000,000","47,233,000,000","48,066,000,000","47,401,000,000","46,647,000,000","46,214,000,000","21,689,000,000","20,999,000,000","22,165,000,000","21,461,000,000","20,733,000,000","20,135,000,000","19,565,000,000","19,023,000,000","17,076,000,000","16,785,000,000","16,461,000,000","17,625,000,000","17,495,000,000","16,195,000,000","16,075,000,000","16,092,000,000","17,358,000,000","16,002,000,000","26,482,000,000","26,129,000,000","25,814,000,000","25,715,000,000","24,020,000,000","24,302,000,000","23,730,100,000","3,098,502,000","3,112,618,000","3,104,806,000","3,095,779,000","3,088,931,000","3,120,311,000","3,146,065,000","3,166,743,000","3,199,292,000","3,265,764,000","3,285,880,000","3,281,406,000","3,261,697,000","3,242,730,000","3,256,150,000","3,292,133,000","3,320,561,000","3,340,576,000","3,356,677,000","3,383,648,000","3,457,277,000","3,206,402,000","3,215,909,000","3,221,552,000","3,248,710,000","3,261,301,000","3,297,419,000","3,325,439,000","3,363,300,000","3,387,100,000","3,401,700,000","3,437,500,000","3,474,500,000","3,524,600,000","3,565,700,000","3,541,900,000","3,521,700,000","3,397,200,000","3,289,300,000","3,207,000,000","3,088,600,000","2,965,400,000","2,889,900,000","2,862,600,000","2,845,600,000","2,767,600,000","2,672,500,000","2,510,800,000","2,360,500,000","2,223,900,000","2,040,900,000","1,845,100,000","1,646,600,000","1,262,000,000","1,166,200,000","1,079,400,000","993,400,000","802,200,000","724,300,000","654,200,000","601,700,000","623,900,000","575,100,000","525,700,000","500,100,000","395,000,000","336,200,000","300,100,000","264,700,000","223,700,000","179,400,000","150,800,000","105,300,000"
