name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
OperatingCashFlow,"602,851,000","61,983,000","201,478,000","185,237,000","154,153,000","110,551,000","195,458,000","107,256,000","145,342,000","-11,650,000","147,707,000","131,735,000","96,307,000","63,776,000","135,135,000","121,123,000","94,478,000","86,642,000","101,317,000","121,839,000","106,055,000","90,674,000","108,333,000","119,842,000","113,599,000","66,706,000","126,004,000","66,581,000","66,993,000","41,232,000","79,713,000","88,222,000","86,197,000","32,433,000","94,494,000","78,650,000","47,936,000","5,464,000","53,399,000","51,608,000","56,909,000","24,138,000","4,339,000","37,437,000","43,749,000","8,953,000","67,006,000","46,622,000","68,411,000","31,063,000","108,592,000","97,208,000","-14,358,000","12,729,000","78,637,000","76,193,000","22,306,000","-5,967,000","185,546,000","68,133,000","114,378,000","25,531,000","130,110,000","81,501,000","97,773,000","35,278,000","107,317,000","65,663,000","112,202,000","50,710,000","62,153,000","68,822,000","97,925,000","18,537,000","69,834,000","53,190,000","74,998,000","27,177,000","49,997,000","65,370,000","56,918,000","28,300,000","78,743,000","54,828,000","43,507,000","11,179,000","53,884,000","45,722,000","53,149,000","36,660,000","51,700,000","37,600,000","29,800,000","15,000,000","29,100,000","37,500,000","37,100,000","27,900,000","35,400,000","4,900,000","21,800,000","18,700,000","16,600,000","15,400,000","29,500,000","10,100,000","18,100,000","16,200,000","31,600,000","4,900,000","13,500,000","18,600,000","24,600,000","1,000,000","6,100,000","6,800,000","21,400,000","12,100,000","2,700,000","16,300,000","17,100,000","7,600,000","7,000,000","8,700,000","12,800,000","3,300,000","10,400,000","9,600,000","17,700,000","8,900,000"
	CashFlowFromContinuingOperatingActivities,"603,447,000","62,102,000","201,679,000","185,385,000","154,281,000","110,794,000","195,655,000","107,479,000","145,466,000","-11,457,000","147,901,000","131,883,000","97,118,000","60,166,000","132,142,000","121,360,000","94,736,000","86,848,000","106,593,000","122,018,000","106,750,000","90,940,000","108,992,000","120,110,000","114,656,000","66,832,000","126,686,000","67,172,000","67,230,000","42,358,000","81,443,000","88,637,000","86,561,000","33,600,000","95,654,000","79,380,000","48,744,000","6,093,000","54,721,000","49,894,000","62,505,000","26,733,000","38,437,000","25,059,000","25,572,000","14,062,000","59,809,000","46,622,000","67,954,000","32,200,000","108,592,000","100,538,000","-14,863,000","-4,454,000","87,104,000","76,193,000","25,077,000","-5,967,000","212,042,000","73,543,000","157,450,000","28,905,000","129,272,000","81,748,000","96,279,000","36,076,000","104,053,000","64,201,000","108,282,000","59,356,000","69,195,000","68,822,000","97,925,000","18,537,000","69,834,000","53,190,000","74,998,000","27,177,000","49,997,000","65,370,000","56,918,000","28,300,000","78,743,000","54,828,000","43,507,000","11,179,000","53,884,000","45,722,000","53,149,000","36,660,000","51,700,000","37,600,000","29,800,000","15,000,000","29,100,000","37,500,000","37,100,000","27,900,000","35,400,000","4,900,000","21,800,000","18,700,000","16,600,000","15,400,000","29,500,000","10,100,000","18,100,000","16,200,000","31,600,000","4,900,000","13,500,000","18,600,000","24,600,000","1,000,000","6,100,000","6,800,000","21,400,000","12,100,000","2,700,000","16,300,000","17,100,000","7,600,000","7,000,000","8,700,000","12,800,000","3,300,000","10,400,000","9,600,000","17,700,000","8,900,000"
		NetIncomeFromContinuingOperations,"487,649,000","77,141,000","128,079,000","199,181,000","83,248,000","74,866,000","76,131,000","116,587,000","11,456,000","131,150,000","108,265,000","228,929,000","83,375,000","40,897,000","90,590,000","56,524,000","-2,496,000","56,184,000","-42,658,000","77,015,000","78,003,000","40,170,000","61,063,000","66,322,000","59,588,000","50,868,000","101,282,000","60,852,000","45,009,000","38,570,000","50,945,000","54,957,000","47,705,000","35,144,000","35,066,000","46,808,000","42,635,000","27,239,000","23,294,000","24,451,000","47,262,000","-284,109,000","41,915,000","34,204,000","106,278,000","-60,694,000","24,866,000","23,440,000","41,667,000","35,933,000","48,287,000","61,414,000","6,591,000","26,650,000","33,775,000","42,319,000","34,943,000","22,943,000","65,385,000","-57,036,000","93,861,000","44,274,000","37,719,000","35,966,000","36,639,000","29,106,000","37,518,000","33,600,000","28,973,000","38,726,000","-71,613,000","17,493,000","34,165,000","29,472,000","29,805,000","18,222,000","31,835,000","29,241,000","35,032,000","26,280,000","33,536,000","30,418,000","29,167,000","22,102,000","31,061,000","29,981,000","31,364,000","21,722,000","29,324,000","26,814,000","27,300,000","19,000,000","25,800,000","23,100,000","25,300,000","16,200,000","21,200,000","19,900,000","21,200,000","13,900,000","18,300,000","16,700,000","17,200,000","10,000,000","15,100,000","14,900,000","15,000,000","8,300,000","13,300,000","12,300,000","12,700,000","7,400,000","11,100,000","10,000,000","10,000,000","5,900,000","9,200,000","8,600,000","9,300,000","6,200,000","8,500,000","8,000,000","8,500,000","5,900,000","7,900,000","7,500,000","8,000,000","5,700,000","7,600,000","7,300,000"
		OperatingGainsLosses,,,"0","-91,157,000",,,"-4,690,000","-4,683,000","-4,931,000","-4,874,000","6,573,000","-1,089,000","0","-2,739,000",,,,,"0","0","11,000","5,582,000","-194,000","-2,776,000","18,883,000","-1,019,000","0","-408,000",,,,,,,"0",,,,"0","0",,,"582,000","0","816,000","14,597,000","46,520,000",,,,,,,"2,597,000","-41,394,000","23,950,000","8,479,000","8,669,000","45,711,000","6,555,000","9,903,000","4,788,000","8,913,000","7,541,000","4,529,000","7,526,000","2,683,000","-3,223,000","19,594,000","-6,661,000","124,335,000","563,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","-2,100,000",,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"582,000",,,,"-158,000","-183,000","0","0",,,,"2,597,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,"-4,690,000","-4,683,000","-4,931,000","-4,874,000","-5,046,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"235,841,000","57,914,000","58,684,000","58,829,000","60,414,000","59,435,000","57,274,000","56,879,000","57,346,000","55,753,000","54,115,000","52,696,000","53,855,000","53,396,000","53,489,000","51,956,000","51,887,000","52,648,000","48,897,000","36,907,000","36,494,000","32,965,000","30,148,000","29,752,000","30,047,000","27,959,000","29,080,000","27,102,000","26,556,000","25,655,000","26,671,000","28,363,000","28,500,000","27,599,000","25,169,000","23,380,000","21,836,000","22,591,000","22,046,000","20,072,000","18,551,000","19,799,000","21,177,000","21,397,000","20,974,000","22,069,000","22,232,000","23,252,000","23,182,000","23,523,000","22,944,000","24,049,000","28,422,000","25,642,000","23,226,000","28,184,000","28,907,000","30,901,000","11,329,000","23,227,000","22,405,000","21,799,000","25,885,000","24,910,000","23,901,000","24,308,000","23,298,000","25,990,000","25,791,000","25,774,000","26,223,000","33,210,000","26,540,000","28,622,000","25,240,000","27,083,000","26,620,000","25,409,000","25,411,000","24,824,000","23,167,000","21,715,000","24,306,000","23,906,000","23,099,000","21,090,000","20,236,000","19,620,000","19,470,000","18,091,000","17,600,000","17,200,000","16,700,000","15,900,000","15,200,000","15,100,000","15,900,000","13,900,000","12,400,000","12,200,000","12,000,000","11,300,000","9,900,000","10,700,000","9,100,000","9,100,000","10,700,000","9,100,000","9,200,000","8,700,000","8,900,000","7,900,000","8,300,000","7,900,000","7,100,000","7,300,000","7,300,000","6,400,000","4,900,000","5,700,000","5,600,000","5,400,000","4,600,000","4,400,000","4,700,000","4,700,000","4,400,000","4,200,000","4,600,000","4,000,000"
			DepreciationAndAmortization,"235,841,000","57,914,000","58,684,000","58,829,000","60,414,000","59,435,000","57,274,000","56,879,000","57,346,000","55,753,000","54,115,000","52,696,000","53,855,000","53,396,000","53,489,000","51,956,000","51,887,000","52,648,000","48,897,000","36,907,000","36,494,000","32,965,000","30,148,000","29,752,000","30,047,000","27,959,000","29,080,000","27,102,000","26,556,000","25,655,000","26,671,000","28,363,000","28,500,000","27,599,000","25,169,000","23,380,000","21,836,000","22,591,000","22,046,000","20,072,000","18,551,000","19,799,000","21,177,000","21,397,000","20,974,000","22,069,000","22,232,000","23,252,000","23,182,000","23,523,000","22,944,000","24,049,000","28,422,000","25,642,000","23,226,000","28,184,000","28,907,000","30,901,000","11,329,000","23,227,000","22,405,000","21,799,000","25,885,000","24,910,000","23,901,000","24,308,000","23,298,000","25,990,000","25,791,000","25,774,000","26,223,000","33,210,000","26,540,000","28,622,000","25,240,000","27,083,000","26,620,000","25,409,000","25,411,000","24,824,000","23,167,000","21,715,000","24,306,000","23,906,000","23,099,000","21,090,000","20,236,000","19,620,000","19,470,000","18,091,000","17,600,000","17,200,000","16,700,000","15,900,000","15,200,000","15,100,000","15,900,000","13,900,000","12,400,000","12,200,000","12,000,000","11,300,000","9,900,000","10,700,000","9,100,000","9,100,000","10,700,000","9,100,000","9,200,000","8,700,000","8,900,000","7,900,000","8,300,000","7,900,000","7,100,000","7,300,000","7,300,000","6,400,000","4,900,000","5,700,000","5,600,000","5,400,000","4,600,000","4,400,000","4,700,000","4,700,000","4,400,000","4,200,000","4,600,000","4,000,000"
				Depreciation,"71,562,000","17,317,000","17,912,000","17,864,000","18,469,000","17,513,000","17,238,000","16,868,000","17,619,000","16,842,000","16,802,000","15,320,000","16,321,000","15,645,000","15,977,000","14,990,000","14,695,000","14,832,000","14,107,000","14,306,000","13,904,000","14,180,000","14,143,000","13,663,000","14,007,000","12,602,000","11,978,000","11,650,000","11,470,000","10,915,000","12,798,000","13,412,000","12,417,000","11,580,000","11,633,000","10,859,000","9,723,000","10,153,000","10,045,000","9,011,000","8,229,000","8,919,000","10,260,000","10,316,000","10,079,000","10,849,000","11,516,000","12,412,000","12,024,000","12,420,000","13,541,000","13,362,000","14,728,000","14,509,000","15,989,000","15,286,000","16,036,000","17,675,000","-4,539,000","18,788,000","18,465,000","18,244,000","21,601,000","21,264,000","20,408,000","20,447,000","20,001,000","22,214,000","21,961,000","21,755,000","21,868,000","28,895,000","23,654,000","26,137,000","22,702,000","24,606,000","24,841,000","23,711,000","23,926,000","23,223,000","21,831,000","20,455,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"164,279,000","40,597,000","40,772,000","40,965,000","41,945,000","41,922,000","40,036,000","40,011,000","39,727,000","38,911,000","37,313,000","37,376,000","37,534,000","37,751,000","37,512,000","36,966,000","37,192,000","37,816,000","34,790,000","22,601,000","22,590,000","18,785,000","16,005,000","16,089,000","16,040,000","15,357,000","17,102,000","15,452,000","15,086,000","14,740,000","13,873,000","14,951,000","16,083,000","16,019,000","13,536,000","12,521,000","12,113,000","12,438,000","12,001,000","11,061,000","10,322,000","10,880,000","10,917,000","11,081,000","10,895,000","11,220,000","10,716,000","10,840,000","11,158,000","11,103,000","9,403,000","10,687,000","13,694,000","11,133,000","7,237,000","12,898,000","12,871,000","13,226,000","15,868,000","4,439,000","3,940,000","3,555,000","4,284,000","3,646,000","3,493,000","3,861,000","3,297,000","3,776,000","3,830,000","4,019,000","4,355,000","4,315,000","2,886,000","2,485,000","2,538,000","2,477,000","1,779,000","1,698,000","1,485,000","1,601,000","1,336,000","1,260,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"164,279,000","40,597,000","40,772,000","40,965,000","41,945,000","41,922,000","40,036,000","40,011,000","39,727,000","38,911,000","37,313,000","37,376,000","37,534,000","37,751,000","37,512,000","36,966,000","37,192,000","37,816,000","34,790,000","22,601,000","22,590,000","18,785,000","16,005,000","16,089,000","16,040,000","15,357,000","17,102,000","15,452,000","15,086,000","14,740,000","13,873,000","14,951,000","16,083,000","16,019,000","13,536,000","12,521,000","12,113,000","12,438,000","12,001,000","11,061,000","10,322,000","10,880,000","10,917,000","11,081,000","10,895,000","11,220,000","10,716,000","10,840,000","11,158,000","11,103,000","9,403,000","10,687,000","13,694,000","11,133,000","7,237,000","12,898,000","12,871,000","13,226,000","15,868,000","4,439,000","3,940,000","3,555,000","4,284,000","3,646,000","3,493,000","3,861,000","3,297,000","3,776,000","3,830,000","4,019,000","4,355,000","4,315,000","2,886,000","2,485,000","2,538,000","2,477,000","1,779,000","1,698,000","1,485,000","1,601,000","1,336,000","1,260,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-110,255,000","409,000","-110,172,000","-1,117,000","625,000","425,000","-35,275,000","1,545,000","376,000","679,000","-27,631,000","-135,468,000","-8,098,000","2,603,000","-14,761,000","3,843,000","6,293,000","-1,472,000","-26,140,000","-6,903,000","-5,698,000","-3,081,000","-20,647,000","-7,407,000","-2,048,000","756,000","-32,453,000","-22,585,000","-460,000","1,085,000","-11,345,000","-5,619,000","-704,000","3,515,000","-8,468,000","1,982,000","-2,915,000","476,000","-11,961,000","-5,737,000","-8,856,000","-12,624,000","-10,598,000","-3,502,000","2,642,000","-1,701,000","-27,343,000","5,550,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"-110,255,000","409,000","-110,172,000","-1,117,000","625,000","425,000","-35,275,000","1,545,000","376,000","679,000","-27,631,000","-135,468,000","-8,098,000","2,603,000","-14,761,000","3,843,000","6,293,000","-1,472,000","-26,140,000","-6,903,000","-5,698,000","-3,081,000","-20,647,000","-7,407,000","-2,048,000","756,000","-32,453,000","-22,585,000","-460,000","1,085,000","-11,345,000","-5,619,000","-704,000","3,515,000","-8,468,000","1,982,000","-2,915,000","476,000","-11,961,000","-5,737,000","-8,856,000","-12,624,000","-10,598,000","-3,502,000","2,642,000","-1,701,000","-27,343,000","5,550,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,641,000","3,568,000","3,530,000","3,462,000","3,422,000","3,342,000","3,300,000","3,325,000","2,535,000","945,000","945,000","955,000","946,000","969,000","2,641,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,"8,236,000","1,497,000","0","0",,,"21,388,000","0","0","0","55,000","0","3,881,000","3,030,000","0","17,245,000",,,,,,,,,,,,,,,"0",,,,"2,993,000","3,354,000","0","4,494,000","0","0","0","332,128,000","-561,000","-1,000",,,"0","0",,,"0","-21,831,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"22,895,000","5,302,000","5,872,000","5,372,000","6,349,000","5,344,000","5,980,000","6,277,000","4,960,000","3,522,000","6,903,000","7,337,000","6,919,000","5,781,000","5,969,000","5,732,000","5,950,000","4,787,000","4,888,000","4,985,000","5,294,000","4,240,000","4,331,000","4,591,000","4,512,000","3,437,000","4,088,000","3,253,000","3,294,000","3,832,000","3,102,000","3,399,000","2,652,000","3,074,000","3,445,000","2,660,000","2,975,000","2,791,000","2,453,000","2,167,000","2,284,000","1,719,000","1,520,000","1,514,000","2,010,000","-1,055,000","1,852,000","2,868,000","3,048,000","1,853,000","2,266,000","2,557,000","1,986,000","2,250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"-37,432,000","-5,697,000","-19,563,000","-11,685,000","-487,000","-7,473,000","2,477,000","-24,814,000","11,808,000","-146,636,000","9,852,000","67,000","8,084,000","-10,024,000","-2,033,000","4,563,000","23,763,000","8,245,000","-280,000","-6,633,000","3,376,000","6,893,000","-4,549,000","-10,902,000","3,993,000","1,952,000","-10,000,000","-8,035,000","-266,000","986,000","887,000","1,126,000","1,744,000","-1,537,000","7,067,000","-1,516,000","-2,839,000","-8,660,000","20,710,000","329,000","1,106,000","-3,877,000","-11,807,000","-3,516,000","-77,706,000","79,097,000","-28,001,000","1,118,000","-127,000","554,000","2,947,000","-2,767,000","2,264,000","760,000","46,620,000","2,337,000","2,444,000","1,797,000","22,801,000","6,317,000","2,182,000","2,023,000","5,893,000","2,268,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000","0","-100,000","-100,000","-200,000","300,000","-200,000","200,000","-200,000","200,000","-100,000","-2,200,000","0","300,000","-200,000",,"0",,,,"0","200,000","-100,000",,,,,"1,000,000",,,"-200,000",,"-300,000","300,000","-100,000","-200,000","-100,000","300,000","-100,000"
		ChangeInWorkingCapital,"74,684,000","-74,464,000","138,779,000","25,962,000","-15,593,000","-21,803,000","67,680,000","-48,995,000","59,520,000","-55,925,000","-10,231,000","-20,589,000","-50,898,000","-32,778,000","276,000","-18,503,000","7,474,000","-33,544,000","121,886,000","16,647,000","-10,730,000","4,171,000","-4,516,000","40,530,000","-319,000","-17,121,000","34,689,000","6,993,000","-17,357,000","-27,770,000","11,183,000","6,411,000","6,664,000","-34,195,000","30,382,000","1,462,000","-12,948,000","-42,838,000","8,918,000","4,971,000","-1,078,000","-29,833,000","-7,253,000","-28,459,000","-35,845,000","-41,551,000","16,358,000","-14,346,000","-23,881,000","-30,608,000","14,349,000","36,170,000","-86,845,000","-64,994,000","30,001,000","-20,597,000","-49,696,000","-70,277,000","-16,338,000","94,480,000","29,099,000","-43,979,000","37,475,000","11,063,000","23,148,000","-24,864,000","26,461,000","7,834,000","33,924,000","1,517,000","-6,420,000","17,556,000","42,303,000","-39,557,000","-3,094,000","7,885,000","16,543,000","-27,473,000","-17,727,000","14,266,000","215,000","-23,833,000","15,588,000","8,820,000","-10,653,000","-39,892,000","-6,688,000","4,380,000","4,355,000","-8,245,000","2,200,000","1,200,000","-12,700,000","-23,900,000","-14,000,000","6,400,000","-300,000","-5,700,000","100,000","-21,000,000","-8,700,000","-9,200,000","-9,700,000","-5,300,000","5,000,000","-11,600,000","-8,600,000","-1,200,000","9,000,000","-16,100,000","-10,100,000","3,300,000","5,000,000","-16,800,000","-12,100,000","-6,500,000","4,900,000","-2,900,000","-21,300,000","4,500,000","2,800,000","-5,600,000","-7,600,000","-1,300,000","-100,000","-8,800,000","-3,200,000","-200,000","5,200,000","-2,300,000"
			ChangeInReceivables,"-16,107,000","-27,805,000","13,229,000","9,330,000","-10,861,000","-12,298,000","9,202,000","-10,297,000","68,988,000","-23,145,000","-18,572,000","-21,474,000","-5,645,000","-14,102,000","6,418,000","-13,944,000","-12,484,000","-3,402,000","-17,467,000","1,357,000","-13,620,000","18,691,000","-15,345,000","14,553,000","331,000","-10,568,000","9,112,000","9,270,000","3,922,000","-21,906,000","6,952,000","1,802,000","-5,326,000","5,966,000","11,101,000","5,689,000","-1,664,000","-16,420,000","-4,866,000","15,159,000","5,537,000","-18,762,000","-1,858,000","-3,390,000","-16,196,000","-21,674,000","2,474,000","14,958,000","-58,924,000","2,127,000","-122,660,000","901,000","24,908,000","-13,318,000","15,485,000","275,000","19,243,000","-32,154,000","30,549,000","17,101,000","9,068,000","-51,319,000","41,631,000","24,115,000","22,455,000","-16,518,000","-24,411,000","34,564,000","34,855,000","4,610,000","-31,993,000","40,057,000","-62,000","-42,665,000","-6,943,000","10,130,000","7,152,000","-35,598,000","-6,010,000","17,831,000","-5,490,000","-21,136,000","19,159,000","5,466,000","9,935,000","-31,273,000","-113,000","6,797,000","11,786,000","-25,090,000","-2,200,000","9,800,000","-3,600,000","-36,300,000","1,200,000","0","1,200,000","-27,100,000","-6,800,000","-15,000,000","4,200,000","-21,300,000","-5,700,000","1,900,000","7,800,000","-13,100,000","-4,500,000","2,000,000","11,600,000","-8,700,000","-5,700,000","-400,000","-2,400,000","-23,800,000","-15,800,000","1,500,000","700,000","-6,100,000","-15,200,000","6,000,000","-700,000","-1,500,000","-6,600,000","-4,100,000","1,700,000","1,300,000","-4,000,000","1,500,000","4,200,000","-3,400,000"
				ChangesInAccountReceivables,"-16,107,000","-27,805,000","13,229,000","9,330,000","-10,861,000","-12,298,000","9,202,000","-10,297,000","68,988,000","-23,145,000","-18,572,000","-21,474,000","-5,645,000","-14,102,000","6,418,000","-13,944,000","-12,484,000","-3,402,000","-17,467,000","1,357,000","-13,620,000","18,691,000","-15,345,000","14,553,000","331,000","-10,568,000","9,112,000","9,270,000","3,922,000","-21,906,000","6,952,000","1,802,000","-5,326,000","5,966,000","11,101,000","5,689,000","-1,664,000","-16,420,000","-4,866,000","15,159,000","5,537,000","-18,762,000","-1,858,000","-3,390,000","-16,919,000","-20,951,000","-10,953,000","11,454,000","-8,587,000","-48,210,000","-1,946,000","901,000","24,908,000","-13,318,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
