name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,12/31/2015
OperatingCashFlow,"26,942,000","-22,955,000","8,570,000","7,361,000","33,966,000","37,465,000","46,894,000","28,137,000","-4,744,000","36,952,000","27,779,000","15,032,000","20,652,000","27,302,000","28,583,000","-733,000","12,686,000","9,455,000","13,397,000","-5,310,000","-11,330,000","27,080,000","53,150,000","-20,071,000","14,110,000"
	CashFlowFromContinuingOperatingActivities,"26,942,000","-22,955,000","8,570,000","7,361,000","33,966,000","37,465,000","46,894,000","28,137,000","-4,744,000","36,952,000","27,779,000","15,032,000","20,652,000","27,302,000","28,583,000","-733,000","12,686,000","9,455,000","13,397,000","-5,310,000","-11,330,000","27,080,000","53,150,000","-20,071,000","14,110,000"
		NetIncomeFromContinuingOperations,"71,286,000","14,518,000","17,449,000","18,375,000","20,944,000","11,086,000","14,907,000","15,597,000","-15,009,000","-5,732,000","-6,288,000","15,548,000","11,490,000","7,070,000","17,117,000","8,086,000","871,000","2,237,000","7,501,000","8,264,000","-4,538,000","-5,627,000","15,754,000","17,153,000","-15,561,000"
		OperatingGainsLosses,,,"0",,,,,,,,,"-411,000","793,000","-466,000","1,864,000","2,812,000","1,335,000","-1,464,000",,,,,,,"0"
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,"-411,000","793,000","-466,000",,"2,812,000","1,335,000","-1,464,000",,,,,,,
		DepreciationAmortizationDepletion,"39,611,000","10,141,000","9,700,000","10,564,000","9,206,000","10,586,000","10,813,000","12,587,000","11,405,000","11,937,000","12,264,000","11,200,000","11,004,000","10,050,000","10,204,000","9,961,000","9,650,000","9,301,000","9,220,000","8,433,000","7,588,000","6,734,000","6,266,000","6,069,000","3,370,000"
			DepreciationAndAmortization,"39,611,000","10,141,000","9,700,000","10,564,000","9,206,000","10,586,000","10,813,000","12,587,000","11,405,000","11,937,000","12,264,000","11,200,000","11,004,000","10,050,000","10,204,000","9,961,000","9,650,000","9,301,000","9,220,000","8,433,000","7,588,000","6,734,000","6,266,000","6,069,000","3,370,000"
		DeferredTax,,,"-1,355,000",,,,"2,086,000",,,,"-2,121,000",,,,"-1,311,000",,,,,,,,,,"0"
			DeferredIncomeTax,,,"-1,355,000",,,,"2,086,000",,,,"-2,121,000",,,,"-1,311,000",,,,,,,,,,"0"
		StockBasedCompensation,"13,673,000","3,369,000","3,125,000","3,658,000","3,521,000","2,690,000","2,622,000","2,456,000","2,625,000","2,413,000","3,214,000","3,715,000","3,367,000","2,748,000","3,390,000","3,607,000","1,171,000","972,000","1,245,000","584,000","2,973,000","772,000","619,000","583,000","4,484,000"
		OtherNonCashItems,"1,602,000","208,000","1,721,000","-1,162,000","835,000","1,127,000","583,000","1,371,000","182,000","1,168,000","952,000","182,000","357,000","354,000","4,873,000","510,000","512,000","516,000","763,000","1,255,000","1,267,000","1,166,000","-2,106,000","1,746,000",
		ChangeInWorkingCapital,"-99,544,000","-51,191,000","-22,070,000","-25,743,000","-540,000","11,976,000","15,883,000","-5,111,000","-3,947,000","27,166,000","19,674,000","-15,030,000","-6,359,000","7,546,000","-7,554,000","-26,117,000","-853,000","-2,107,000","-9,717,000","-23,846,000","-18,620,000","24,035,000","32,617,000","-45,622,000","19,860,000"
			ChangeInReceivables,"-75,277,000","-1,108,000","-34,425,000","-15,054,000","-24,690,000","17,521,000","6,570,000","-41,092,000","10,839,000","43,760,000","15,674,000","-34,000,000","-17,361,000","31,718,000","-22,375,000","-31,438,000","-10,571,000","28,245,000","-16,115,000","-17,641,000","-12,668,000","17,951,000","-13,785,000","-5,017,000","6,111,000"
				ChangesInAccountReceivables,"-75,277,000","-1,108,000","-34,425,000","-15,054,000","-24,690,000","17,521,000","6,570,000","-41,092,000","10,839,000","43,760,000","15,674,000","-34,000,000","-17,361,000","31,718,000","-22,375,000","-31,438,000","-10,571,000","28,245,000","-16,115,000","-17,641,000","-12,668,000","17,951,000","-13,785,000","-5,017,000","6,111,000"
			ChangeInInventory,"-101,320,000","3,894,000","-25,396,000","-55,387,000","-24,431,000","-1,952,000","13,960,000","-11,333,000","-7,094,000","7,312,000","34,131,000","-20,101,000","-813,000","12,155,000","-5,684,000","-18,280,000","8,027,000","6,548,000","455,000","-20,921,000","-2,682,000","6,445,000","-6,840,000","-8,083,000","10,239,000"
