name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"2,529,266,000","2,564,108,000","2,469,412,000","2,348,007,000","2,282,762,000","2,307,689,000","2,139,541,000","2,058,357,000","2,023,470,000","2,089,138,000","2,254,961,000","2,206,368,000","2,194,563,000","2,197,123,000","2,141,388,000","2,099,122,000","2,097,094,000","2,099,780,000","2,238,958,000","2,195,168,000","2,170,226,000","2,185,395,000","2,356,880,000","2,329,241,000","2,311,987,000","2,417,690,000","2,339,914,000","2,366,215,000","2,360,146,000","2,566,474,000","2,444,110,000","2,464,492,000","2,507,837,000","2,572,552,000","2,628,270,000","2,647,621,000","2,650,977,000","2,806,335,000","2,725,565,000","2,716,806,000","2,817,780,000","2,883,450,000","2,834,961,000","3,056,902,000","3,171,438,000","3,285,741,000","3,016,507,000","2,991,735,000","3,029,723,000","3,088,557,000","3,129,325,000","3,210,351,000","3,502,077,000","3,401,680,000","3,221,695,000","3,358,290,000","3,383,620,000","3,473,092,000","3,478,536,000","3,431,825,000","3,799,607,000","3,855,928,000","4,450,178,000","4,608,546,000","4,524,763,000","4,533,037,000","4,378,812,000","4,336,809,000","4,305,077,000","3,949,857,000","3,827,905,000","3,784,604,000","3,735,732,000","3,804,739,000","3,690,306,000","3,714,772,000","3,709,814,000","3,633,842,000","3,509,761,000","3,527,419,000","3,447,885,000","3,438,684,000","3,375,500,000","3,464,505,000","3,500,190,000","3,606,679,000","3,656,990,000","3,707,677,000","3,742,601,000","3,495,800,000","3,465,300,000","3,457,600,000","3,464,100,000","3,465,100,000","3,454,300,000","3,480,800,000","3,595,200,000","3,639,000,000","3,531,000,000","3,535,700,000","3,563,500,000","3,539,900,000","3,519,600,000","3,440,700,000","3,377,500,000","3,376,700,000","3,320,800,000","3,309,300,000","3,287,900,000","3,137,600,000","3,224,900,000","3,086,800,000","3,193,900,000","3,215,200,000","1,977,700,000","1,983,400,000","1,984,800,000","1,995,000,000","2,020,300,000","2,141,800,000","2,137,200,000","2,128,000,000","2,081,300,000","2,119,900,000","2,146,500,000","2,149,600,000","2,174,100,000","2,155,600,000","2,142,800,000","2,187,500,000","2,182,000,000","1,985,200,000","1,914,700,000","1,711,600,000","1,405,100,000","1,295,500,000"
	CurrentAssets,"487,015,000","952,708,000","925,654,000","881,238,000","786,652,000","835,835,000","720,984,000","682,517,000","653,697,000","716,831,000","909,289,000","922,736,000","884,121,000","893,946,000","782,637,000","729,954,000","740,015,000","749,699,000","767,763,000","775,407,000","767,931,000","796,178,000","962,750,000","939,142,000","846,128,000","862,532,000","914,083,000","922,663,000","943,870,000","1,148,095,000","1,085,823,000","1,044,288,000","1,032,935,000","1,172,267,000","1,147,963,000","1,053,507,000","991,332,000","1,308,408,000","1,194,678,000","962,440,000","848,314,000","748,589,000","680,075,000","823,718,000","768,247,000","857,232,000","534,790,000","481,125,000","482,723,000","500,573,000","445,463,000","510,658,000","772,470,000","624,200,000","577,278,000","582,379,000","611,564,000","664,445,000","618,755,000","610,558,000","1,011,970,000","1,185,043,000","1,172,286,000","735,788,000","597,229,000","657,746,000","572,218,000","576,462,000","543,357,000","613,893,000","556,307,000","562,735,000","539,802,000","603,311,000","518,080,000","530,004,000","535,339,000","563,056,000","469,142,000","488,984,000","504,420,000","559,890,000","485,282,000","547,709,000","537,774,000","610,766,000","600,974,000","597,467,000","590,102,000","614,900,000","529,200,000","520,400,000","517,200,000","522,000,000","491,700,000","519,400,000","595,500,000","615,800,000","474,400,000","462,300,000","469,300,000","478,800,000","438,200,000","486,500,000","453,800,000","462,600,000","460,700,000","492,200,000","573,700,000","411,800,000","542,000,000","429,100,000","478,800,000","493,200,000","456,700,000","444,100,000","439,000,000","432,800,000","423,500,000","420,700,000","428,700,000","389,000,000","307,800,000","325,200,000","350,800,000","338,000,000","357,200,000","337,400,000","325,700,000","373,500,000","375,400,000","325,700,000","330,900,000","318,900,000","233,400,000","215,200,000"
		CashCashEquivalentsAndShortTermInvestments,"221,959,000","661,048,000","681,804,000","659,326,000","572,696,000","595,159,000","524,497,000","489,712,000","434,974,000","432,216,000","660,658,000","683,587,000","623,751,000","612,805,000","554,401,000","530,302,000","513,648,000","491,500,000","581,109,000","586,711,000","543,213,000","550,227,000","746,003,000","727,703,000","622,090,000","613,415,000","644,092,000","654,751,000","664,492,000","813,350,000","786,516,000","757,853,000","728,404,000","847,625,000","772,803,000","746,971,000","674,819,000","955,309,000","614,114,000","570,150,000","431,346,000","279,997,000","263,449,000","403,188,000","352,271,000","399,642,000","128,641,000","102,431,000","100,143,000","36,520,000","28,092,000","37,316,000","33,584,000","56,784,000","45,848,000","41,699,000","47,023,000","51,532,000","53,258,000","57,644,000","54,030,000","72,360,000","38,695,000","41,437,000","40,184,000","44,927,000","37,188,000","31,604,000","37,802,000","42,389,000","30,844,000","45,185,000","32,323,000","39,447,000","36,298,000","33,415,000","39,448,000","36,962,000","39,563,000","55,670,000","71,293,000","51,952,000","54,576,000","113,306,000","61,815,000","69,043,000","42,864,000","37,549,000","36,110,000","63,900,000","43,600,000","31,900,000","39,800,000","36,000,000","31,800,000","42,200,000","65,700,000","106,800,000","37,800,000","38,500,000","45,800,000","39,100,000","43,800,000","113,600,000","55,500,000","91,400,000","77,400,000","124,200,000","174,800,000","41,400,000","99,700,000","64,900,000","65,000,000","42,100,000","144,900,000","79,700,000","77,300,000","118,500,000","119,500,000","106,300,000","113,600,000","85,200,000","10,800,000","14,900,000","34,300,000","32,300,000","47,100,000","36,100,000","16,500,000","76,000,000","81,800,000","6,000,000","12,800,000","75,900,000","25,900,000","7,600,000"
			CashAndCashEquivalents,"169,171,000","319,973,000","323,990,000","320,871,000","275,242,000","286,079,000","215,763,000","249,312,000","218,316,000","230,431,000","283,795,000","255,790,000","235,674,000","241,504,000","206,179,000","236,511,000","213,814,000","182,911,000","244,667,000","204,142,000","150,964,000","100,692,000","156,938,000","400,062,000","185,693,000","105,776,000","144,606,000","155,001,000","266,175,000","176,607,000","414,591,000","374,626,000","308,689,000","482,745,000","390,008,000","358,601,000","308,014,000","820,489,000","334,374,000","290,292,000","206,468,000","175,151,000","93,685,000","178,451,000","152,537,000","369,668,000","128,641,000","102,431,000","100,143,000","36,520,000","28,092,000","37,316,000","33,584,000","56,784,000","45,848,000","41,699,000","47,023,000","51,532,000","53,258,000","57,644,000","54,030,000","72,360,000","38,695,000","41,437,000","40,184,000","44,927,000","37,188,000","31,604,000","37,802,000","42,389,000","30,844,000","45,185,000","32,323,000","39,447,000","36,298,000","33,415,000","39,448,000","36,962,000","39,563,000","55,670,000","71,293,000","51,952,000","54,576,000","113,306,000","61,815,000","69,043,000","42,864,000","37,549,000","36,110,000","63,900,000","43,600,000","31,900,000","39,800,000","36,000,000","31,800,000","42,200,000","65,700,000","106,800,000","37,800,000","38,500,000","45,800,000","39,100,000","43,800,000","113,600,000","55,500,000","91,400,000","77,400,000","124,200,000","174,800,000","41,400,000","99,700,000","64,900,000","65,000,000","42,100,000","144,900,000","79,700,000","77,300,000","118,500,000","119,500,000","106,300,000","113,600,000","85,200,000","10,800,000","14,900,000","34,300,000","32,300,000","47,100,000","36,100,000","16,500,000","76,000,000","81,800,000","6,000,000","12,800,000","75,900,000","25,900,000","7,600,000"
			OtherShortTermInvestments,"52,788,000","341,075,000","357,814,000","338,455,000","297,454,000","309,080,000","308,734,000","240,400,000","216,658,000","201,785,000","376,863,000","427,797,000","388,077,000","371,301,000","348,222,000","293,791,000","299,834,000","308,589,000","336,442,000","382,569,000","392,249,000","449,535,000","589,065,000","327,641,000","436,397,000","507,639,000","499,486,000","499,750,000","398,317,000","636,743,000","371,925,000","383,227,000","419,715,000","364,880,000","382,795,000","388,370,000","366,805,000","134,820,000","279,740,000","279,858,000","224,878,000","104,846,000","169,764,000","224,737,000","199,734,000","29,974,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"197,492,000","232,908,000","164,620,000","153,540,000","145,170,000","183,692,000","125,337,000","122,092,000","157,680,000","213,402,000","167,081,000","162,791,000","180,055,000","222,464,000","157,861,000","137,909,000","151,416,000","184,885,000","142,323,000","149,553,000","176,913,000","197,355,000","152,589,000","149,957,000","170,018,000","207,180,000","157,570,000","154,609,000","165,902,000","212,690,000","160,333,000","159,694,000","175,696,000","202,303,000","164,282,000","191,869,000","190,813,000","237,932,000","195,489,000","227,932,000","230,042,000","288,355,000","250,921,000","258,620,000","266,437,000","302,245,000","270,687,000","258,282,000","265,995,000","342,075,000","272,112,000","281,124,000","306,380,000","403,830,000","364,637,000","368,877,000","388,488,000","437,882,000","369,756,000","344,892,000","368,156,000","402,639,000","370,619,000","397,848,000","390,887,000","435,273,000","372,449,000","383,308,000","354,649,000","389,300,000","358,908,000","356,434,000","347,078,000","387,720,000","329,020,000","344,878,000","344,453,000","358,335,000","286,472,000","281,003,000","277,895,000","318,529,000","288,085,000","292,367,000","310,663,000","341,863,000","347,691,000","370,613,000","363,544,000","366,800,000","324,200,000","342,500,000","321,400,000","331,900,000","310,300,000","325,200,000","341,600,000","331,300,000","312,600,000","302,300,000","295,500,000","309,200,000","286,000,000","279,700,000","296,000,000","278,000,000","264,100,000","246,300,000","280,700,000","247,800,000","318,700,000","245,300,000","274,300,000","264,200,000","209,100,000","249,800,000","233,400,000","192,200,000","194,100,000","197,000,000","203,600,000","190,600,000","176,200,000","184,000,000","181,400,000","188,600,000","192,100,000","179,300,000","177,200,000","180,800,000","188,400,000","170,100,000","166,100,000","153,500,000","153,800,000","148,100,000"
			AccountsReceivable,"197,492,000","232,908,000","164,620,000","153,540,000","145,170,000","183,692,000","125,337,000","122,092,000","157,680,000","213,402,000","167,081,000","162,791,000","180,055,000","222,464,000","157,861,000","137,909,000","151,416,000","184,885,000","142,323,000","149,553,000","176,913,000","197,355,000","152,589,000","149,957,000","170,018,000","207,180,000","157,570,000","154,609,000","165,902,000","212,690,000","160,333,000","159,694,000","175,696,000","202,303,000","164,282,000","191,869,000","190,813,000","237,932,000","195,489,000","227,932,000","230,042,000","288,355,000","250,921,000","258,620,000","266,437,000","302,245,000","270,687,000","258,282,000","265,995,000","342,075,000","272,112,000","281,124,000","306,380,000","403,830,000","364,637,000","368,877,000","388,488,000","437,882,000","369,756,000","344,892,000","368,156,000","402,639,000","370,619,000","397,848,000","390,887,000","435,273,000","372,449,000","383,308,000","354,649,000","389,300,000","358,908,000","356,434,000","347,078,000","387,720,000","329,020,000","344,878,000","344,453,000","358,335,000","286,472,000","281,003,000","277,895,000","318,529,000","288,085,000","292,367,000","310,663,000","341,863,000","347,691,000","370,613,000","363,544,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"209,726,000","245,282,000","176,689,000","165,809,000","157,668,000","197,489,000","139,490,000","135,738,000","172,297,000","227,760,000","180,707,000","176,093,000","193,389,000","235,713,000","171,231,000","150,795,000","165,376,000","199,427,000","156,161,000","149,553,000","192,823,000","214,170,000","168,215,000","163,740,000","182,251,000","220,665,000","169,194,000","166,612,000","178,949,000","225,550,000","173,446,000","172,435,000","189,338,000","216,555,000","179,435,000","206,238,000","206,930,000","255,322,000","213,135,000","245,109,000","249,756,000","306,992,000","274,721,000","283,464,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-12,234,000","-12,374,000","-12,069,000","-12,269,000","-12,498,000","-13,797,000","-14,153,000","-13,646,000","-14,617,000","-14,358,000","-13,626,000","-13,302,000","-13,334,000","-13,249,000","-13,370,000","-12,886,000","-13,960,000","-14,542,000","-13,838,000",,"-15,910,000","-16,815,000","-15,626,000","-13,783,000","-12,233,000","-13,485,000","-11,624,000","-12,003,000","-13,047,000","-12,860,000","-13,113,000","-12,741,000","-13,642,000","-14,252,000","-15,153,000","-14,369,000","-16,117,000","-17,390,000","-17,646,000","-17,177,000","-19,714,000","-18,637,000","-23,800,000","-24,844,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,502,000","9,365,000","11,448,000","10,414,000","13,909,000","16,406,000","19,787,000","21,087,000","19,016,000","15,433,000","20,583,000","16,132,000","21,790,000","18,139,000","19,106,000","16,303,000","16,612,000","29,660,000","32,083,000","24,830,000","27,539,000","29,189,000","31,815,000","26,895,000","26,697,000","28,082,000","30,830,000","36,696,000","31,088,000","27,268,000","29,646,000","32,100,000","37,413,000","35,835,000","33,409,000","32,654,000","36,136,000","39,949,000","38,281,000","28,952,000","26,948,000","24,423,000","28,068,000","23,300,000","27,496,000","24,026,000","28,349,000","31,639,000","29,364,000","28,418,000","37,112,000","35,064,000","41,255,000","32,295,000","31,237,000","28,700,000","33,900,000","28,000,000","36,800,000","32,300,000","34,600,000","36,900,000","38,100,000","32,100,000","30,200,000","31,700,000","37,700,000","33,800,000","25,900,000","38,700,000","46,100,000","42,800,000","40,300,000","34,800,000","32,800,000","30,500,000","29,500,000","27,000,000","50,300,000","47,300,000","43,300,000","42,900,000","49,000,000","51,600,000","43,100,000","42,500,000","37,000,000","40,800,000","41,300,000","39,700,000","49,600,000","46,300,000","47,600,000","47,100,000","52,800,000","50,900,000","45,800,000","40,000,000","43,100,000","35,700,000","31,800,000","35,400,000"
			RawMaterials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,536,000","13,589,000","16,643,000",,"14,956,000","11,933,000","16,873,000",,"17,832,000","14,399,000","14,909,000",,"10,775,000","23,277,000","25,992,000",,,,,,,,,,"26,524,000","23,001,000","25,724,000","28,190,000","33,602,000","32,191,000","30,144,000","29,848,000",,,,"26,067,000","23,957,000","21,577,000","25,504,000","20,531,000",,,,,"25,820,000","25,064,000","31,962,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,487,000","4,559,000","4,683,000",,"4,564,000","4,267,000","3,922,000",,"3,811,000","3,644,000","3,265,000",,"2,945,000","2,796,000","3,251,000",,"2,991,000","2,846,000","2,564,000",,"2,575,000","3,027,000","3,266,000",,"3,544,000","3,354,000","5,150,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,184,000","7,434,000","9,235,000","8,038,000",,,,,,,,,,,,,,,,,,,,,,,,"32,594,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,318,000","1,931,000","2,213,000","2,376,000","2,373,000","2,817,000","3,144,000",,"4,060,000","3,500,000","3,710,000",,"3,958,000","3,740,000","4,197,000",,"5,837,000","6,383,000","6,091,000",,,,,,"22,210,000","23,523,000","26,147,000","4,102,000",,,,"3,910,000",,,,"2,806,000","33,191,000","37,153,000","35,030,000","2,885,000",,,,"2,769,000","24,921,000","20,999,000","25,083,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"41,766,000","33,199,000","38,839,000","36,262,000","33,459,000","29,487,000","32,087,000","28,382,000","29,834,000","29,089,000","31,442,000","28,899,000","24,225,000","25,349,000","26,709,000","27,021,000","23,387,000","22,851,000","17,869,000","13,476,000","16,797,000","15,948,000","14,061,000","15,173,000","21,536,000","19,430,000","22,017,000","23,534,000","26,235,000","25,635,000","25,501,000","25,284,000","24,803,000","20,250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,341,000","24,341,000","27,341,000","27,628,000","28,628,000","28,628,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,640,000","63,640,000","63,640,000","63,640,000","65,859,000","65,859,000","65,859,000","65,859,000","58,214,000","58,214,000","58,214,000","58,214,000","73,055,000","73,055,000","73,055,000","73,055,000","68,875,000","68,875,000","68,875,000","68,875,000","44,860,000","44,860,000","44,860,000","44,860,000","51,732,000","51,732,000","51,732,000","51,732,000","80,617,000","80,617,000","80,617,000","92,335,000","92,563,000","92,563,000","92,563,000","73,729,000","68,118,000","68,118,000","68,118,000","68,118,000","56,639,000","56,639,000","56,639,000","56,639,000","66,178,000","66,178,000","66,178,000","66,178,000","73,528,000","73,528,000","73,528,000","73,528,000","78,737,000","78,737,000","78,737,000","78,737,000","62,939,000","62,939,000","62,939,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,640,000","63,640,000","63,640,000","63,640,000","65,859,000","65,859,000","65,859,000","65,859,000","58,214,000","58,214,000","58,214,000","58,214,000","73,055,000","73,055,000","73,055,000","73,055,000","68,875,000","68,875,000","68,875,000","68,875,000","44,860,000","44,860,000","44,860,000","44,860,000","51,732,000","51,732,000","51,732,000","51,732,000","80,617,000","80,617,000","80,617,000","92,335,000","92,563,000","92,563,000","92,563,000","73,729,000","68,118,000","68,118,000","68,118,000","68,118,000","56,639,000","56,639,000","56,639,000","56,639,000","66,178,000","66,178,000","66,178,000","66,178,000","73,528,000","73,528,000","73,528,000","73,528,000","78,737,000","78,737,000","78,737,000","78,737,000","62,939,000","62,939,000","62,939,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","97,640,000",,,"0","223,887,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"25,798,000","25,553,000","40,391,000","32,110,000","35,327,000","27,497,000","39,063,000","42,331,000","31,209,000","42,124,000","50,108,000","47,459,000","56,090,000","33,328,000","43,666,000","34,722,000","51,564,000","50,463,000","26,462,000","25,667,000","31,008,000","32,648,000","50,097,000","46,309,000","32,484,000","22,507,000","26,764,000","26,129,000","23,601,000","32,780,000","47,614,000","35,598,000","38,173,000","36,230,000","46,522,000","47,088,000","56,038,000","46,539,000","49,883,000","50,556,000","66,743,000","58,467,000","49,186,000","48,974,000","60,081,000","70,338,000","68,812,000","57,413,000","52,619,000","60,815,000","76,915,000","110,826,000","348,691,000","87,024,000","58,637,000","61,997,000","63,621,000","55,801,000","76,481,000","87,377,000","466,391,000","599,619,000","663,766,000","201,117,000","68,394,000","77,328,000","68,529,000","69,076,000","60,858,000","92,911,000","64,241,000","54,989,000","55,942,000","81,014,000","52,286,000","53,760,000","49,842,000","70,931,000","36,874,000","49,548,000","48,146,000","79,033,000","50,318,000","50,679,000","65,245,000","164,796,000","169,164,000","157,010,000","159,211,000","155,500,000","127,500,000","118,000,000","119,200,000","121,800,000","115,000,000","115,100,000","150,100,000","145,600,000","93,800,000","89,800,000","90,300,000","96,700,000","82,500,000","54,500,000","56,200,000","50,400,000","78,900,000","86,900,000","85,400,000","92,100,000","94,100,000","91,900,000","89,200,000","139,600,000","59,400,000","71,700,000","79,300,000","70,500,000","66,800,000","74,900,000","74,500,000","72,400,000","79,500,000","86,600,000","85,500,000","70,800,000","70,400,000","74,900,000","79,200,000","65,800,000","59,400,000","109,600,000","108,900,000","53,800,000","21,900,000","24,100,000"
	TotalNonCurrentAssets,"2,042,251,000","1,611,400,000","1,543,758,000","1,466,769,000","1,496,110,000","1,471,854,000","1,418,557,000","1,375,840,000","1,369,773,000","1,372,307,000","1,345,672,000","1,283,632,000","1,310,442,000","1,303,177,000","1,358,751,000","1,369,168,000","1,357,079,000","1,350,081,000","1,471,195,000","1,419,761,000","1,402,295,000","1,389,217,000","1,394,130,000","1,390,099,000","1,465,859,000","1,555,158,000","1,425,831,000","1,443,552,000","1,416,276,000","1,418,379,000","1,358,287,000","1,420,204,000","1,474,902,000","1,400,285,000","1,480,307,000","1,594,114,000","1,659,645,000","1,497,927,000","1,530,887,000","1,754,366,000","1,969,466,000","2,134,861,000","2,154,886,000","2,233,184,000","2,403,191,000","2,428,509,000","2,481,717,000","2,510,610,000","2,547,000,000","2,587,984,000","2,683,862,000","2,699,693,000","2,729,607,000","2,777,480,000","2,644,417,000","2,775,911,000","2,772,056,000","2,808,647,000","2,859,781,000","2,821,267,000","2,787,637,000","2,670,885,000","3,277,892,000","3,872,758,000","3,927,534,000","3,875,291,000","3,806,594,000","3,760,347,000","3,761,720,000","3,335,964,000","3,271,598,000","3,221,869,000","3,195,930,000","3,201,428,000","3,172,226,000","3,184,768,000","3,174,475,000","3,070,786,000","3,040,619,000","3,038,435,000","2,943,465,000","2,878,794,000","2,890,218,000","2,916,796,000","2,962,416,000","2,995,913,000","3,056,016,000","3,110,210,000","3,152,499,000","2,880,900,000","2,936,100,000","2,937,200,000","2,946,900,000","2,943,100,000","2,962,600,000","2,961,400,000","2,999,700,000","3,023,200,000","3,056,600,000","3,073,400,000","3,094,200,000","3,061,100,000","3,081,400,000","2,954,200,000","2,923,700,000","2,914,100,000","2,860,100,000","2,817,100,000","2,714,200,000","2,725,800,000","2,682,900,000","2,657,700,000","2,715,100,000","2,722,000,000","1,521,000,000","1,539,300,000","1,545,800,000","1,562,200,000","1,596,800,000","1,721,100,000","1,708,500,000","1,739,000,000","1,773,500,000","1,794,700,000","1,795,700,000","1,811,600,000","1,816,900,000","1,818,200,000","1,817,100,000","1,814,000,000","1,806,600,000","1,659,500,000","1,583,800,000","1,392,700,000","1,171,700,000","1,080,300,000"
		NetPPE,"570,803,000","574,952,000","579,444,000","582,331,000","587,452,000","594,516,000","604,283,000","611,998,000","622,113,000","627,121,000","627,059,000","633,049,000","635,444,000","638,846,000","645,964,000","645,567,000","645,519,000","640,939,000","618,835,000","595,079,000","588,505,000","596,743,000","602,140,000","611,135,000","621,696,000","632,439,000","638,836,000","646,101,000","656,100,000","665,758,000","674,513,000","687,724,000","699,411,000","713,356,000","721,171,000","822,414,000","842,383,000","860,385,000","877,883,000","896,093,000","912,338,000","1,085,190,000","1,099,734,000","1,119,177,000","1,138,549,000","1,156,786,000","1,169,737,000","1,204,026,000","1,225,936,000","1,250,021,000","1,276,682,000","1,304,926,000","1,340,408,000","1,353,619,000","1,354,796,000","1,450,298,000","1,443,689,000","1,468,013,000","1,423,799,000","1,400,477,000","1,447,613,000","1,375,365,000","1,309,465,000","1,552,167,000","1,502,875,000","1,468,403,000","1,406,447,000","1,373,737,000","1,366,872,000","1,367,384,000","1,202,817,000","1,185,231,000","1,181,058,000","1,187,313,000","1,192,567,000","1,207,862,000","1,207,680,000","1,197,368,000","1,178,135,000","1,160,555,000","1,157,767,000","1,166,863,000","1,159,408,000","1,173,397,000","1,194,622,000","1,207,160,000","1,199,470,000","1,216,475,000","1,236,155,000","1,218,400,000","1,267,700,000","1,283,100,000","1,305,900,000","1,326,200,000","1,340,600,000","1,325,600,000","1,344,400,000","1,366,900,000","1,383,900,000","1,397,300,000","1,393,500,000","1,358,000,000","1,360,000,000","1,302,500,000","1,291,100,000","1,276,100,000","1,248,600,000","1,211,700,000","1,163,900,000","1,158,800,000","1,109,400,000","1,092,400,000","1,119,200,000","1,112,000,000","889,500,000","898,600,000","896,400,000","902,800,000","905,700,000","946,800,000","949,900,000","966,600,000","979,000,000","994,400,000","1,006,200,000","1,013,400,000","998,000,000","992,800,000","982,800,000","972,500,000","935,600,000","891,200,000","814,700,000","644,300,000","484,000,000","437,700,000"
