name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993
TotalAssets,"4,410,485,000","4,258,919,000","4,069,199,000","3,964,679,000","3,854,105,000","3,812,260,000","3,711,451,000","3,731,953,000","3,747,649,000","3,563,855,000","3,491,158,000","3,428,547,000","3,362,523,000","3,191,247,000","3,201,083,000","3,214,690,000","3,183,420,000","3,193,585,000","3,145,704,000","2,958,498,000","3,039,236,000","3,040,647,000","2,991,721,000","2,882,064,000","2,841,615,000","2,816,726,000","2,741,686,000","2,740,572,000","2,788,455,000","2,757,510,000","2,741,324,000","2,750,110,000","2,721,124,000","2,729,662,000","2,644,863,000","2,597,390,000","2,655,250,000","2,539,972,000","2,470,776,000","2,472,324,000","2,503,654,000","2,521,022,000","2,487,573,000","2,386,181,000","2,296,712,000","2,357,309,000","2,069,863,000","1,930,449,000","1,932,702,000","1,935,764,000","1,879,561,000","1,844,585,000","1,847,468,000","1,864,780,000","1,578,529,000","1,490,100,000","1,493,361,000","1,495,492,000","1,500,782,000","1,445,055,000","1,657,856,000","1,734,639,000","1,737,153,000","1,762,233,000","1,724,568,000","1,747,652,000","1,740,920,000","1,729,913,000","1,744,241,000","1,750,810,000","1,807,296,000","1,691,697,000","1,647,813,000","1,525,710,000","1,522,776,000","1,481,879,000","1,483,987,000","1,489,546,000","1,491,170,000","1,532,431,000","1,556,419,000","1,555,910,000","1,569,941,000","1,618,871,000","1,589,373,000","1,587,076,000","1,576,995,000","1,600,236,000","1,609,237,000","1,608,000,000","1,628,100,000","1,612,300,000","1,627,000,000","1,615,400,000","574,600,000","510,000,000","507,900,000","488,500,000","496,600,000","493,700,000","479,500,000","427,500,000","368,400,000","351,600,000","340,400,000","336,800,000","333,500,000","308,500,000","298,700,000","283,200,000","272,200,000","260,500,000","134,100,000","134,100,000","120,300,000","112,700,000"
	CurrentAssets,"37,655,000","156,732,000","29,603,000","39,804,000","76,665,000","35,949,000","202,687,000","43,680,000","103,390,000","128,494,000","17,098,000","14,232,000","21,881,000","163,053,000","18,853,000","16,202,000","39,914,000","178,662,000","205,753,000","19,951,000","121,493,000","194,999,000","27,381,000","9,736,000","2,880,000","137,426,000","14,877,000","24,523,000","26,481,000","136,765,000","15,063,000","28,140,000","106,759,000","245,070,000","142,653,000","232,153,000","306,602,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"22,694,000","13,175,000","16,000,000","18,739,000","12,087,000","15,303,000","121,992,000","43,680,000","103,370,000","657,000","11,809,000","7,617,000","11,313,000","8,381,000","10,027,000","7,414,000","3,796,000","6,215,000","196,981,000","2,033,000","1,478,000","5,409,000","12,649,000","9,026,000","2,174,000","4,102,000","8,497,000","8,431,000","10,417,000","3,519,000","1,684,000","17,523,000","10,169,000","8,671,000","7,160,000","1,152,000","94,171,000","6,776,000","8,781,000","3,103,000","6,610,000","4,738,000","4,054,000","17,776,000","3,007,000","113,321,000","11,177,000","4,455,000","11,045,000","5,851,000","5,088,000","4,707,000","12,376,000","4,138,000","5,156,000","4,882,000","11,068,000","8,519,000","16,120,000","642,000","3,833,000","1,950,000","3,747,000","4,079,000","2,372,000","7,037,000","5,386,000","1,634,000","6,448,000","2,683,000","4,026,000","3,126,000","59,125,000","3,840,000","2,014,000","4,267,000","9,063,000","402,000","2,743,000","1,070,000","9,454,000","2,930,000","2,311,000","41,337,000","313,000","1,788,000","5,334,000","1,923,000","5,188,000","4,400,000","5,500,000","6,000,000","14,300,000","14,400,000","2,400,000","1,200,000","13,000,000","5,300,000","5,700,000","11,300,000","45,800,000","1,400,000","1,400,000","1,400,000","900,000","9,100,000","16,600,000","1,000,000","600,000","500,000","700,000","55,800,000","87,000,000","100,000","300,000","100,000"
			CashAndCashEquivalents,"22,694,000","13,175,000","16,000,000","18,739,000","12,087,000","15,303,000","121,992,000","43,680,000","103,370,000","657,000","11,809,000","7,617,000","11,313,000","8,381,000","10,027,000","7,414,000","3,796,000","6,215,000","196,981,000","2,033,000","1,478,000","5,409,000","12,649,000","9,026,000","2,174,000","4,102,000","8,497,000","8,431,000","10,417,000","3,519,000","1,684,000","17,523,000","10,169,000","8,671,000","7,160,000","1,152,000","94,171,000","6,776,000","8,781,000","3,103,000","6,610,000","4,738,000","4,054,000","17,776,000","3,007,000","113,321,000","11,177,000","4,455,000","11,045,000","5,851,000","5,088,000","4,707,000","12,376,000","4,138,000","5,156,000","4,882,000","11,068,000","8,519,000","16,120,000","642,000","3,833,000","1,950,000","3,747,000","4,079,000","2,372,000","7,037,000","5,386,000","1,634,000","6,448,000","2,683,000","4,026,000","3,126,000","59,125,000","3,840,000","2,014,000","4,267,000","9,063,000","402,000","2,743,000","1,070,000","9,454,000","2,930,000","2,311,000","41,337,000","313,000","1,788,000","5,334,000","1,923,000","5,188,000","4,400,000","5,500,000","6,000,000","14,300,000","14,400,000","2,400,000","1,200,000","13,000,000","5,300,000","5,700,000","11,300,000","45,800,000","1,400,000","1,400,000","1,400,000","900,000","9,100,000","16,600,000","1,000,000","600,000","500,000","700,000","55,800,000","87,000,000","100,000","300,000","100,000"
		Receivables,,"84,900,000",,,,,,,,"83,500,000",,,,"79,200,000",,,,"74,100,000",,,,"72,600,000",,,,"69,000,000","0","1,900,000","1,900,000","62,700,000","1,900,000","4,858,000","86,372,000","174,247,000","126,409,000","212,313,000","190,134,000","162,191,000","179,676,000","118,059,000","112,767,000","97,381,000","94,588,000","122,603,000","123,071,000","36,599,000","27,134,000","23,423,000","22,632,000","31,008,000","41,595,000","57,022,000","53,295,000","59,001,000","72,436,000","47,506,000","31,376,000","30,117,000","16,880,000","16,886,000","16,893,000","73,856,000","75,462,000","101,823,000","94,026,000","105,795,000","95,648,000","97,499,000","90,305,000","40,321,000","60,765,000","81,911,000","93,057,000","91,835,000","92,448,000","86,063,000","90,425,000","102,792,000","107,940,000","114,027,000","118,884,000","122,074,000","131,127,000","153,253,000","170,449,000","170,906,000","173,747,000","218,698,000","254,176,000","253,500,000","266,600,000","249,200,000","239,600,000",,,,,,,,,,"1,500,000","2,300,000","1,700,000","1,400,000","600,000","700,000","600,000","600,000","300,000","800,000",,,,
			AccountsReceivable,,"84,900,000",,,,,,,,"83,500,000",,,,"79,200,000",,,,"74,100,000",,,,"72,600,000",,,,"69,000,000",,,,"60,800,000",,,,"48,700,000",,,,,"4,778,000",,,,,,"6,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,"83,918,000",,,,"79,500,000",,,,"74,400,000",,,,"72,700,000",,,,"69,200,000",,,,"61,300,000",,,,"49,200,000",,,,,"5,429,000",,,,,,"7,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,"-418,000",,,,"-300,000",,,,"-300,000",,,,"-100,000",,,,"-200,000",,,,"-500,000",,,,"-500,000",,,,,"-651,000",,,,,,"-1,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1,900,000","1,900,000","1,900,000","1,900,000","4,858,000","86,372,000","125,547,000","126,409,000","212,313,000","190,134,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"162,191,000","141,235,000","118,059,000","112,767,000","97,381,000","94,588,000","122,603,000","88,471,000","36,599,000","27,134,000","23,423,000","22,632,000","31,008,000","41,595,000","57,022,000","53,295,000","59,001,000",,,,,,,,,"75,462,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,663,000",,,,,,"28,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,"58,600,000",,,,,,,,"44,300,000",,,,"66,200,000",,,,"65,200,000",,,,"64,800,000",,,,"63,600,000",,,,"61,400,000",,,,"55,300,000",,,,,"49,202,000",,,,,,"29,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,,,,,,,"60,644,000",,,,,,,,,,,,"0","9,151,000","104,904,000","49,098,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"14,961,000","57,000","13,603,000","21,065,000","64,578,000","20,646,000","20,051,000","0","20,000","37,000","5,289,000","6,615,000","10,568,000","9,272,000","8,826,000","8,788,000","36,118,000","33,147,000","8,772,000","8,767,000","15,111,000","3,092,000","14,732,000","710,000","706,000","724,000","6,380,000","14,192,000","14,164,000","9,146,000","11,479,000","5,759,000","10,218,000","6,852,000","9,084,000","18,688,000","22,297,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"4,372,830,000","4,102,227,000","4,039,596,000","3,924,875,000","3,777,440,000","3,776,311,000","3,508,764,000","3,688,273,000","3,644,259,000","3,435,335,000","3,474,060,000","3,414,315,000","3,340,642,000","3,028,197,000","3,182,230,000","3,198,488,000","3,143,506,000","3,014,908,000","2,939,951,000","2,938,547,000","2,917,743,000","2,845,682,000","2,964,340,000","2,872,328,000","2,838,735,000","2,679,282,000","2,726,809,000","2,716,049,000","2,761,974,000","2,620,708,000","2,726,261,000","2,721,970,000","2,614,365,000","2,484,578,000","2,502,210,000","2,365,237,000","2,348,648,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
